gene,condition
2610035D17Rik,F1_Aged
Adgrd1,F1_Aged
Agap1,F1_Aged
Agmo,F1_Aged
Alcam,F1_Aged
Anks1,F1_Aged
Aox1,F1_Aged
Cables1,F1_Aged
Ccdc171,F1_Aged
Cdh19,F1_Aged
Corin,F1_Aged
Cradd,F1_Aged
Cst3,F1_Aged
Cuedc1,F1_Aged
Dock2,F1_Aged
Dse,F1_Aged
Efna5,F1_Aged
Ext1,F1_Aged
Fam114a1,F1_Aged
Fap,F1_Aged
Frmd4a,F1_Aged
Gm12216,F1_Aged
Gm24474,F1_Aged
Gm40124,F1_Aged
Gm56646,F1_Aged
Gm8189,F1_Aged
Gns,F1_Aged
Kcnc2,F1_Aged
Kcnq5,F1_Aged
Lgmn,F1_Aged
Lsamp,F1_Aged
Map4k3,F1_Aged
Mdfic,F1_Aged
Myl2,F1_Aged
Ncald,F1_Aged
Nfatc2,F1_Aged
Nisch,F1_Aged
Opcml,F1_Aged
Or5m3b,F1_Aged
Pcdh7,F1_Aged
Picalm,F1_Aged
Prex2,F1_Aged
Prune2,F1_Aged
Rnls,F1_Aged
Rusc2,F1_Aged
Slc2a13,F1_Aged
Slit2,F1_Aged
St3gal1,F1_Aged
Stambpl1,F1_Aged
Suclg2,F1_Aged
Tnfaip8,F1_Aged
Wwp1,F1_Aged
Xdh,F1_Aged
Abcd3,F1_Young
Aoah,F1_Young
Cwc27,F1_Young
Dip2c,F1_Young
Eif4g3,F1_Young
Grb10,F1_Young
Kcnq1ot1,F1_Young
Magi1,F1_Young
Myh6,F1_Young
Neat1,F1_Young
Pcnx1,F1_Young
Pde4b,F1_Young
Ryr2,F1_Young
Srpk2,F1_Young
Gm57283,F1_Young
