"","AR","N","log2FC","llr_var","pval_var"
"Ubtd2",0.421052631578947,19,0.0780025120012731,-604.874191076218,4.64206106908875e-265
"Ubxn2a",0.467948717948718,13,0.338801913451758,-5504.70280519562,0
"Ubxn4",0.512626262626263,33,0,5994.46897281156,1
"Uck2",0.747569444444444,20,0.874469117916141,340.068219183442,1
"Ufd1",0.611111111111111,15,0.29373120305671,-108.580411714479,3.76442208629077e-49
"Ufl1",0.594202898550725,23,0.304854581528421,262.898463852625,1
"Ugdh",0.583236208236208,18,0.648834683887541,-7239.52716142202,0
"Uggt1",0.626666666666667,10,0.637429920615292,-5004.57781875963,0
"Ugp2",0.629407884580298,87,0.90010142994588,5686.60836416525,1
"Uimc1",0.466666666666667,15,0.355094958822562,-6286.15942192839,0
"Ulk2",0.478531073446328,59,0.0687127500840143,5267.30294663349,1
"Umad1",0.517829457364341,43,0.227805917522812,5379.00849783194,1
"Unc13b",0.547937123851758,164,0.368069876532083,5919.46771472614,1
"Unc45b",0.57155388471178,38,0.277109591045517,5617.37640211031,1
"Upf2",0.422619047619048,28,-0.175849835399418,9999.47952761363,1
"Uqcc1",0.552857142857143,35,0.230612928141417,6064.54085311665,1
"Uqcc5",0.596153846153846,13,0.514573172829758,-688.337423901871,2.46073354165736e-301
"Uqcrc1",0.455882352941176,17,-0.0365258760251139,-301.173214071719,5.16932559103371e-133
"Uqcrc2",0.745614035087719,19,0.765534746362977,-81.2941707996897,3.07719005372589e-37
"Urgcp",0.692189754689755,44,0.858644150754459,5224.50094960607,1
"Uri1",0.509649122807018,38,0.263034405833794,5425.60466704883,1
"Usf3",0.62037037037037,18,0.148098638989134,-634.525691785288,6.0096937555534e-278
"Ushbp1",0.25,21,-0.736965594166206,11893.5178596482,1
"Uso1",0.53735632183908,29,0.045087889528538,9803.89281234122,1
"Usp10",0.380952380952381,14,-0.0759488532332986,-5878.4971888225,0
"Usp12",0.5,10,-0.367731784500487,-5776.00168049815,0
"Usp13",0.512207425343019,59,0.317029295474523,5590.34685064702,1
"Usp14",0.34375,16,-0.623436648535792,-183.026261264233,1.35423682168505e-81
"Usp15",0.532605042016807,85,0.0349761382429744,5247.99984644794,1
"Usp16",0.53030303030303,11,0,-10910.4949767388,0
"Usp2",0.543650793650794,21,0,-49.842085018433,1.78744208553805e-23
"Usp24",0.585355253212396,84,0.380142708832658,5374.34214508277,1
"Usp25",0.347659176029963,89,-0.699605066662279,5217.91225315598,1
"Usp28",0.502721088435374,35,0.0188590272513158,5358.35383160758,1
"Usp3",0.437984496124031,43,-0.179549420330713,5411.36043291685,1
"Usp31",0.525,20,0.0703893278913981,5926.32101855622,1
"Usp32",0.526344086021505,31,-0.0573331750659514,6031.67166307953,1
"Usp33",0.560897435897436,26,-0.0424352663203966,-9.56827459264696,1.21692062430922e-05
"Usp34",0.516749480428726,159,0.0179219079972626,5478.31601107496,1
"Usp36",0.428571428571429,14,0,-3574.21554700036,0
"Usp37",0.334615384615385,26,-0.754887502163469,5831.91568161746,1
"Usp4",0.507142857142857,35,0.199937570508752,5709.80940610441,1
"Usp40",0.433333333333333,15,0.104336659814735,-1085.2110253264,0
"Usp45",0.472222222222222,12,0,-12080.9149626354,0
"Usp47",0.43422619047619,56,-0.0248746686390295,5344.51509387201,1
"Usp53",0.409090909090909,22,-0.0951572330403403,-43.876319155298,7.41739236891782e-21
"Usp54",0.451666666666667,40,-0.178337241258512,5460.93968840823,1
"Usp6nl",0.342105263157895,19,-0.406625259462644,316.346681226847,1
"Usp7",0.340625,32,-0.524661990453342,49.2268873959947,1
"Usp8",0.322727272727273,22,-0.0650950282218847,-53.9489233771401,2.82994601155014e-25
"Utrn",0.55231438812084,155,0.265981689884131,5708.93960294238,1
"Uvrag",0.55200364298725,61,-0.0206102796752863,5293.26229461975,1
"Vamp5",0.522222222222222,15,0.459431618637297,-6033.46902647945,0
"Vapa",0.525510204081633,49,0.144389909335175,5401.15670609361,1
"Vav3",0.433581038844197,95,-0.428620471551769,5787.7122846302,1
"Vcam1",0.45330443959518,110,-0.158697746019058,6555.52283708128,1
"Vcan",0.514909297052154,21,0.389042290745899,-229.563734864826,7.44336488501359e-102
"Vcl",0.567988095238095,100,0.315775867905767,5606.89405460984,1
"Vcp",0.550925925925926,36,0.302028537449657,5427.25968265071,1
"Vdac1",0.416666666666667,12,0.537656785942799,-6944.66163970892,0
"Vdac2",0.366666666666667,12,-0.951090399519054,-5122.41930308302,0
"Vdac3",0.396666666666667,25,-0.415037499278844,4953.0356048467,1
"Vegfa",0.394398907103825,61,-0.397592364819434,5425.1920697458,1
"Vegfc",0.503683737646002,53,0.158989523761156,5815.45015190802,1
"Vezf1",0.424242424242424,11,0.0801703486839833,-6241.43522547258,0
"Vezt",0.593137254901961,17,-0.0285691521967708,128.880517065695,1
"Vgll4",0.4518779342723,71,-0.259519921657557,5244.53779096546,1
"Vim",0.452340737215283,139,-0.452171745689227,5951.14800697344,1
"Virma",0.466111111111111,30,-0.31315788525963,4728.92799427358,1
"Vkorc1l1",0.5,19,0.453717967442904,-1270.41270704991,0
"Vldlr",0.738239538239538,33,1.30065947813371,123.3648858349,1
"Vmp1",0.548245614035088,38,0.197036847059554,5642.86096574714,1
"Vps13a",0.543341761483354,113,0.275341301285407,5558.66365968098,1
"Vps13b",0.507499972034856,129,0.114106485686522,5391.66596912445,1
"Vps13c",0.530701754385965,38,0.216811389073148,6143.19401169292,1
"Vps13d",0.53291788856305,93,0.228074567479994,4735.1591292327,1
"Vps26a",0.454166666666667,16,-0.46948528330122,-89.5136006115135,7.90359848857845e-41
"Vps35",0.5,26,0.0465425859370301,10995.6737770415,1
"Vps35l",0.681818181818182,11,0.037474705418663,-6063.3257642025,0
