"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"Cpeb4",0.4848,0.420209750566893,42,0.2259,0.132978911750559,0.192645077942396,0.0327208376347699,1,1
"Cped1",0.3982,0.389005102040816,56,0.1475,0.102190073013327,-0.521346401425185,-2.85452949179273,0.016877584188419,0.125405564939404
"Cpped1",0.6838,0.664141414141414,33,0.2121,0.121356706233399,1.1096244911745,-3.67308708829881,0.00672056228026933,0.0664468496420177
"Cpq",0.5376,0.536797599563557,47,0.298,0.159781126024132,0.415037499278844,-0.358713241767283,0.396989368798502,0.725278989581123
"Cradd",0.3188,0.317595088349805,53,0.1058,0.0840924014848752,-1.04439411935845,-7.76834763614642,8.0919126660773e-05,0.00194523233894329
"Creb5",0.5521,0.542816091954023,29,0.0021,0.0432751471427563,0.302562770020431,-0.313014268473626,0.428815825840434,0.751613101740579
"Crebbp",0.5366,0.528294573643411,43,0.5857,0.269270864034519,0.162271428898876,-0.181662823979323,0.546665031983831,0.812377368742033
"Crim1",0.3032,0.307407407407407,33,0.4458,0.210522620987662,-1.17833724125851,-3.9731057024688,0.00481881502621501,0.0504945916422188
"Crk",0.5136,0.55625,24,0.0117,0.0535326646453855,0.0740005814437767,-0.021857770464031,0.834383744070124,0.96126609729002
"Cs",0.5708,0.5625,28,0.0212,0.0536174032587251,0.415037499278843,-0.40889855779816,0.36582502567352,0.692131915857617
"Csde1",0.4643,0.482456140350877,38,0,0.040251716183439,-0.206450877467426,-0.120425996737623,0.623591436325173,0.84505926942264
"Csnk1a1",0.4841,0.475372807017544,40,0.1929,0.120383156075574,-4.44089209850063e-16,-0.0239441614069307,0.826779354746214,0.958970188191919
"Csrp3",0.5229,0.520177116583505,49,0.3792,0.188234713514501,0.0537712564409806,-0.0867717304240543,0.676981632844594,0.881159420656498
"Ctnna1",0.5014,0.416666666666667,22,0.0719,0.0795380513295235,0.0780025120012731,-9.38065109181707e-05,0.989071565061869,1
"Ctnnal1",0.6941,0.676923076923077,26,0.4229,0.201274893362913,1.36257007938471,-3.5067913560549,0.00808936422173084,0.0757065689758932
"Ctnnd1",0.4846,0.442028985507246,23,0.5241,0.253138558239912,0.160464672193246,0.0139874170743859,1,1
"Ctsc",0.5215,0.519230769230769,26,1.2915,0.537049347472599,0.211504105193711,-0.0418870287827957,0.772246613257689,0.933702512676456
"Cul3",0.5628,0.530882352941176,34,0.1447,0.0955812584287482,0.443606651475615,-0.494061850097093,0.320201391332661,0.662001527443241
"Cul5",0.385,0.390625,32,1.0737,0.450185993200841,-0.770518153877233,-1.12184843651452,0.134159887446963,0.43799675212955
"Cux1",0.5752,0.547115384615385,52,0,0.0473524511461909,0.431716240425474,-0.921999075189731,0.174483061642368,0.495329202178512
"Cwc27",0.5023,0.478494623655914,31,0.498,0.232936130101328,0.131244533278252,-0.00476506319886383,0.922232163613618,0.998813279673406
"Cwf19l2",0.4001,0.365530303030303,24,7e-04,0.0433607212698395,-0.584962500721156,-0.703092787178861,0.235690643095369,0.585518316381074
"Cyb5b",0.6189,0.634615384615385,26,0.3123,0.167684563379563,0.678071905112638,-1.00612659386715,0.156033430651856,0.470017164567998
"Cyfip1",0.3144,0.256944444444444,24,0.0146,0.0561128370366268,-1.11547721741994,-2.61893264627678,0.0221003763421449,0.149927915875473
"Cyrib",0.3563,0.373864894795127,43,0.0573,0.0681208918840142,-0.874469117916142,-3.15511855397564,0.0120042784405932,0.0991486529603795
"Cyth1",0.5557,0.527142857142857,45,0,0.0457155853045471,0.321928094887362,-0.450389445235238,0.342572947828483,0.675758357536962
"D830005E20Rik",0.4055,0.428714358276282,66,0.1289,0.097075925901694,-0.57580250143568,-6.06009006488586,0.000498790853909887,0.00837695324511674
"D830024N08Rik",0.6035,0.6,30,1e-04,0.040513501723505,0.605721060887954,-1.10063649890116,0.137896817185155,0.442569366149214
"D830032E09Rik",0.977,0.967105263157895,38,3e-04,0.0467410002889045,5.4093909361377,-47.2304976955961,2.49969737295214e-22,1.02154299307977e-19
"Daam1",0.4665,0.438661946259985,54,0.1693,0.109002306373195,-0.084392187290372,-0.191680247185559,0.535810221220226,0.809392233353247
"Dab2",0.4883,0.496190476190476,35,1.768,0.714655849631063,-0.0824621601919733,-0.00803826809948305,0.899104013514337,0.986841110625405
"Dach1",0.6821,0.688405797101449,23,0.4829,0.229986056333358,0.947532580105865,-2.16804968102954,0.0373123126440691,0.213999407062837
"Dag1",0.4696,0.48513431013431,39,0.1049,0.0840891742162604,-0.234465253637023,-0.120610895174288,0.623325062784778,0.84505926942264
"Dapk1",0.441,0.473088023088023,33,0.5059,0.237041543395675,-0.491853096329675,-0.504001637334092,0.315381668230099,0.656141897854699
"Dcaf6",0.5418,0.484667373442884,49,0.0861,0.0775913414125733,0.337034987277571,-0.396721539937211,0.373061040126328,0.701492078519751
"Dcaf8",0.4001,0.422360248447205,46,0.0083,0.0486832358714083,-0.584962500721156,-1.45166549451822,0.0883967126512652,0.351014770509079
"Dcp1b",0.6597,0.678125,32,0.1302,0.090832460372787,0.866733469136535,-2.26847112019211,0.0331707947565274,0.197414535783993
"Ddx17",0.3684,0.355416666666667,40,0.0461,0.0615214864905666,-0.768674453893544,-2.33625934395111,0.0306489478065721,0.187878050054287
"Ddx5",0.4502,0.42972972972973,37,0.0321,0.0549305434732227,-0.255257055242075,-0.323809711738072,0.420965085730922,0.747905177617952
"Ddx6",0.6206,0.575925925925926,30,0.1729,0.107047650246205,0.866733469136535,-1.41789684364009,0.0921852443918143,0.355466296038689
"Dennd1a",0.5198,0.482388308858897,51,1e-04,0.0439501736256902,0.113956189297085,-0.0826331580071127,0.684353512279477,0.882980444687314
"Dennd1b",0.4583,0.495175438596491,38,2e-04,0.0410893381081524,-0.237039197300849,-0.152210760893201,0.581123709691977,0.831069799293667
"Dennd4a",0.585,0.533419913419913,25,0.0356,0.0554775139698863,0.493040011280117,-0.827845484252848,0.198186126368177,0.534461289752162
"Dennd4c",0.5126,0.565435606060606,44,0.102,0.0860272560245754,-0.0840642647884746,-0.0195448472275572,0.843271074147942,0.962616701029215
"Dennd6a",0.5418,0.575892857142857,32,0.2647,0.141198943995825,0.115477217419935,-0.108284235580069,0.641667103087472,0.856088043227954
"Dgat2",0.4262,0.403846153846154,26,1e-04,0.041923102058566,-0.432959407276106,-0.477493333286485,0.32845322402615,0.672127374445825
"Dhrs11",0.4821,0.454012345679012,27,1e-04,0.0402896908669833,-0.103093492964103,-0.041427212500885,0.773465813602101,0.934255258597218
"Dip2b",0.419,0.394444444444444,33,1e-04,0.0412694564306996,-0.469485283301221,-0.784233326000894,0.210429832794186,0.546920198012564
"Dip2c",0.6337,0.597429052429052,60,0.154,0.106654040856698,0.905956510084862,-7.68087521211416,8.87671430053226e-05,0.00205336825140614
"Dlat",0.4238,0.44,40,0.3719,0.184231065146378,-0.463947099759791,-0.689673156156026,0.240212525497192,0.58759173191689
"Dlc1",0.4822,0.462187357269324,61,0.2689,0.15055603388008,-0.05742828004907,-0.103246421655257,0.649530276004641,0.863692102366258
"Dleu2",0.4689,0.462635756056809,57,0.2129,0.126006488772628,-0.111645355828909,-0.198128540649861,0.529028614351523,0.804701093294004
"Dlg1",0.5607,0.531349206349206,36,5e-04,0.0424061221590785,0.351472370501378,-0.461157312775292,0.33686796023342,0.675267204132325
"Dmxl1",0.4564,0.472222222222222,38,0.0175,0.0493862396757543,-0.255257055242075,-0.216889112355808,0.510140830675367,0.798382248781529
"Dnaaf9",0.4949,0.481346069389548,46,0.0087,0.0498214792455289,-0.0255350921071383,-0.00718440299444012,0.904586165670479,0.986951778304054
"Dnaja2",0.6785,0.685185185185185,27,2.0055,0.802036897944792,0.874469117916141,-2.27641647053292,0.032864327874254,0.19654471206749
"Dnajb4",0.5084,0.482905982905983,39,0.3935,0.194567460022895,0.148098638989134,-0.0257258984894548,0.820556024021047,0.957642207143667
"Dnajb6",0.4998,0.419871794871795,26,2e-04,0.041465371765192,0,0.000920596357868675,1,1
"Dnajc1",0.5,0.496052631578947,38,1e-04,0.0451750549596037,0,0.000620099242269134,1,1
"Dnajc11",0.379,0.411764705882353,34,0.0224,0.0487183938460308,-0.722466024471092,-1.43713446996863,0.0900058401653518,0.354814019429972
"Dnajc7",0.4998,0.425347222222222,32,2e-04,0.0403276655505276,8.88178419700125e-16,0.000395579783464939,1,1
"Dnm1l",0.4631,0.441785714285714,40,0.126,0.0921018324441085,-0.156119201917282,-0.148617704024915,0.585620784883505,0.831983754800415
"Dock1",0.4551,0.451388888888889,36,0.1017,0.0805787797926712,-0.222392421336449,-0.216867090651071,0.510162307950718,0.798382248781529
"Dock2",0.5294,0.437407407407407,45,1e-04,0.047365732356894,0.169925001442313,-0.123364562019326,0.619387677015349,0.844782593343325
"Dock4",0.6119,0.664106019766397,53,0.0814,0.0748089922587578,0.584962500721156,-3.07528991487776,0.0131369024298469,0.106661207807896
"Dock8",0.3128,0.284722222222222,36,0.1371,0.0923150073226795,-1.07800251200127,-3.58357776855917,0.00742504155035631,0.0711179760995065
"Dpf3",0.3256,0.34952380952381,35,1e-04,0.0465371063528977,-1.05062607306997,-4.34518559886539,0.00319895469293747,0.0359809032434985
"Dsc2",0.5397,0.561728395061728,27,0.6621,0.293882195732486,-4.44089209850063e-16,-0.0720236885080432,0.704290070241277,0.895705006344196
"Dsp",0.5653,0.543627450980392,34,0.5214,0.245183710485162,0.342887713523007,-0.566963547707203,0.286939229895225,0.63604787749598
"Dst",0.5046,0.537924575424575,65,0.0269,0.0586034069249783,0.0089331247700073,-0.0288998331905503,0.810008076629827,0.953042132387877
"Dtna",0.4951,0.50999446290144,43,0.1114,0.0880897544471933,-1.66533453693773e-16,-0.00202155308613783,0.949300338047866,1
"Dtnbp1",0.4557,0.488888888888889,30,0.0156,0.0497462566836066,-0.263034405833793,-0.140304643419718,0.596302146422407,0.837418592799393
"Dusp16",0.5194,0.560606060606061,33,3e-04,0.0404155101553709,0.111031312388743,-0.0616181121147292,0.725550707773383,0.906007454550242
