celltype,condition,gene,bb_mu
Cardiomyocyte,F1_Aged,Casc3,0.438679245409721
Cardiomyocyte,F1_Aged,Casq2,0.463479415671875
Cardiomyocyte,F1_Aged,Castor2,0.41747572815534
Cardiomyocyte,F1_Aged,Cav1,0.30952380952381
Cardiomyocyte,F1_Aged,Cbfa2t2,0.476846057564312
Cardiomyocyte,F1_Aged,Cbfb,0.595041322123813
Cardiomyocyte,F1_Aged,Cbl,0.444444444461926
Cardiomyocyte,F1_Aged,Cc2d2a,0.397435897435898
Cardiomyocyte,F1_Aged,Ccar1,0.472000000000029
Cardiomyocyte,F1_Aged,Ccdc152,0.321428571428596
Cardiomyocyte,F1_Aged,Ccdc159,0.56521739126823
Cardiomyocyte,F1_Aged,Cd46,0.378571428571429
Cardiomyocyte,F1_Aged,Cdc123,0.558333333333333
Cardiomyocyte,F1_Aged,Cdh2,0.48957165283696
Cardiomyocyte,F1_Aged,Cecr2,0.459424083848791
Cardiomyocyte,F1_Aged,Cemip2,0.406593406593411
Cardiomyocyte,F1_Aged,Cenpc1,0.621359223127404
Cardiomyocyte,F1_Aged,Cep120,0.351206434673402
Cardiomyocyte,F1_Aged,Cep135,0.417721518987342
Cardiomyocyte,F1_Aged,Cep162,0.406779661016949
Cardiomyocyte,F1_Aged,Cers4,0.585635359116023
Cardiomyocyte,F1_Aged,Cert1,0.557120500777364
Cardiomyocyte,F1_Aged,Chrm2,0.486731391585774
Cardiomyocyte,F1_Aged,Clic5,0.540587219343239
Cardiomyocyte,F1_Aged,Clptm1,0.390243902481515
Cardiomyocyte,F1_Aged,Cnep1r1,0.548387096349912
Cardiomyocyte,F1_Aged,Col3a1,0.250000000001337
Cardiomyocyte,F1_Aged,Commd1,0.594444444444396
Cardiomyocyte,F1_Aged,Copg2,0.62745098035135
Cardiomyocyte,F1_Aged,Coq5,0.621546961323472
Cardiomyocyte,F1_Aged,Cox11,0.414893617021647
Cardiomyocyte,F1_Aged,Cpd,0.571428571428536
Cardiomyocyte,F1_Aged,Cpne8,0.405797101449276
