"celltype","condition","group_id","n_genes_fit","median_r2_mcfadden","sex_terms","pct_sig_sex"
"Cardiomyocyte","F1_Aged","Cardiomyocyte__F1_Aged",688,0.00251466972826475,"sexM",0.169838945827233
"Cardiomyocyte","F1_Young","Cardiomyocyte__F1_Young",578,0.00283775350237719,"sexM",0.145328719723183
"Coronary_EC","F1_Aged","Coronary_EC__F1_Aged",58,0.00681586833206593,"sexM",0.0862068965517241
"Coronary_EC","F1_Young","Coronary_EC__F1_Young",47,0.00604428594809903,"sexM",0.0212765957446809
"Endocardial_EC","F1_Aged","Endocardial_EC__F1_Aged",85,0.00602193490486724,"sexM",0.117647058823529
"Endocardial_EC","F1_Young","Endocardial_EC__F1_Young",39,0.00835472844210194,"sexM",0.0512820512820513
"Fibroblast","F1_Aged","Fibroblast__F1_Aged",228,0.00526580694261625,"sexM",0.131578947368421
"Fibroblast","F1_Young","Fibroblast__F1_Young",141,0.00488607739453595,"sexM",0.049645390070922
"M2","F1_Aged","M2__F1_Aged",17,0.0146223727575993,"sexM",0.176470588235294
"M2","F1_Young","M2__F1_Young",13,0.00835443456649176,"sexM",0.153846153846154
"MacFib","F1_Aged","MacFib__F1_Aged",33,0.0133198516226096,"sexM",0.0909090909090909
"MacFib","F1_Young","MacFib__F1_Young",1,0.000633165754975518,"sexM",0
"Mesothelial","F1_Aged","Mesothelial__F1_Aged",2,0.0292970198891291,"sexM",0
"Mesothelial","F1_Young","Mesothelial__F1_Young",3,0.00340382018920027,"sexM",0
"Myeloid","F1_Aged","Myeloid__F1_Aged",4,0.0393199294558421,"sexM",0.5
"Pericytes","F1_Aged","Pericytes__F1_Aged",108,0.00953738157358863,"sexM",0.12037037037037
"Pericytes","F1_Young","Pericytes__F1_Young",82,0.00745977365667261,"sexM",0.0365853658536585
"Unknown_1","F1_Aged","Unknown_1__F1_Aged",2,0.048834186714414,"sexM",0
