"n_rows_bb_mean","n_rows_group_mean","n_rows_group_var","sig_FDR_bb_mean","sig_FDR_group_mean","sig_FDR_group_var","group_id","celltype","condition"
6723,6723,6723,3026,1039,1115,"Cardiomyocyte__F1_Aged","Cardiomyocyte","F1_Aged"
6415,6415,6415,2775,918,925,"Cardiomyocyte__F1_Young","Cardiomyocyte","F1_Young"
1986,1986,1986,107,399,355,"Coronary_EC__F1_Aged","Coronary_EC","F1_Aged"
1793,1793,1793,95,302,297,"Coronary_EC__F1_Young","Coronary_EC","F1_Young"
2842,2842,2842,99,710,608,"Endocardial_EC__F1_Aged","Endocardial_EC","F1_Aged"
2119,2119,2119,88,455,416,"Endocardial_EC__F1_Young","Endocardial_EC","F1_Young"
4468,4468,4468,503,1277,1380,"Fibroblast__F1_Aged","Fibroblast","F1_Aged"
3308,3308,3308,309,855,645,"Fibroblast__F1_Young","Fibroblast","F1_Young"
1227,1227,1227,80,299,240,"M2__F1_Aged","M2","F1_Aged"
1152,1152,1152,64,75,82,"M2__F1_Young","M2","F1_Young"
2730,2730,2730,92,993,967,"MacFib__F1_Aged","MacFib","F1_Aged"
1643,1643,1643,58,163,174,"MacFib__F1_Young","MacFib","F1_Young"
1176,1176,1176,56,167,153,"Mesothelial__F1_Aged","Mesothelial","F1_Aged"
1383,1383,1383,49,216,172,"Mesothelial__F1_Young","Mesothelial","F1_Young"
668,668,668,19,156,145,"Myeloid__F1_Aged","Myeloid","F1_Aged"
495,495,495,4,46,48,"Myeloid__F1_Young","Myeloid","F1_Young"
2393,2393,2393,177,680,632,"Pericytes__F1_Aged","Pericytes","F1_Aged"
2023,2023,2023,178,504,421,"Pericytes__F1_Young","Pericytes","F1_Young"
1405,1405,1405,24,459,427,"Unknown_1__F1_Aged","Unknown_1","F1_Aged"
796,796,796,13,80,51,"Unknown_1__F1_Young","Unknown_1","F1_Young"
