"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"Gramd1b",0.3829,0.392255892255892,99,0.1833,0.250872638624928,-0.718818247455947,-3.69974867447689,0.00652421048189294,0.0414709278265435
"Grk5",0.6012,0.601260504201681,119,0.1579,0.231644179900529,0.592575684831032,-2.3863307690096,0.0289150912832455,0.1271009904843
"Grn",0.5203,0.521978021978022,91,0.3304,0.315486826597288,0.111031312388744,-0.0220123481851573,0.833807671792295,0.939140558223295
"Gsap",0.5925,0.588624338624339,126,0.5474,0.379002819417457,0.547487795302493,-2.00223693689321,0.0453796581945604,0.178245635988381
"Gsk3b",0.4433,0.426923076923077,130,0.639,0.418098072001054,-0.219313028404476,-1.08708953221571,0.140344388890366,0.372458639781264
"Gtdc1",0.4381,0.43734335839599,133,0.4321,0.330808316915766,-0.343954401217361,-1.61134192439107,0.0726244662360567,0.245534059506131
"Gtf2a1",0.4623,0.468926553672316,59,1.6068,0.803398390677217,-0.404390255079336,-0.333658038125215,0.413988912835049,0.688273646338798
"Gtf2f2",0.5777,0.574074074074074,72,1.056,0.594826313251606,0.473931188332413,-0.745847566595579,0.221953636531314,0.494184063658119
"Gtf2h1",0.554,0.562573099415205,57,0.1788,0.258569811775708,0.285402218862248,-0.268019731478965,0.464078752157415,0.727564636731682
"Gucy1a2",0.4896,0.48015873015873,21,1.8044,0.865933234016296,-0.337034987277571,-0.0378943002851742,0.783087842578681,0.915799189086502
"Gusb",0.6203,0.616465863453815,83,0,0.192631682810283,0.712718047919529,-2.21120797328147,0.0354697820059258,0.147364145859671
"Gvin-ps7",0.5246,0.537162162162162,74,1.2164,0.655547652807429,0.0324214776923775,-0.0166575837765208,0.85517118398769,0.950001804574843
"H2-Aa",0.5358,0.544242779078845,122,0.2225,0.243229520727424,0.17306470897288,-0.23656252575617,0.491553000869326,0.749880665834134
"H2-Ab1",0.5481,0.535251155947877,122,0.0088,0.157821926664978,0.282399730700725,-0.388386467610019,0.378129911511095,0.656825561687833
"Hace1",0.4455,0.451111111111111,75,0.7936,0.49458654293209,-0.37851162325373,-0.732183926905066,0.226236426208364,0.499256930785526
"Hapstr1",0.4792,0.495518207282913,119,0.0017,0.176387872172717,-0.120294233717712,-0.209124942275821,0.517811612103327,0.771738460346304
"Hat1",0.6307,0.624113475177305,47,0.8174,0.497538550212593,0.788495894806288,-1.62020123244586,0.0718429879572243,0.244120776954143
"Havcr2",0.5238,0.549158249158249,99,0.0333,0.187785058587924,0.118644496498619,-0.116110273532044,0.629882192244527,0.836224065986106
"Hck",0.558,0.566860465116279,86,2e-04,0.190094421533997,0.334419039070559,-0.514319467471111,0.310478557198401,0.591877287374435
"Hdac4",0.61,0.616161616161616,66,0.3806,0.338090131510498,0.614709844115208,-1.50933829842941,0.0823106098627107,0.264948459197795
"Hdac9",0.6099,0.612511493674284,215,0.6185,0.376588448222279,0.699732687967231,-6.3957890018319,0.000348183296863312,0.0041028616560209
"Heatr5a",0.5009,0.50318287037037,288,0.6632,0.392522719483701,-0.0264722113611908,-0.0661715567625549,0.716014882505287,0.884545783952702
"Hectd1",0.5066,0.481826241134752,188,0.0784,0.18361706550272,0.0574854946607601,-0.0144675384790389,0.864929027101193,0.957851314518201
"Hecw2",0.4478,0.457142857142857,49,0.1867,0.262968116673661,-0.347923303420307,-0.458307459078213,0.338365356787206,0.620952817783442
"Heg1",0.4708,0.468609104554749,79,0.217,0.232005459286546,-0.168754457734375,-0.464092752274567,0.335334864857591,0.617641455839165
"Helz",0.4463,0.442666666666667,125,0.4407,0.343096732932211,-0.281412935148649,-1.07269949985444,0.142997855115129,0.376162765087447
"Herc1",0.469,0.466666666666667,230,0.0961,0.183251892900864,-0.177240384944073,-0.974399408985022,0.162716348348048,0.41345957367127
"Herc2",0.5003,0.485534591194969,159,0.1725,0.228469116624782,0.0297473433940523,-0.0397179695804653,0.778063268484791,0.915362446901058
"Herc4",0.4722,0.469729344729345,234,0.6212,0.382656956192003,-0.14172810961166,-0.780228177157085,0.211598413737271,0.483413609615193
"Herc6",0.5625,0.543345543345543,78,4e-04,0.192551579027378,0.362570079384708,-0.330372216393634,0.416297253492141,0.690863740046858
"Hgsnat",0.2728,0.266666666666667,130,1.5686,0.766526151909589,-1.23521646169403,-15.9377689956541,1.64374238765731e-08,5.17522017363981e-07
"Hibadh",0.3053,0.317073170731707,82,0.4208,0.351684535894909,-1.2505434616506,-7.92176943397028,6.88010491596272e-05,0.00101192783982955
"Hip1",0.6118,0.622378277153558,178,0.0034,0.1546473006616,0.656045598782639,-4.98798577180875,0.00158596289856571,0.0140780407075326
"Hipk1",0.4463,0.453900709219858,94,0.4571,0.358923658011557,-0.349942471056959,-0.877863270311295,0.185158443010018,0.447355231013412
"Hivep2",0.4416,0.450219889632308,355,0.2586,0.230902480325779,-0.357704324212892,-6.18833473747509,0.000434731916418439,0.00481310336034701
"Hlcs",0.3413,0.328767123287671,73,0.3281,0.317441221794864,-0.886343218204433,-4.8698205410734,0.00180336106641161,0.0155955903382806
"Hltf",0.4388,0.432051282051282,130,0.0772,0.197013998946962,-0.351985328743542,-1.607094205191,0.0730023859191936,0.245634208834027
"Hmbox1",0.467,0.471074380165289,121,0.8238,0.488577745590438,-0.241008099503795,-0.518367955725168,0.308581829520123,0.590496093526162
"Hmcn1",0.4485,0.481428571428571,30,0.1777,0.255554007057852,-0.415037499278844,-0.28690678785588,0.448747470048248,0.717070699561633
"Hmg20a",0.5755,0.576086956521739,92,0.5855,0.406904661327476,0.443606651475615,-0.932408516826314,0.172069873450432,0.428579474663314
"Hnrnpa2b1",0.452,0.455284552845528,205,0,0.1526535354332,-0.277228287416548,-1.52198504434415,0.0810375026718082,0.263359864295722
"Hnrnpc",0.5441,0.538271604938272,135,0.0137,0.176884686229643,0.256339753259786,-0.316875985492032,0.425982397068479,0.69663753517088
"Hnrnpf",0.6348,0.642222222222222,75,2.4399,1.12005539269089,0.652076696579693,-2.38843122437318,0.0288446298642663,0.1271009904843
"Hnrnph1",0.5834,0.58812375249501,167,2e-04,0.158978141467535,0.485426827170242,-2.20284451167687,0.0358192521653958,0.148204913990293
"Hnrnpll",0.4142,0.431034482758621,58,0.3485,0.322675461551391,-0.584962500721157,-1.20489018401152,0.120579282402727,0.342207400058443
"Homer1",0.5088,0.504710144927536,138,0.6657,0.412553592685626,0.0410272682600548,0.000318122042216373,1,1
"Hpcal1",0.5724,0.567897091722595,149,0.7413,0.439913806117693,0.41119543298445,-1.4418773908959,0.0894771568879019,0.281713236139254
"Hpgd",0.4634,0.474919093851133,103,0.8891,0.511300435045888,-0.287576590096585,-0.618272790186538,0.266137844809711,0.550018212606735
"Hpgds",0.6542,0.660130718954248,102,0.976,0.553325030656423,0.844349129539806,-4.6135814169437,0.00238450851372724,0.0194731490720989
"Hps3",0.4021,0.393034825870647,201,0.7497,0.437932777150708,-0.500898235932682,-5.07393778108721,0.00144467633598465,0.0131720489457424
