celltype,n_genes,n_terms,top,padj
Cardiomyocyte,1571,59,heart process,4.684819717924598e-4
Coronary_EC,31,0,NA,NA
Endocardial_EC,54,0,NA,NA
Fibroblast,376,1,cell adhesion,0.009548690344152453
Mesothelial,47,0,NA,NA
Myeloid,102,0,NA,NA
Pericytes,102,0,NA,NA
