"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"9530026P05Rik",0.516666666666667,25,0.485426827170242,19.5249660091549,0.46,0.878157894736842
"Acta2",0.471605667060213,33,-0.131244533278253,0.187564055196297,0.95,1
"Actn1",0.5,23,0,-2.09657250174821,0,0
"Acyp2",0.178571428571429,14,-2.0703893278914,-2.59447303579524,0,0
"Akap6",0.548309178743961,23,0.0588936890535686,0.18912946431778,0.98,1
"Aopep",0.382098765432099,27,-0.283792966000591,0.175320770380285,0.95,1
"Cacna1c",0.486111111111111,30,-0.156119201917282,-0.195028541096917,0.03,0.0819230769230769
"Cacna2d1",0.528571428571429,21,0.556393348524385,2.43244112172671,0.99,1
"Cacnb2",0.39026169026169,37,-0.409390936137702,0.463464266516432,0.67,1
"Cald1",0.512962962962963,36,-0.405992359675837,-1.87769164369095,0,0
"Carmn",0.461412151067323,29,-0.137503523749935,-1.09827925298253,0,0
"Celf2",0.566176470588235,17,0.131244533278253,-0.818534219085304,0,0
"Clic4",0.15,19,-2.50250034052918,-1.03925517856334,0.03,0.0819230769230769
"Cobll1",0.510416666666667,16,-0.169925001442312,7.16758626097873,0.99,1
"Cped1",0.596894020766201,28,0.57190634789571,-0.0203136550088061,0.09,0.206129032258065
"Crim1",0.421645021645022,21,-0.0901978089715781,-0.441755936727798,0.06,0.142
"Dip2c",0.4625,24,-0.201633861169651,-0.362035640480414,0.02,0.0617391304347826
"Dlc1",0.554150579150579,37,0.421463768438277,-0.585638706484509,0.01,0.0338095238095238
"Ebf1",0.363852813852814,33,-0.495957494662411,1.28486977258131,0.53,0.917804878048781
"Enah",0.462797619047619,24,-0.685891409571937,2.7247817957725,0.74,1
"Entpd1",0.543137254901961,17,-0.304854581528421,-2.05405981985171,0,0
"Esyt2",0.377777777777778,27,-0.369233809665719,1.68701469175856,0.99,1
"Ext1",0.601731601731602,22,0.502500340529183,0.446499927193205,0.87,1
"Fbxl17",0.36231884057971,23,-0.473931188332413,-1.233956524455,0,0
"Fry",0.370238095238095,30,-0.597240830499593,0.61474170149981,0.38,0.770857142857143
"Igf1r",0.547222222222222,24,0,3.90515488985916,0.96,1
"Igfbp7",0.55,20,0.106915203916512,0.655261856950766,0.71,1
"Irag1",0.5,30,0,0.882823153970779,0.97,1
"Itga8",0.622908232118758,19,0.584962500721156,-0.0627875291450763,0.1,0.221875
"Itpr1",0.561538461538462,26,0.131244533278253,0.549080465675694,0.98,1
"Kcnab1",0.419142416723062,31,-0.390459476558178,-0.558745355945163,0.04,0.0979310344827586
"Ldlrad4",0.266666666666667,21,-1.05444778402238,-4.02508967081566,0,0
"Lhfpl6",0.545238095238095,21,-0.111031312388744,-0.0895726008140016,0.01,0.0338095238095238
"Lncpint",0.408730158730159,21,-0.289506617194985,-5.8361180346475,0,0
"Lpp",0.562825190682333,35,-0.0524674198941355,-2.35088076055307,0.01,0.0338095238095238
"Luc7l2",0.616666666666667,21,0.552541023028779,-2.70773515837494,0,0
"Magi1",0.522727272727273,22,0,-0.433180714790257,0.01,0.0338095238095238
"Malat1",0.482560678170061,42,-0.0900218705517393,0.00164464528469921,0.49,0.892051282051282
"Mast4",0.421095977193538,41,-0.485426827170242,0.118360312306336,0.84,1
"Msrb3",0.56820987654321,27,0.584962500721156,0.779945885244022,0.9,1
"Myh11",0.423370773370773,37,-0.447458976971221,0.337803583601001,0.51,0.90525
"Myocd",0.592105263157895,19,0.337034987277571,-0.98953156685727,0,0
"Myom1",0.43,30,-0.415037499278844,0.55537576949736,0.91,1
"Nfib",0.315217391304348,23,-0.724365557386572,-0.577653530783529,0,0
"Pakap",0.531481481481481,24,-0.15754127698648,0.940991470993993,0.8,1
"Pbx1",0.66474358974359,26,0.584962500721156,0.759974277042371,0.92,1
"Pcdh7",0.51555637345111,19,-0.131244533278252,-0.758258044182949,0.02,0.0617391304347826
"Pde1a",0.436507936507937,21,-0.263034405833794,7.00756900318193,0.98,1
"Pde3a",0.495172275641026,32,-0.165059246270496,0.777001541299775,0.61,1
"Pdlim5",0.644444444444444,30,0.901819606061097,0.0411657750602998,0.85,1
"Phldb2",0.677777777777778,21,0.552541023028779,-3.0737544367683,0,0
"Plce1",0.395238095238095,22,-0.389946518316013,-2.27627331373184,0.01,0.0338095238095238
"Plcl1",0.591326530612245,28,0.192645077942396,0.894639826807989,0.11,0.229705882352941
"Ppm1l",0.520833333333333,12,0.169925001442312,9.28817633955452,1,1
"Ppp1r12a",0.437640056022409,34,-0.196397212803503,-0.463218674897924,0.01,0.0338095238095238
"Prkg1",0.136428571428571,35,-2.33498424771281,-0.00824967973024826,0.47,0.878157894736842
"Rasal2",0.304,25,-1.32192809488736,-2.1911087663143,0,0
"Rbpms",0.519089390142022,38,-0.295455883526171,1.24088570722905,0.45,0.878157894736842
"Rock1",0.456226053639847,29,-0.109624491174498,0.0257597202882494,0.92,1
"Ror1",0.460127591706539,19,0.15200309344505,2.47224624681488,0.78,1
"Samd4",0.519583333333333,20,0.176877762084079,-3.30762982023749,0,0
"Setbp1",0.502083333333333,16,-0.169925001442312,10.9661955156052,1,1
"Slc8a1",0.603011099176513,35,0.405256478486259,-1.83486377887562,0.04,0.0979310344827586
"Slit3",0.558760683760684,26,0.0489096004809464,0.694315237649658,0.72,1
"Sorbs2",0.562599206349206,24,0.395928676331139,-0.759845169335161,0.11,0.229705882352941
"Sptbn1",0.560110420979986,23,-0.0544477840223764,-0.652073139876062,0.03,0.0819230769230769
"Syne1",0.555555555555556,18,0.353636954614701,2.95620735082336,0.98,1
"Synpo2",0.480555555555556,36,-0.142957953842043,-0.404230767537335,0.04,0.0979310344827586
"Tpm1",0.428,25,-0.289506617194985,2.23329879940269,0.72,1
"Utrn",0.585,30,0.402098443571346,0.0371435061998859,0.99,1
"Zfpm2",0.333333333333333,28,-1.03952836418664,0.582026150833379,0.6,1
