gene,condition
Abra,F1_Aged
Acyp2,F1_Aged
Adam19,F1_Aged
Arhgef3,F1_Aged
Asb14,F1_Aged
Atxn2,F1_Aged
Btbd9,F1_Aged
Cacnb2,F1_Aged
Ccar1,F1_Aged
Ccbe1,F1_Aged
Cdk14,F1_Aged
Chd7,F1_Aged
Clip1,F1_Aged
Cmya5,F1_Aged
Cog5,F1_Aged
Crim1,F1_Aged
D830005E20Rik,F1_Aged
Dip2c,F1_Aged
Dpf3,F1_Aged
Eif4g3,F1_Aged
Enah,F1_Aged
Fsd2,F1_Aged
Glul,F1_Aged
Gm20619,F1_Aged
Gramd1b,F1_Aged
Grk5,F1_Aged
Idh3b,F1_Aged
Ino80,F1_Aged
Kcnq1,F1_Aged
Lrrc10,F1_Aged
Lrrfip2,F1_Aged
Lrtm1,F1_Aged
Man2a1,F1_Aged
Map2k4,F1_Aged
Mapk10,F1_Aged
Mbnl1,F1_Aged
Mgat5,F1_Aged
Mpc1,F1_Aged
Myl3,F1_Aged
Mylk4,F1_Aged
Nebl,F1_Aged
Neo1,F1_Aged
Nktr,F1_Aged
Nr3c2,F1_Aged
Osgepl1,F1_Aged
Pcnx1,F1_Aged
Pdzrn4,F1_Aged
Picalm,F1_Aged
Pja2,F1_Aged
Plcl2,F1_Aged
Ppp1r3a,F1_Aged
Ralgapa2,F1_Aged
Resf1,F1_Aged
Rmdn1,F1_Aged
Rnf150,F1_Aged
Rora,F1_Aged
Slc25a13,F1_Aged
Slmap,F1_Aged
Snx6,F1_Aged
Stag1,F1_Aged
Stat3,F1_Aged
Stk39,F1_Aged
Stxbp6,F1_Aged
Tacc1,F1_Aged
Tbc1d5,F1_Aged
Tlr4,F1_Aged
Tmem245,F1_Aged
Tns3,F1_Aged
Trim55,F1_Aged
Urgcp,F1_Aged
Zfp809,F1_Aged
Zup1,F1_Aged
Ablim1,F1_Young
Angpt1,F1_Young
Aox1,F1_Young
Auts2,F1_Young
Bach1,F1_Young
Bzw2,F1_Young
Camk2d,F1_Young
Camkmt,F1_Young
Celf1,F1_Young
Celf2,F1_Young
Chaserr,F1_Young
Ckmt2,F1_Young
Ctnnal1,F1_Young
Dnajb4,F1_Young
Dock2,F1_Young
Esrrb,F1_Young
Foxn3,F1_Young
Heatr5a,F1_Young
Itgb6,F1_Young
Itpr1,F1_Young
Jph1,F1_Young
Kcnd2,F1_Young
Kcng2,F1_Young
Kdm4c,F1_Young
Kmt2e,F1_Young
Lhfpl6,F1_Young
Man1a,F1_Young
Med13,F1_Young
Mhrt,F1_Young
Mybpc3,F1_Young
Myoz2,F1_Young
Neat1,F1_Young
Nedd4l,F1_Young
Nr3c1,F1_Young
Nrp1,F1_Young
Pam,F1_Young
Paxbp1,F1_Young
Pde3a,F1_Young
Pde4dip,F1_Young
Pid1,F1_Young
Ppip5k1,F1_Young
Ppm1l,F1_Young
Rab30,F1_Young
Rbfox1,F1_Young
Rnls,F1_Young
Runx1,F1_Young
Serinc3,F1_Young
Skap2,F1_Young
Slc8a1,F1_Young
Sltm,F1_Young
Sorbs2os,F1_Young
Sptan1,F1_Young
St3gal3,F1_Young
Tbc1d4,F1_Young
Tead1,F1_Young
Tnfaip8,F1_Young
Tnnc1,F1_Young
Tnnt2,F1_Young
Ube2h,F1_Young
Ugp2,F1_Young
Zcchc7,F1_Young
Zfp521,F1_Young
