"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"Bmpr1a",0.489424703891709,0.4795,0.2215,0.320289405273801,0.360718684988186,0.263492063492063,197
"Bmpr2",0.491298527443106,0.4938,1.2896,0.717410480157544,0.347756940027289,0.355555555555556,249
"Bptf",0.503731343283582,0.5162,0.4703,0.433346110463627,0.389089959381446,0.166137566137566,134
"Braf",0.579939668174962,0.5691,0.7274,0.508839687701416,0.355275816349296,0.311111111111111,221
"Brd10",0.53030303030303,0.5267,0.8139,0.577852843622358,0.410511909825881,0.152380952380952,121
"Brwd1",0.543478260869565,0.5368,1.1699,0.695197026856485,0.383255592352138,0.172486772486772,138
"Btaf1",0.30761316872428,0.2999,0.5177,0.440017292720319,0.371787078414834,0.203174603174603,162
"Btbd3",0.573286052009456,0.5567,1e-04,0.249052877541884,0.380328761632304,0.176719576719577,141
"Btbd7",0.477477477477477,0.4769,1.1048,0.664698851821238,0.37443271301497,0.19047619047619,148
"Btbd9",0.496212121212121,0.4849,0.6821,0.508943420611218,0.3817082510802,0.174603174603175,132
"Btg2",0.43855981416957,0.4383,0.4151,0.404494548573844,0.377040007188451,0.183068783068783,123
"Btrc",0.447058823529412,0.4458,0.5171,0.437867689524064,0.368851917799754,0.223280423280423,170
"Bzw2",0.579787234042553,0.585,1.2956,0.871447115177461,0.579542227247708,0.118518518518519,94
"C330020E22Rik",0.239583333333333,0.2416,3.2934,1.94060843198216,1.05378394511409,0.0835978835978836,64
"Cab39",0.44281045751634,0.4401,0.8206,0.658740740922425,0.530168691635516,0.124867724867725,102
"Cachd1",0.467361111111111,0.4685,0.4278,0.422501530017901,0.397176670180674,0.15978835978836,120
"Cacna1a",0.520299145299145,0.5169,0.0721,0.271832940045511,0.37336151042951,0.194708994708995,156
"Cacna1c",0.523145528838598,0.5249,0.1438,0.206159797533483,0.231470730766139,1.28148148148148,606
"Cacna2d1",0.533093531319338,0.531,0.4742,0.345954554674908,0.253351923173476,0.990476190476191,465
"Cacnb2",0.8121103117506,0.8129,1.298,0.696970725839298,0.311666621931887,0.516402116402116,278
"Cacnb4",0.519301712779974,0.512,0.3368,0.3525686665902,0.343145876772099,0.374603174603175,253
"Cald1",0.500642450390772,0.5089,0.1527,0.203352434583382,0.222020951753686,1.43492063492063,596
"Camk2d",0.631666666666667,0.6302,0.4707,0.39127453904113,0.324600645962152,0.452910052910053,300
"Camkmt",0.42,0.4222,6.7884,2.82302796574529,0.37443271301497,0.19047619047619,125
"Cap2",0.481497797356828,0.4865,0.4201,0.390713429229414,0.353091644243059,0.326984126984127,227
"Carmil1",0.459111111111111,0.464,0.265,0.315021921562432,0.327443481533022,0.44021164021164,300
"Carmn",0.437660668380463,0.4361,0.3612,0.329819675927717,0.2942485850336,0.624338624338624,389
"Cast",0.450980392156863,0.4521,2.504,1.30804933943734,0.545507357767291,0.122751322751323,102
"Cbfa2t2",0.439068100358423,0.4305,1e-04,0.398254617980792,0.608209553195996,0.115343915343915,93
"Cbfa2t3",0.483974358974359,0.4906,0.6638,0.495965712627707,0.372500965086718,0.198941798941799,156
"Cbfb",0.548076923076923,0.5513,1.193,0.747401916814919,0.449591860948653,0.13968253968254,104
"Cbl",0.561056105610561,0.5621,0.472,0.504194220692162,0.496312639737162,0.13015873015873,101
"Cblb",0.491329479768786,0.4891,0.5659,0.452798409485798,0.363352104087976,0.247619047619048,173
"Cbx5",0.41044776119403,0.4141,4.2922,2.34506875782311,1.09222568278183,0.0814814814814815,67
"Ccar1",0.492753623188406,0.4753,0.3196,0.407852229168255,0.437558304682981,0.142857142857143,115
"Ccdc141",0.396825396825397,0.3983,0.4626,0.417920408887664,0.369995771174426,0.215873015873016,168
"Ccdc80",0.301322751322751,0.3063,0.8817,0.598217180615578,0.40229104052686,0.156613756613757,126
"Ccdc88a",0.550632911392405,0.5641,0.8324,0.773858674065933,0.699148148190035,0.106878306878307,79
"Ccn2",0.448333333333333,0.4501,0.6393,0.55995242745529,0.484440007533379,0.132275132275132,100
"Ccnd3",0.507837837837838,0.5176,0.7539,0.522761891293147,0.3611696619684,0.26031746031746,185
"Ccnl1",0.474806201550388,0.4747,0.6809,0.742449610664032,0.739046038687532,0.103703703703704,86
"Ccnl2",0.612021857923497,0.6166,3e-04,0.291732783460195,0.445399204604872,0.140740740740741,122
"Ccnt1",0.480392156862745,0.479,0.3685,0.502389812176012,0.553586706463495,0.121693121693122,102
"Ccnt2",0.442477876106195,0.4395,0.0365,0.308224701625045,0.449591860948653,0.13968253968254,113
"Ccny",0.502741228070175,0.5054,0.7208,0.520293256360377,0.376597233547749,0.184126984126984,152
"Ccser2",0.543010752688172,0.5519,0.1723,0.457186259476149,0.598341813639904,0.116402116402116,93
