"","AR","N","log2FC","llr","pval"
"Hnrnpc",0.58974358974359,13,0.299560281858908,-4.45069206625231,0.0028495457569041
"Hnrnph1",0.571937321937322,18,0.568283759574526,-7.73248607041229,8.4048483389399e-05
"Homer1",0.47031746031746,20,-0.490986352512142,-11.4135001342618,1.77257880916455e-06
"Hpgd",0.85952380952381,14,2.52356195605701,-14.8541018553175,5.02218359731649e-08
"Hs3st5",0.480654761904762,16,-0.113210610447991,-9.87914763340619,8.78794393963812e-06
"Hspg2",0.638888888888889,12,0.251538766995964,-17.2144605031179,4.42104901629654e-09
"Hycc1",0.310416666666667,16,-0.925999418556223,-8.25011772688504,4.86440330694013e-05
"Idh3b",0.463888888888889,12,0.176877762084079,-16.6200633162115,8.14522682648298e-09
"Ifrd1",0.559632034632035,28,0.133266530863464,0.255347695352,1
"Igf1r",0.567472718253968,32,0.192645077942396,-10.472625633208,4.72597872189125e-06
"Igfbp5",0.437343831886455,45,-0.100028818331272,-0.147149330759333,0.587478924282304
"Igfbp6",0.68681917211329,24,0.915607812709628,-14.4270521705789,7.8040353539115e-08
"Igfbp7",0.500520833333333,16,-0.0443941193584536,-5.91727932520784,0.000581414777186987
"Ikzf2",0.6,10,0.074000581443777,-12.2856083962855,7.16134682626965e-07
"Il15ra",0.416666666666667,15,-0.308122295362332,-8.48163285753736,3.81100894740358e-05
"Il6st",0.404899267399267,26,-0.489805267680816,-14.0051016415432,1.20677479190065e-07
"Ino80",0.528769841269841,12,-0.15754127698648,-16.4111126382413,1.00983644869568e-08
"Inpp5a",0.477455357142857,16,0.187627003175771,-23.1383665872006,1.02676015405249e-11
"Insr",0.639907478142772,17,0.597240830499593,-9.09084097434631,2.00800924670011e-05
"Ints6",0.666666666666667,10,0.678071905112638,-20.4093807880184,1.67021864823619e-10
"Ipo7",0.404761904761905,14,-0.115477217419936,-20.4040741631315,1.6793141815711e-10
"Irf2",0.520734126984127,24,-0.0840642647884746,-10.0103299190511,7.66099713052255e-06
"Itga6",0.553174603174603,12,-0.332575339086871,-18.1508644827235,1.69013859302011e-09
"Itpr1",0.584391534391534,27,0.385290155884792,-3.34785705516974,0.00966449508529308
"Itpr2",0.228787878787879,33,-1.71424551766612,-8.17420474110713,5.27003719255438e-05
"Itsn2",0.416666666666667,17,-0.628031222613042,-7.75610959347875,8.1973644303817e-05
"Ivns1abp",0.496129309287204,19,0.359081093304828,-9.18681185313984,1.81553890153535e-05
"Jak1",0.476851851851852,12,0.415037499278844,-17.6657391096754,2.78100729901429e-09
"Jak2",0.552891156462585,14,0.192645077942396,-4.81028726793026,0.00192409530805981
"Jarid2",0.558823529411765,17,0.509013647487858,-21.3352868436126,6.47794946771717e-11
"Jmjd1c",0.666666666666667,20,0.0655883416275768,-8.01555976868731,6.2309858987654e-05
"Jph2",0.432530189109136,19,-0.39231742277876,-13.9178216581155,1.32070444201833e-07
"Kank1",0.512414965986395,28,-0.070389327891398,-14.0577890012187,1.14282266078596e-07
"Kansl1",0.417679141034404,38,-0.432111012637785,-1.80466961973335,0.0574559435731381
"Kansl1l",0.549019607843137,17,0.652076696579693,-8.03870876369526,6.08048196830455e-05
"Kat6a",0.438888888888889,15,-0.37851162325373,-24.0229146150849,4.1637236540518e-12
"Kat6b",0.547348484848485,22,0.131244533278253,-12.4233940581951,6.20723836360884e-07
"Kcmf1",0.553030303030303,11,0.275634442613427,-15.9371183911256,1.64484389899142e-08
"Kcnd2",0.885568189979955,51,2.56333248474961,-3.27601488614104,0.0104764576277239
"Kcnd3",0.392857142857143,14,-0.765534746362977,-5.66195084625553,0.00076515770276502
"Kcng2",0.615567765567766,13,0,-18.1100498211922,1.7624340929693e-09
"Kcnj3",0.519258056758057,18,0.238786859587117,-8.98843534510108,2.23605441817963e-05
"Kcnq1ot1",0.347298534798535,26,-0.935869662580284,-3.11941006965873,0.0124979709443491
"Kcnt2",0.459544695071011,38,0.046293652273935,-14.8989878653124,4.79492374688145e-08
"Kdm3b",0.416666666666667,12,-0.131244533278253,-13.9482591152713,1.27979854137673e-07
"Kdm4c",0.54375,16,-0.485426827170242,-4.61287666471945,0.00238634487914371
"Kdm5a",0.441666666666667,10,-0.222392421336448,-12.5337121040192,5.53602333605497e-07
"Kdr",0.333333333333333,12,-0.321928094887362,-4.76506178462466,0.00202126510510321
"Kidins220",0.604901960784314,17,0.42449782852791,-8.13479580482226,5.4938569887035e-05
"Kif13a",0.611937830687831,36,0.532221038649183,-0.0994714547855295,0.655575455269821
"Kif13b",0.4875,10,-0.667424660913129,-12.8447455455918,4.01004780166884e-07
"Kif1b",0.290677213868003,24,-1.14048122354983,-12.3220176728807,6.89578527228391e-07
"Kif5b",0.511695906432749,19,0.269186632815389,-8.60040065304146,3.36294474101444e-05
"Kiz",0.745555555555556,15,2,-20.118869815176,2.24862101364579e-10
"Klf12",0.522268907563025,34,-0.0943273825481531,10.222063492063,1
"Klf13",0.527314814814815,18,0.096215315259303,-12.1909948947428,7.90038479276839e-07
"Klhl7",0.565833333333333,10,0.120294233717712,-13.608061903854,1.81935061896689e-07
"Kmt2a",0.595238095238095,14,-0.103093492964104,-7.90588105654502,6.99662101843225e-05
"Kmt2c",0.467261904761905,28,-0.283792966000591,-11.7703768368812,1.22295717018618e-06
"Kmt2e",0.56,20,0.347923303420307,-8.14552471367852,5.43199272875691e-05
"Krit1",0.509259259259259,18,-0.255257055242075,-7.68823030844311,8.80787342432784e-05
"Ktn1",0.553830227743271,23,0.371968777386958,-8.98082863887665,2.25399748350052e-05
"Lama2",0.357054242260285,37,-1.1533507769068,-0.492969393913611,0.320737000077432
"Lamc1",0.4765625,16,0.134301091711591,-5.6799419396432,0.000750475164156153
"Larp4b",0.333333333333333,15,-0.383328639551506,-20.2269623263137,2.0130767823566e-10
"Lats2",0.558730158730159,15,-0.103093492964104,-3.92938382560019,0.00505748517473773
"Lclat1",0.364718614718615,11,-0.954196310386875,-14.3182737553508,8.7318489387016e-08
"Ldb3",0.469559581923712,24,0.010888316142736,-15.2453425333145,3.35473426253166e-08
"Ldlrad4",0.475,24,-0.452512204697507,-7.87127241502466,7.25733818346142e-05
"Lhfpl6",0.507501308215594,35,-0.0824621601919728,-0.060839051470289,0.727221530529964
"Limch1",0.557101890700773,41,0.00737953036559746,-0.76982615711637,0.214669564905825
"Lims1",0.48678431372549,25,0.175849835399418,-15.4560760860479,2.69975981727146e-08
"Lin52",0.35,10,-0.395928676331139,-13.5242223118904,1.98419815555876e-07
"Lmbrd1",0.368055555555556,12,-0.415037499278844,-17.9337666938612,2.11198850458342e-09
"Lmo7",0.51263688273246,40,0.0970986881050815,-1.9251421189766,0.0497375611399864
"Lmod2",0.571988795518207,17,0.54432051622381,-7.11460761929346,0.000161838338065612
"Lncpint",0.495803497706112,52,-0.0843162859334756,-1.09131880368633,0.139575078771571
"Lnpep",0.637460317460318,15,0.691877704637668,-5.69804915273242,0.000735985223081338
"Lnx2",0.45,10,0.144389909335175,-13.5650239736726,1.90218248618646e-07
"Lonp2",0.548888888888889,15,0.476438043942987,-8.66201971137105,3.15174436989321e-05
"Lpin1",0.550272817460317,16,0.381870635343644,-23.9892970668344,4.30897904928725e-12
"Lpl",0.492153110047847,20,-0.295455883526171,-9.17734300225073,1.83367434251021e-05
"Lpp",0.434913989519253,38,-0.370368449945115,-2.98372491936117,0.0145723401636964
"Lrba",0.518888888888889,25,0.0310268956206246,0.0769788423421431,1
"Lrch1",0.44047619047619,14,0.180572245641821,-3.64891090962529,0.0069038254986557
"Lrch3",0.578947368421053,19,0.285402218862248,-10.2736574463749,5.81753359574612e-06
"Lrp6",0.700925925925926,18,1.06140054466414,-9.04310121689341,2.1112579977854e-05
"Lrpprc",0.605,10,0.667424660913129,-13.4705836300628,2.09743468647106e-07
"Lrrc1",0.621212121212121,11,0.131244533278253,-20.1016866971467,2.28852724713804e-10
"Lrrc2",0.50218253968254,16,0.283792966000591,-5.33011963823319,0.00109463231637363
"Lrrfip1",0.597186147186147,11,0.387023123109247,-16.7269552011726,7.29729112526186e-09
"Lrrfip2",0.627037037037037,15,0.800691191776593,-21.1855523650383,7.54972399139106e-11
"Ltbp4",0.45,10,-0.46948528330122,-17.9750556613592,2.02434808639682e-09
"Luc7l2",0.505309817286187,49,-0.019899557437705,0.291554176881505,1
"Luzp1",0.365384615384615,13,-0.398549376490275,-4.35240967084895,0.0031736986729683
"Macf1",0.465151515151515,11,-0.612976876890753,-15.6478422398025,2.2157162017053e-08
"Maco1",0.375,12,-0.15200309344505,-14.8395585089096,5.09810779619977e-08
"Magi1",0.403137648259599,41,-0.584962500721156,-1.02335010275352,0.152536484349897
"Malat1",0.514347956320633,63,-0.0778426477381711,-1.20023462007799,0.121298861027975
"Malt1",0.207142857142857,13,-1.9205655325056,-14.6507065684316,6.19504972692663e-08
"Man1a",0.332594696969697,40,-0.716207033999409,0.357856088017094,1
