"","AR","N","log2FC","llr_mean","pval_mean"
"Rbm24",0.463461538461538,13,-0.311944006314741,-0.0481233224779416,0.756381166101447
"Rbm25",0.490783410138249,31,0.258734268400169,0.0663841377296848,1
"Rbm26",0.486111111111111,12,-0.308122295362332,-0.163976260975836,0.566867211797535
"Rbm28",0.626666666666667,20,0.938599455335857,-2.37869377894916,0.0291727942509176
"Rbm39",0.473704481792717,34,0.040077439375335,0.0606170918096893,1
"Rbm47",0.326388888888889,12,-1.22239242133645,-2.90212001768776,0.0159875759122419
"Rbm5",0.423076923076923,13,-0.231325546106456,0.168610400000105,1
"Rbm6",0.646484848484848,25,0.584962500721155,-1.13877427572831,0.131259199179928
"Rbms1",0.49494361847303,51,-0.118319967188762,0.185418325385314,1
"Rbms3",0.511444805194805,22,-0.0269670476002691,0.842896925414337,1
"Rbpj",0.338461538461538,13,-0.37851162325373,-0.822180217718429,0.199728247363452
"Rbpms",0.456589930025474,47,0.0339473319233374,0.11866880520958,1
"Rcan2",0.334848484848485,11,-0.251538766995963,-0.135222087006316,0.603033972182412
"Rere",0.459661835748792,23,0.0857298740258841,0.000780856323252976,1
"Resf1",0.394642857142857,10,-1.04439411935845,-2.19366701014963,0.0362068867577329
"Retreg1",0.432900432900433,11,2.22044604925031e-16,0.810979335526511,1
"Rev3l",0.672727272727273,11,0.736965594166205,-0.760217853221505,0.217553569782005
"Rfx3",0.557692307692308,13,0.3536369546147,0.0197847439650864,1
"Rfx7",0.423076923076923,13,-0.432959407276106,-0.303863215138332,0.435645135751631
"Rhoa",0.583333333333333,10,0.415037499278843,-0.385230334475636,0.380074578423973
"Rhobtb1",0.439814814814815,18,-0.969626350956481,-2.30336957052501,0.0318465358262447
"Rhoj",0.429568238778765,19,0.142957953842043,0.368311102268102,1
"Rhot1",0.325641025641026,13,-1.05062607306997,-1.85453127188553,0.0541177779507117
"Rilpl1",0.752197802197802,13,0.6463630453853,-1.48700331931367,0.0846120554030184
"Riok3",0.578787878787879,11,0.120294233717712,-0.0492779456419861,0.75356955173464
"Rmdn1",0.473333333333333,20,0.106915203916511,0.0281752250460698,1
"Rnf111",0.426666666666667,10,-0.530514716698779,-0.531894865445793,0.302352423968917
"Rnf13",0.446666666666667,10,0.20163386116965,0.166961028411482,1
"Rnf169",0.775,10,1.37851162325373,0.205045544668085,1
"Rnls",0.264102564102564,13,-1.24792751344359,-3.07602453543558,0.0131259935985005
"Rock1",0.512566137566138,21,0.134301091711591,0.0516802376922953,1
"Rock2",0.49663173478963,37,-0.225066555634773,-0.014351213898081,0.865467937991213
"Ror1",0.513109935332158,27,0.205114429904612,-0.088488091322084,0.673984843801305
"Rora",0.579673136057795,49,0.388697107100063,-1.3427803474839,0.101261577261999
"Rpl3l",0.570833333333333,12,0.0740005814437776,0.180406463943608,1
"Rprd1a",0.575757575757576,11,0.71620703399941,0.129839580764244,1
"Rps6ka2",0.725,10,1.67807190511264,-2.85108524299171,0.0169439470596764
"Rps8",0.454166666666667,10,-0.304854581528421,-0.11911824426042,0.625482727003531
"Rptor",0.64010989010989,13,0.415037499278843,-0.0350663246127141,0.791143740923497
"Rras2",0.44,10,0.3536369546147,0.59655177729903,1
"Rsbn1l",0.406666666666667,10,-0.347923303420307,-0.50864028209126,0.31316493657329
"Rsrc1",0.453240740740741,18,-0.0418201756946273,0.114877960365746,1
"Rsrc2",0.448717948717949,13,-2.22044604925031e-16,-0.0242766084269981,0.82560018291932
"Rtn3",0.675189393939394,24,0.736965594166207,-0.853622651235803,0.19134316883916
"Rtn4",0.576793650793651,25,0.502500340529183,-0.232959324709086,0.494870797111792
"Ryr2",0.412228562944301,27,-0.425687278861347,-7.86509811416695,7.30486808401064e-05
"Sacm1l",0.464285714285714,14,-0.321928094887362,-0.269542885012925,0.462811860111769
"Samd12",0.705738705738706,13,0.454565863465481,-0.989776784361354,0.159437445278159
"Samd4",0.418534916262189,33,-0.577976070405049,-0.49823512995151,0.318166111661848
"Sash1",0.507575757575758,11,-0.17687776208408,0.245537018403411,1
"Sbf2",0.358766233766234,14,-0.23703919730085,1.05229466645507,1
"Scaf8",0.45625,16,0.15200309344505,0.800668876778744,1
"Scaper",0.486111111111111,12,-0.33703498727757,0.152523878477098,1
"Scel",0.333333333333333,12,-0.874469117916141,-0.984348858044598,0.160586159921512
"Scfd1",0.663333333333333,10,0.612976876890753,-0.118184882949556,0.626840444437566
"Schip1",0.48343253968254,24,-0.176877762084079,-0.138198601510055,0.599072399785301
"Sdk1",0.277694527694528,22,-1.06228427825434,-4.34614855696231,0.00319557634001835
"Sec24b",0.473333333333333,10,0.395928676331139,0.0668863239839652,1
"Sec63",0.411111111111111,15,-0.415037499278844,-0.454216471178313,0.340530547368694
"Sema3c",0.533888888888889,30,0.175849835399417,0.348524189957224,1
