celltype,condition,group_id,gene,HDR,log2FC,pval,padj,AR,N
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Mapk1,13.090744441561192,1.36923380966572,8.1143840430767e-14,9.5425156346582e-11,0.777777777777778,27
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Tnpo3,-10.489880598937502,-0.793549122532574,3.23682635122692e-11,1.90325389452143e-8,0.327380952380952,28
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Tlk1,-9.546251306566312,-0.415037499278844,2.84281562263706e-10,9.35249993151011e-8,0.423611111111111,36
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Gli2,-9.497419616722324,-1.72246602447109,3.18112242568371e-10,9.35249993151011e-8,0.229885057471264,29
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Paxbp1,8.869698629818766,0.255257055242075,1.3498992939260302e-9,3.17496313931402e-7,0.504166666666667,40
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Sos2,8.451589584992053,0.0671141958585371,3.5351709110997304e-9,6.27361483277414e-7,0.553571428571429,28
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Ddx5,8.427791429961465,0.362570079384708,3.73429454331794e-9,6.27361483277414e-7,0.557777777777778,30
Mesothelial,F1_Aged,Mesothelial__F1_Aged,2610037D02Rik,-7.7966578059233935,-0.16349873228288,1.59713708537584e-8,2.34779151550248e-6,0.427272727272727,33
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Sparc,-7.5335292263287705,-0.559427408614019,2.92732386723481e-8,3.82503651985348e-6,0.435416666666667,24
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Nbas,-7.30442547764607,-0.295455883526171,4.9610604894434e-8,5.83420713558544e-6,0.462365591397849,31
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Tcf25,-7.1574222072262685,-0.321928094887362,6.95949605148218e-8,7.09217976116298e-6,0.46969696969697,33
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Tor1aip1,-7.140446340826256,-0.796466605914868,7.2369181236357e-8,7.09217976116298e-6,0.272777777777778,30
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Fhl2,7.043068988798713,0.74153832395603,9.05588734365297e-8,8.19209501241222e-6,0.678788988010305,29
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Ltbp4,-6.68402081312288,-0.46948528330122,2.07004214174224e-7,1.73883539906349e-5,0.382352941176471,17
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Gigyf2,6.566181759249212,0.137503523749935,2.71530263303466e-7,2.12879726429917e-5,0.493589743589744,26
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Rbm28,6.504844865605624,0.938599455335857,3.12719623385072e-7,2.29848923188028e-5,0.695934959349593,41
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Macf1,-6.297921331214411,-0.612976876890753,5.03591821941175e-7,3.48367048589895e-5,0.368939393939394,22
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Rabep1,5.8041462550395035,0.39231742277876003,1.56983405065388e-6,1.0256249130938e-4,0.522727272727273,22
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Ttc19,0,0,2.03052485973937e-6,1.2567880184492e-4,0.501904761904762,25
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Plscr4,5.654483058899593,0.559427408614019,2.21573052656416e-6,1.3028495496197e-4,0.612903225806452,31
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Abcd3,0,0,2.55377251350386e-6,1.4181439922711e-4,0.471264367816092,29
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Zhx2,0,0,2.6529904617317e-6,1.4181439922711e-4,0.544444444444444,33
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Mat2a,5.290403521414126,0.415037499278844,5.12385084047334e-6,2.5664370660176e-4,0.6,25
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Bptf,5.28086546103874,0.436099114806674,5.23762666534208e-6,2.5664370660176e-4,0.564102564102564,26
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Qrich1,5.222202260926182,0.514573172829758,5.99511804796605e-6,2.8201035297632e-4,0.624137931034483,29
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Usp24,-5.1368021879426795,-0.144389909335175,7.297898385793e-6,3.300895577574e-4,0.519163763066202,41
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Rbfox1,5.116997116440503,1.01943988082369,7.6384085519e-6,3.3269512803831e-4,0.653412570477981,61
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Eif1,-4.928947635149562,-0.263034405833794,1.17774797136103e-5,4.9465414797163e-4,0.421052631578947,19
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Srgap2,-4.879634118781096,-0.565597175854225,1.31936780174619e-5,5.350263913288e-4,0.325490196078431,34
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Sgk3,4.609730271358744,0.39231742277876003,2.45623394300771e-5,9.6284370565902e-4,0.52536231884058,23
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Fus,-4.242554621035214,-0.192645077942396,5.72065001751848e-5,0.00217015626471024,0.461111111111111,30
Mesothelial,F1_Aged,Mesothelial__F1_Aged,Trip12,-4.217290555953466,-0.560714954474479,6.06330540656523e-5,0.00222826473691272,0.342234848484848,44
