gene,condition
Fam204a,F1_Aged
Fam228b,F1_Aged
Fbn1,F1_Aged
Fbxl2,F1_Aged
Fbxl20,F1_Aged
Fbxo10,F1_Aged
Fbxo3,F1_Aged
Fbxo30,F1_Aged
Fbxo38,F1_Aged
Fbxo9,F1_Aged
Fdx1,F1_Aged
Fhip1a,F1_Aged
Fig4,F1_Aged
Fign,F1_Aged
Flrt2,F1_Aged
Fmo5,F1_Aged
Fndc5,F1_Aged
Fnip1,F1_Aged
Foxj2,F1_Aged
Frmd4b,F1_Aged
Frmd6,F1_Aged
Fus,F1_Aged
Gabpb2,F1_Aged
Gars1,F1_Aged
Gcc2,F1_Aged
Gigyf2,F1_Aged
Gin1,F1_Aged
Gk5,F1_Aged
Glis3,F1_Aged
Glmn,F1_Aged
Glrx2,F1_Aged
Gm12519,F1_Aged
Gm15283,F1_Aged
Gm15543,F1_Aged
Gm15614,F1_Aged
Gm15787,F1_Aged
Gm15934,F1_Aged
Gm16193,F1_Aged
Gm16541,F1_Aged
Gm17036,F1_Aged
Gm19522,F1_Aged
Gm20468,F1_Aged
Gm26542,F1_Aged
Gm27003,F1_Aged
Gm28609,F1_Aged
Gm29642,F1_Aged
Gm32391,F1_Aged
Gm33934,F1_Aged
Gm36827,F1_Aged
Gm37677,F1_Aged
Gm43713,F1_Aged
Gm47071,F1_Aged
Gm48321,F1_Aged
Gm49164,F1_Aged
Gm49417,F1_Aged
Gm49741,F1_Aged
Gm5105,F1_Aged
Gm55759,F1_Aged
Gm56583,F1_Aged
Gm56880,F1_Aged
Gm57242,F1_Aged
Gm6225,F1_Aged
Gm7854,F1_Aged
Gnb1,F1_Aged
Gnl2,F1_Aged
Gnptab,F1_Aged
Golph3l,F1_Aged
Gpcpd1,F1_Aged
Gphn,F1_Aged
Gpn1,F1_Aged
Grk4,F1_Aged
Gss,F1_Aged
Gtdc1,F1_Aged
Gtf2a2,F1_Aged
Gtf2f2,F1_Aged
Gtf3c3,F1_Aged
Gtpbp2,F1_Aged
Gys1,F1_Aged
Hacd3,F1_Aged
Hace1,F1_Aged
Hdac4,F1_Aged
Hdgfl3,F1_Aged
Hectd2,F1_Aged
Herc3,F1_Aged
Hivep1,F1_Aged
Hmbox1,F1_Aged
Hmgn1,F1_Aged
Hnrnpk,F1_Aged
Hnrnpr,F1_Aged
Hnrnpul1,F1_Aged
Hsdl2,F1_Aged
Hsf1,F1_Aged
Hsf2,F1_Aged
Htra3,F1_Aged
Igf2bp2,F1_Aged
Ik,F1_Aged
Ikzf2,F1_Aged
Inpp4a,F1_Aged
Inpp5b,F1_Aged
Inpp5k,F1_Aged
Ints4,F1_Aged
Ip6k2,F1_Aged
Isca1,F1_Aged
Itga7,F1_Aged
Itprid2,F1_Aged
Jade1,F1_Aged
Kansl1,F1_Aged
Katna1,F1_Aged
Kcnj2,F1_Aged
Kctd18,F1_Aged
Kctd8,F1_Aged
Kdm1a,F1_Aged
Kdm5a,F1_Aged
Klf6,F1_Aged
Klhl12,F1_Aged
Klhl2,F1_Aged
Klhl9,F1_Aged
Kpna1,F1_Aged
Krba1,F1_Aged
Kxd1,F1_Aged
Lamc1,F1_Aged
Larp4,F1_Aged
Larp7,F1_Aged
Lcp1,F1_Aged
Lgals4,F1_Aged
Lig3,F1_Aged
Lims1,F1_Aged
Lncppara,F1_Aged
Lpgat1,F1_Aged
Lrrc20,F1_Aged
Lrrc8a,F1_Aged
Luc7l3,F1_Aged
Lyn,F1_Aged
Lyrm1,F1_Aged
Lzic,F1_Aged
Lztfl1,F1_Aged
Mad1l1,F1_Aged
Manea,F1_Aged
Map3k4,F1_Aged
Mapk9,F1_Aged
Mark4,F1_Aged
Mat2b,F1_Aged
Mbd2,F1_Aged
Mbip,F1_Aged
Mboat2,F1_Aged
Mbtd1,F1_Aged
Mdga2,F1_Aged
Mdh1,F1_Aged
Mdn1,F1_Aged
Meaf6,F1_Aged
Mef2c,F1_Aged
Memo1,F1_Aged
Mgst3,F1_Aged
Micall1,F1_Aged
Micu1,F1_Aged
Mier3,F1_Aged
Mindy2,F1_Aged
Mlxipl,F1_Aged
Mob1b,F1_Aged
Mocs2,F1_Aged
Mon2,F1_Aged
Mov10l1,F1_Aged
Mphosph9,F1_Aged
Mpi,F1_Aged
Mrap,F1_Aged
Mrpl33,F1_Aged
Mrpl45,F1_Aged
Mrpl47,F1_Aged
Mrps28,F1_Aged
Mrps31,F1_Aged
Mrps5,F1_Aged
Msra,F1_Aged
Msrb1,F1_Aged
Mtarc2,F1_Aged
Mtch2,F1_Aged
Mtdh,F1_Aged
Mtg2,F1_Aged
Mtx3,F1_Aged
Mvp,F1_Aged
Myh14,F1_Aged
Myl12a,F1_Aged
Myom2,F1_Aged
Mypn,F1_Aged
Naa15,F1_Aged
Naca,F1_Aged
Nae1,F1_Aged
Nap1l1,F1_Aged
Napg,F1_Aged
Naxd,F1_Aged
Ncbp1,F1_Aged
Ndel1,F1_Aged
Ndufb8,F1_Aged
Ndufc1,F1_Aged
Nenf,F1_Aged
Nfrkb,F1_Aged
Nid1,F1_Aged
Nmrk2,F1_Aged
Nr4a2,F1_Aged
Nsf,F1_Aged
Nsmce2,F1_Aged
Ntmt1,F1_Aged
Nubpl,F1_Aged
Nudt12,F1_Aged
Nudt13,F1_Aged
Numb,F1_Aged
Nup155,F1_Aged
Nup50,F1_Aged
Nus1,F1_Aged
Oat,F1_Aged
Oaz2,F1_Aged
Ola1,F1_Aged
Opa1,F1_Aged
Orc5,F1_Aged
Otud6b,F1_Aged
Oxa1l,F1_Aged
Oxld1,F1_Aged
Pacrg,F1_Aged
Parp3,F1_Aged
Paxbp1,F1_Aged
Pcca,F1_Aged
Pcgf3,F1_Aged
Pcmt1,F1_Aged
Pcmtd1,F1_Aged
Pde1a,F1_Aged
Pdgfc,F1_Aged
Pdk4,F1_Aged
Per1,F1_Aged
Pfdn1,F1_Aged
Pfkp,F1_Aged
Phkb,F1_Aged
Phlda1,F1_Aged
Phldb2,F1_Aged
Phtf2,F1_Aged
Pi4kb,F1_Aged
Pias2,F1_Aged
Pick1,F1_Aged
Pigl,F1_Aged
Pign,F1_Aged
Pigu,F1_Aged
Pigx,F1_Aged
Pitpnc1,F1_Aged
Pkig,F1_Aged
Pkn1,F1_Aged
Pknox2,F1_Aged
Plcb1,F1_Aged
Plcl1,F1_Aged
Pld1,F1_Aged
Plec,F1_Aged
Plekha1,F1_Aged
Plekhm3,F1_Aged
Plk2,F1_Aged
Plscr1,F1_Aged
Pofut1,F1_Aged
Polb,F1_Aged
Polr2a,F1_Aged
Polr2m,F1_Aged
Polr3e,F1_Aged
Pomgnt1,F1_Aged
Pou2f1,F1_Aged
Ppat,F1_Aged
Ppig,F1_Aged
Ppp1cb,F1_Aged
Ppt1,F1_Aged
Preb,F1_Aged
Prickle2,F1_Aged
Prim2,F1_Aged
Prkci,F1_Aged
Prorp,F1_Aged
Prrc1,F1_Aged
Pskh1,F1_Aged
Psmb1,F1_Aged
Ptbp2,F1_Aged
Ptbp3,F1_Aged
Ptgr3,F1_Aged
Ptpn14,F1_Aged
Ptprb,F1_Aged
Qtrt1,F1_Aged
R3hdm1,F1_Aged
Rab11fip3,F1_Aged
Rab21,F1_Aged
Rab28,F1_Aged
Rab2a,F1_Aged
Rad51b,F1_Aged
Rad52,F1_Aged
Ralgapb,F1_Aged
Rap1gds1,F1_Aged
Rapgef2,F1_Aged
Rasa1,F1_Aged
Rassf8,F1_Aged
Rbm33,F1_Aged
Rbm39,F1_Aged
Rbm4,F1_Aged
Rbpms,F1_Aged
Rchy1,F1_Aged
Rcn2,F1_Aged
Rdx,F1_Aged
Recql5,F1_Aged
Rexo2,F1_Aged
Rexo4,F1_Aged
Rffl,F1_Aged
Rheb,F1_Aged
Riox2,F1_Aged
Ripk2,F1_Aged
Rnd3,F1_Aged
Rnf135,F1_Aged
Rnf146,F1_Aged
Rnf19b,F1_Aged
Rnf214,F1_Aged
Ro60,F1_Aged
Rpap2,F1_Aged
Rpl17,F1_Aged
Rprd2,F1_Aged
Rps6kb1,F1_Aged
Rsu1,F1_Aged
Rubcn,F1_Aged
Rufy3,F1_Aged
Runx1,F1_Aged
Rwdd4a,F1_Aged
Sacm1l,F1_Aged
Sanbr,F1_Aged
Sash1,F1_Aged
Satb1,F1_Aged
Sbno1,F1_Aged
Scamp1,F1_Aged
Scarf1,F1_Aged
Sccpdh,F1_Aged
Sdccag8,F1_Aged
Sec61a2,F1_Aged
Secisbp2l,F1_Aged
Selenop,F1_Aged
Sem1,F1_Aged
Serinc1,F1_Aged
Serinc5,F1_Aged
Setd3,F1_Aged
Sgca,F1_Aged
Sidt2,F1_Aged
Sik1,F1_Aged
Sik3,F1_Aged
Sirt2,F1_Aged
Skap2,F1_Aged
Slc16a1,F1_Aged
Slc19a2,F1_Aged
Slc1a5,F1_Aged
Slc23a2,F1_Aged
Slc31a1,F1_Aged
Slc39a11,F1_Aged
Slc44a1,F1_Aged
Slc49a4,F1_Aged
Slc4a3,F1_Aged
Slit2,F1_Aged
Slit3,F1_Aged
Smap1,F1_Aged
Smarca4,F1_Aged
Smarcd1,F1_Aged
Smg1,F1_Aged
Smoc2,F1_Aged
Snap47,F1_Aged
Snrpb,F1_Aged
Sntb2,F1_Aged
Snx30,F1_Aged
Sod2,F1_Aged
Sorcs2,F1_Aged
Spata33,F1_Aged
Spice1,F1_Aged
Spred2,F1_Aged
Spta1,F1_Aged
Srl,F1_Aged
Srsf7,F1_Aged
St6gal1,F1_Aged
Stam2,F1_Aged
Stat3,F1_Aged
Stimate,F1_Aged
Stk24,F1_Aged
Stk25,F1_Aged
Stn1,F1_Aged
Stox2,F1_Aged
Strada,F1_Aged
Strbp,F1_Aged
Stx6,F1_Aged
Styx,F1_Aged
Sucla2,F1_Aged
Supt3,F1_Aged
Tab1,F1_Aged
Taf12,F1_Aged
Taf1d,F1_Aged
Tango2,F1_Aged
Tardbp,F1_Aged
Tbc1d15,F1_Aged
Tbc1d22a,F1_Aged
Tbck,F1_Aged
Tcaim,F1_Aged
Tcap,F1_Aged
Tcerg1,F1_Aged
Tcf12,F1_Aged
Tcp11l1,F1_Aged
Tex2,F1_Aged
Tfdp1,F1_Aged
Tfg,F1_Aged
Tfrc,F1_Aged
Tgfb2,F1_Aged
Thra,F1_Aged
Tial1,F1_Aged
Tiparp,F1_Aged
Tm2d1,F1_Aged
Tm9sf2,F1_Aged
Tmem143,F1_Aged
Tmem150c,F1_Aged
Tmem165,F1_Aged
Tmem218,F1_Aged
Tmtc3,F1_Aged
Tmx3,F1_Aged
Tnik,F1_Aged
Tnks,F1_Aged
Tnni3k,F1_Aged
Tpgs2,F1_Aged
Trappc11,F1_Aged
Trib1,F1_Aged
Trim23,F1_Aged
Trim8,F1_Aged
Ttc19,F1_Aged
Ttc23,F1_Aged
Ttc27,F1_Aged
Ttc33,F1_Aged
Ttll5,F1_Aged
Ttll7,F1_Aged
Tubgcp2,F1_Aged
Tulp4,F1_Aged
Twf1,F1_Aged
Txndc11,F1_Aged
Txndc12,F1_Aged
Txndc15,F1_Aged
Txndc16,F1_Aged
Tyw1,F1_Aged
Ube2d2a,F1_Aged
Ube2j1,F1_Aged
Ube2j2,F1_Aged
Ube4b,F1_Aged
Ubr1,F1_Aged
Ubr2,F1_Aged
Uqcc1,F1_Aged
Uso1,F1_Aged
Usp12,F1_Aged
Usp3,F1_Aged
Usp40,F1_Aged
