gene,condition,padj,bb_mu,status,padj_other,bb_mu_other,celltype
1110002L01Rik,F1_Aged,2.9237557819651096e-44,0.9709,shared,1.1477561555008799e-35,0.9456,Cardiomyocyte
1500002F19Rik,F1_Aged,4.71482804937644e-5,0.6247,shared,0.00816407022643431,0.5988,Cardiomyocyte
1600020E01Rik,F1_Aged,1.6386573825828199e-19,0.2958,shared,4.47456879991241e-19,0.2796,Cardiomyocyte
1700025G04Rik,F1_Aged,4.0461078979122e-5,0.545,shared,2.54995315118426e-7,0.5652,Cardiomyocyte
1700087I21Rik,F1_Aged,1.2579080679827099e-86,0.0952,shared,1.4774028814535502e-61,0.0972,Cardiomyocyte
1700109H08Rik,F1_Aged,7.47655932055737e-6,0.4042,shared,0.00590415847846595,0.3927,Cardiomyocyte
1700120C14Rik,F1_Aged,9.55212332447232e-17,0.7499,shared,2.5685218643291604e-15,0.7636,Cardiomyocyte
1700123M08Rik,F1_Aged,8.9846914967008e-6,0.6473,shared,0.0151037505709795,0.6,Cardiomyocyte
1810034E14Rik,F1_Aged,0.00264440091506259,0.6489,shared,0.00752122676406134,0.6639,Cardiomyocyte
1810037I17Rik,F1_Aged,4.2701011883389296e-26,0.1141,shared,7.417094276929449e-23,0.1319,Cardiomyocyte
2010001K21Rik,F1_Aged,6.01245984176685e-16,0.9344,shared,1.41495189176111e-35,0.9782,Cardiomyocyte
2010109A12Rik,F1_Aged,0.0532848678268111,0.3913,shared,0.0495305824059252,0.3621,Cardiomyocyte
2310014F06Rik,F1_Aged,3.2029403419469897e-16,0.3689,shared,6.421852378726089e-16,0.3658,Cardiomyocyte
2310016D03Rik,F1_Aged,4.94265202127812e-7,0.6956,shared,0.00226786645595495,0.705,Cardiomyocyte
2310069G16Rik,F1_Aged,2.1728168730663797e-11,0.2518,shared,6.97423459275897e-10,0.2271,Cardiomyocyte
2500002B13Rik,F1_Aged,5.59237996257322e-6,0.6312,shared,0.0322930531210485,0.5917,Cardiomyocyte
2610005L07Rik,F1_Aged,3.0060030670210997e-13,0.737,shared,2.0760566819226697e-11,0.7492,Cardiomyocyte
2610008E11Rik,F1_Aged,5.557524377024209e-40,0.776,shared,3.99573875549212e-29,0.7498,Cardiomyocyte
2610035D17Rik,F1_Aged,5.70788838165294e-88,0.969,shared,1.0241965712012699e-106,0.9669,Cardiomyocyte
2610037D02Rik,F1_Aged,4.71482804937644e-5,0.4429,shared,0.00336406971586994,0.4559,Cardiomyocyte
2700049A03Rik,F1_Aged,0.0284044868223802,0.5603,shared,6.36993297483592e-5,0.6002,Cardiomyocyte
2700097O09Rik,F1_Aged,4.9700928329903694e-11,0.6065,shared,1.48191141539238e-11,0.6244,Cardiomyocyte
2810030D12Rik,F1_Aged,0.00656719396750127,0.5927,shared,0.0244938854631305,0.6343,Cardiomyocyte
