gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
Ccdc171,0.7937,4.1964299688630405e-9,0.8338,3.8022625109404095e-11,above,above,consistent_above
Ccdc174,0.6115,0.00195068563602878,0.6494,1.70906877313415e-5,above,above,consistent_above
Ccdc50,0.2975,1.08916900699544e-44,0.2949,1.7429485072726695e-43,below,below,consistent_below
Ccdc77,0.5709,0.00362079789975969,0.593,0.00291931170867288,above,above,consistent_above
Ccn1,0.5424,4.5825340863649e-4,0.5492,0.00156645667329524,above,above,consistent_above
Ccn2,0.1637,6.9414603558037e-43,0.2412,2.2924354199565e-36,below,below,consistent_below
Ccnd3,0.3465,8.99362524676353e-14,0.3759,1.20073681649211e-7,below,below,consistent_below
Ccng1,0.5672,3.2453540535973e-4,0.5987,7.49804311431115e-7,above,above,consistent_above
Cct8,0.5832,0.0587460025139731,0.6231,0.00163043142701726,above,above,consistent_above
Ccz1,0.5765,0.0539366520243229,0.6194,9.2491953046487e-4,above,above,consistent_above
Cd28,0.1185,8.39677974215019e-51,0.0987,4.0735549613417596e-56,below,below,consistent_below
Cd2ap,0.6101,2.77185174700644e-21,0.6163,2.4852258848309097e-18,above,above,consistent_above
Cd44,0.7784,7.49398907910832e-8,0.9215,1.4731565274606e-14,above,above,consistent_above
Cd47,0.3173,9.134902131865039e-20,0.3325,1.28982599612603e-16,below,below,consistent_below
Cd59a,0.2704,6.6789886413855395e-34,0.2694,1.7137066011866897e-25,below,below,consistent_below
Cdc23,0.4245,5.6468185747206e-4,0.3759,3.47948492466811e-8,below,below,consistent_below
Cdc42,0.3796,6.95605221998372e-14,0.39,1.29163628048157e-8,below,below,consistent_below
Cdc42bpa,0.3979,5.31531486269337e-13,0.3783,2.0091134556500602e-17,below,below,consistent_below
Cdc5l,0.4639,0.0813176995394642,0.4683,0.0573237221515167,below,below,consistent_below
Cdcp3,0.0213,2.2566776571182701e-293,0.0178,0,below,below,consistent_below
Cdh13,0.5296,1.2176766758431e-4,0.5267,4.02982083330704e-5,above,above,consistent_above
Cdh19,0.9553,4.55980929653845e-48,0.928,1.8926637914957297e-11,above,above,consistent_above
Cdh20,0.317,2.7028229500515e-4,0.3449,0.00945163613211536,below,below,consistent_below
Cdh4,0.7066,5.8718951938695e-57,0.75,5.617703910878489e-31,above,above,consistent_above
Cdip1,0.4534,0.00628448838816194,0.4581,0.0207277049602027,below,below,consistent_below
Cdk12,0.5865,9.51878711684242e-10,0.6033,7.149741400374039e-12,above,above,consistent_above
Cdk19,0.3604,4.69811815835013e-28,0.3531,2.80839488857662e-24,below,below,consistent_below
Cdk5rap1,0.5824,5.085545891124e-4,0.5598,0.0194728557556337,above,above,consistent_above
Cdk7,0.6276,5.3206133791496694e-11,0.6142,2.39281455135936e-7,above,above,consistent_above
Cds1,0.2601,3.74941724262643e-25,0.1054,8.455161641919329e-44,below,below,consistent_below
Cebpb,0.4213,5.4445997724039e-4,0.4359,0.0112886702503285,below,below,consistent_below
Cebpd,0.2793,2.15223903729416e-7,0.3041,8.11367349566085e-7,below,below,consistent_below
