gl_thresh,tp_c34,tp_recovered,penalty,TPR_mod,FPR_mod,Youden_J,dist
0.05,1145,182,117,0.796996996996997,0.3492537313432836,0.4477432656537134,0.403965825392995
0.1,1153,224,160,0.827027027027027,0.4776119402985074,0.3494150867285196,0.5079693050714913
0.15,1161,253,182,0.8492492492492493,0.5432835820895522,0.3059656671596971,0.563810996185752
0.2,1167,278,197,0.8678678678678678,0.5880597014925373,0.27980816637533057,0.6027214222684268
0.25,1168,300,207,0.8816816816816817,0.6179104477611941,0.2637712339204876,0.6291363492138363
0.3,1169,324,220,0.8966966966966967,0.6567164179104478,0.23998027878624895,0.6647917162739801
0.35,1170,338,229,0.9057057057057056,0.6835820895522388,0.22212361615346687,0.6900549884560389
0.4,1171,348,235,0.9123123123123124,0.7014925373134329,0.2108197749988795,0.7069518445258145
0.45,1171,358,245,0.9183183183183184,0.7313432835820896,0.1869750347362289,0.7358905459122166
0.5,1171,370,254,0.9255255255255256,0.7582089552238805,0.16731657030164504,0.761857773557465
0.7,1173,435,287,0.9657657657657658,0.8567164179104477,0.10904934785531806,0.8574001420054194
1.0,1174,491,335,1.0,1.0,0.0,1.0
