gl_thresh,TPR_true_imbal,Prop_C2_ASPonly,Combined_metric,n_glm_calls,n_aspen_only
0.05,0.975298126064736,0.38961038961038963,1.3649085156751255,1444,354
0.1,0.9821124361158433,0.33766233766233766,1.3197747737781809,1537,305
0.15000000000000002,0.9889267461669506,0.3116883116883117,1.3006150578552624,1596,270
0.2,0.9940374787052811,0.2857142857142857,1.2797517644195668,1642,240
0.25,0.9948892674616695,0.2727272727272727,1.2676165401889423,1675,217
0.3,0.995741056218058,0.2597402597402597,1.2554813159583178,1713,191
0.35000000000000003,0.9965928449744463,0.2077922077922078,1.2043850527666542,1737,172
0.4,0.9974446337308348,0.16883116883116883,1.1662758025620037,1754,158
0.45,0.9974446337308348,0.16883116883116883,1.1662758025620037,1774,148
0.5,0.9974446337308348,0.14285714285714285,1.1403017765879777,1795,134
0.7,0.9991482112436116,0.09090909090909091,1.0900573021527025,1895,63
1,1,0,1,2000,0
