celltype,condition,group_id,gene,estimate,se,z,p,padj,HDR
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,4933431K23Rik,-0.736949803178166,0.143900703221753,-5.12123837256387,3.97407428855413e-7,1.5933554100671716e-4,-6.400764018754242
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Acacb,-0.174708256677922,0.0504637778367076,-3.46205266762328,5.4565201099672e-4,0.050005109293485124,-3.263084239868618
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Aig1,-0.311871185791833,0.079391910186969,-3.92824892432204,8.89819330876396e-5,0.012684868905715734,-4.0506981636568025
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Amd1,-0.374006402076841,0.11158922063431,-3.35163557869537,8.2926877110874e-4,0.06733872362864009,-3.0813046891221023
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Apbb2,-0.47534964732409,0.135037895020893,-3.52012038732198,4.5253003571154e-4,0.044661233524454294,-3.3443525901363977
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Art3,0.304318435605014,0.0757703976139751,4.01632359322456,6.15854203078388e-5,0.01054206340792674,4.210522090259225
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Atad1,-0.370546265313211,0.10838282041705,-3.41886531359282,6.5270354328805e-4,0.05815407264156724,-3.1852840296722307
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Atp2b1,-0.428427484200624,0.129895877237281,-3.29823773712244,0.00101964220816901,0.0769529972400494,-2.991552195176598
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Bag3,0.220135251603727,0.0677780480875351,3.24788420167283,0.00118298894053704,0.08722843739707026,2.927019315461831
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Bves,0.449440105964486,0.134405632148325,3.34390827810328,8.6766550981576e-4,0.06871696599343334,3.0616476656511105
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Cacna1c,-0.0777196352728725,0.0204468471295068,-3.80105718894506,1.4719024828121e-4,0.018172993784064038,-3.8321209621313326
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Ces1d,-0.469304800919267,0.132913272367497,-3.53090998784281,4.3521706313825e-4,0.043623710312998026,-3.361294086008596
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Clasp1,0.192709501354429,0.048703664372271,3.95677622696797,7.81315085347377e-5,0.01253034068125856,4.10717379040964
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Clic4,-0.311411542173752,0.0673240695434361,-4.62556028305502,3.95030765533688e-6,0.001101792330825482,-5.403369079611004
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Cstf3,0.463138846235512,0.1372622429804,3.3741168450937,7.7617229041176e-4,0.06466422393495377,3.1100418657651314
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Daam1,0.188110151089602,0.0542399704339802,3.46810939579265,5.339966221469e-4,0.04964620769670092,3.272461490139237
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Dsc2,-0.404629777682497,0.11563161162643,-3.49930068422578,4.8716048753072e-4,0.047350523144084375,-3.3123279435756365
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Dync1i2,-0.762070300015275,0.198982736491803,-3.82983123788063,1.4731031594253e-4,0.018172993784064038,-3.8317668390362347
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Ednra,-0.685463264510632,0.0975331372577383,-7.02800385369792,3.43978149873097e-12,5.5165495785897924e-9,-11.463469143739308
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Efna5,-0.337494663384882,0.0561483407440429,-6.01076824199276,2.1330255866220202e-9,1.243941739834569e-6,-8.67100393495746
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Esrrg,0.125038098643976,0.0378315498232994,3.30512757811915,9.6194688383842e-4,0.07346296737885076,3.016848907892271
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Fam13a,0.532258393657518,0.103030107301962,5.16604716422908,2.83118475121732e-7,1.2108033452706073e-4,6.548031789477637
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Fastkd1,0.928523300309781,0.170011938694387,5.46151821713468,7.29738501137352e-8,3.600978834458549e-5,7.13683273968622
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Fhod3,0.101787786478564,0.0299210824010402,3.40187514322762,6.7879803861754e-4,0.05884445159096648,3.168259421243593
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Flrt1,-1.14555968517212,0.318426479315194,-3.59756414615942,4.1111057718105e-4,0.04308351578739421,-3.386041349412132
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Fnip2,-0.253438016750564,0.0644119383673246,-3.93464353308656,8.61570254621327e-5,0.012684868905715734,-4.064709303299694
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Foxn3,0.414695340156522,0.0645890207039917,6.42052373045026,1.6883748418485e-10,1.547274944351161e-7,9.772531127808659
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Frmd4a,-0.683466386025048,0.148488233308058,-4.60283196047668,4.82141558128387e-6,0.0012887242064140011,-5.316825432947668
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Frmd6,-0.461612108933686,0.103113540971486,-4.47673607738228,8.32687770556115e-6,0.0021366768192469915,-5.079517813652015
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Gja1,0.601068174117513,0.091190833893945,6.59132226838232,6.163496236456359e-11,6.589804726144591e-8,10.210172864870527
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Glul,0.307689871474601,0.095850846283121,3.21009029555938,0.00136104101660327,0.09594591342318656,2.8661287866144085
Cardiomyocyte,F1_Young,Cardiomyocyte__F1_Young,Gmpr,0.601146716510803,0.136984079651929,4.38844220465831,1.3212027300401e-5,0.0027340372623249165,4.879030537584222
