"","AR","mean_reestim","theta_reestim","thetaCorrected","theta_smoothed","tot_gene_mean","N"
"Sh3rf1",0.583979328165375,0.5866,2.0563,0.938863223117476,0.241303096108092,0.241234221598878,129
"Shoc2",0.415789473684211,0.4184,1.4575,0.716380611628249,0.248801987493545,0.154277699859748,95
"Shroom3",0.274691358024691,0.2775,0.243,0.291095504255457,0.303659866832835,0.102384291725105,54
"Sik2",0.661016949152542,0.6294,0.2755,0.297092949109071,0.293969964272588,0.105189340813464,59
"Sik3",0.441666666666667,0.4484,0.0541,0.189214683751532,0.25761589364984,0.321178120617111,170
"Sipa1l1",0.493459915611814,0.5005,0.911,0.512053371185551,0.253696182257398,0.141654978962132,79
"Skap2",0.585227272727273,0.5948,0.6825,0.425624265233595,0.254220127766777,0.140252454417952,88
"Slc10a7",0.511415525114155,0.5356,0.5194,0.367678640842717,0.260315844113777,0.126227208976157,73
"Slc12a2",0.414502164502164,0.4225,1.2746,0.650809528310336,0.254735086239319,0.138849929873773,77
"Slc23a2",0.545454545454545,0.539,0.6153,0.455307287003131,0.338531996349448,0.0953716690042076,55
"Slc28a2",0.507062146892655,0.5078,0.3729,0.310667430873229,0.258210722753712,0.325385694249649,177
"Slc6a6",0.433333333333333,0.4371,0.35,0.289852137129624,0.23970083077598,0.180925666199158,105
"Slc8a1",0.435358255451713,0.4342,0.2725,0.263255223806249,0.244028478493412,0.252454417952314,107
"Slco3a1",0.517479674796748,0.5018,0.5865,0.382871360379225,0.24460219108587,0.165497896213184,82
"Slfn5",0.467610062893082,0.4732,2e-04,0.156527498750115,0.238953666424342,0.183730715287518,106
"Slk",0.487878787878788,0.4796,0.1282,0.203683094861584,0.236735980218592,0.193548387096774,110
"Slmap",0.594236760124611,0.5942,0.7728,0.448649534649301,0.237013389254366,0.192145862552595,107
"Smad1",0.579075425790754,0.5739,0.4237,0.320224693584118,0.243343848667475,0.249649368863955,137
"Smad4",0.527027027027027,0.5209,0.4316,0.333763038523392,0.259439414171394,0.127629733520337,74
"Smad7",0.504672897196262,0.5139,2e-04,0.15445391623897,0.235786614735653,0.201963534361851,107
"Smchd1",0.538194444444444,0.5447,1e-04,0.162229234162456,0.247720116977458,0.157082748948107,96
"Smg1",0.45045045045045,0.443,0.0846,0.189067327003042,0.23970083077598,0.180925666199158,111
"Smg6",0.306233062330623,0.3059,0.9381,0.511865777021455,0.237691663437435,0.224403927068724,123
