N,AR,tot_gene_mean,tot_gene_variance,alpha,beta,bb_mu,bb_theta,phi,id,theta_smoothed,thetaCorrected,theta_common,resid,AR.1,N.1,log2FC,loglik0_disp,loglik1_disp,llr_disp,pval_disp,padj_disp
44,0.571969696969697,1.3636363636363638,0.5623678646934461,5.839172505839222e-4,4.1708375041707977e-4,0.5833333333333377,998.9999999999991,1.5452277549661881,1,256.18089819524954,547.0979254879413,256.18089819524954,742.8191018047496,NA,44,0.48542682717024066,-53.35878601774984,-56.37821965272062,3.019433634970774,1,1
57,0.5218234981392876,2.4561403508771926,4.3239348370927315,0.7321917388451062,0.6530358751861761,0.5285714285714285,0.7219030214751532,1.6171907642718046,2,0.5555588891499974,0.6378847500691311,0.5555588891499974,0.16634413232515577,NA,57,0.16505924627049617,-63.76743892280115,-64.34684193401874,0.5794030112175932,0.96,1
80,0.5163767135642136,2.8125,5.11629746835443,1.6969872183923465,1.623205165418773,0.5111111111111101,0.30118736639355187,1.420039551514574,3,0.41339880400198853,0.3850419968421533,0.41339880400198853,-0.11221143760843666,NA,80,0.06413033741971597,-94.73249369995655,-94.2315635403898,-0.5009301595667495,0,0
29,0.8563218390804598,1.6551724137931034,0.9482758620689653,2.2732903198523076,0.45465806717643265,0.8333333323539737,0.3665758504651153,1.1887643341909269,4,6.241148202908566,4.2255099494838495,6.241148202908566,-5.874572352443451,NA,29,2.321928094887362,-20.2418037820006,-19.39372103036479,-0.8480827516358076,0.04,0.07695560253699789
55,0.3771861471861472,1.8181818181818181,2.1885521885521877,0.26998422842837977,0.3728353620724344,0.420000000650319,1.5556464282939948,1.4993375486373797,5,2.0357030722764353,1.9235997385554031,2.0357030722764353,-0.4800566439824405,NA,55,-0.46566357234881184,-56.05493855227597,-55.717892642017375,-0.3370459102585954,0,0
26,0.6314102564102564,1.5384615384615385,0.6584615384615385,6.00600600597461e-4,4.0040040040354086e-4,0.599999999996863,998.9999999999991,1.8030358888470912,6,22.414375900548333,394.042585705291,22.414375900548333,976.5856240994508,NA,26,0.5849625007211565,-24.555484627112207,-30.038544113761102,5.483059486648894,1,1
41,0.5459639953542392,2.8536585365853657,5.228048780487805,1.1985010486478667,1.2615800512082807,0.48717948717948717,0.4064906640917142,1.5353802303854838,7,0.4033000246405463,0.4184185572765652,0.4033000246405463,0.003190639451167876,NA,41,-0.0740005814437753,-48.89125699543528,-49.018783365551265,0.12752637011598722,0.98,1
54,0.48364197530864195,1.8703703703703705,1.1338225017470296,0.3703663471047054,0.4089461749280572,0.4752475247525088,1.2831822558061754,1.4912384865864026,8,1.652734974941684,1.5693893605254903,1.652734974941684,-0.3695527191355086,NA,54,-0.14295795384204313,-60.23581173014546,-59.822718904296195,-0.41309282584926166,0,0
70,0.32785714285714285,2.9714285714285715,4.31801242236025,1.0618868053543014,2.1862375404353256,0.326923076923077,0.30786998696532275,1.4619098988813695,9,0.37800407868432,0.36440550270026667,0.37800407868432,-0.07013409171899726,NA,70,-1.0418201756946273,-80.05627248535512,-79.86935508273406,-0.18691740262106293,0,0
48,0.5677083333333334,1.6666666666666667,0.8652482269503541,0.10150851164559524,0.08734453327644247,0.5374999999999999,5.295122461026879,1.5651063127695786,10,5.61182332621939,5.685068324060441,5.61182332621939,-0.3167008651925114,NA,48,0.21681138907314845,-56.55373033178249,-56.664812160304706,0.1110818285222166,1,1
33,0.7348484848484849,1.4242424242424243,0.501893939393939,0.20262289298438665,0.08596122794335168,0.7021276580741723,3.4651941235893595,1.3621545959099473,11,102.89800344383514,68.68691578056544,102.89800344383514,-99.43280932024578,NA,33,1.2370391973008492,-38.754292649149995,-37.17205572833099,-1.5822369208190068,0,0
34,0.3970588235294118,1.5294117647058822,1.226381461675579,4.042504042504047e-4,5.967505967505971e-4,0.4038461538461539,998.9999999999991,1.5466828010336695,12,25.08279730529743,395.78969705715645,25.08279730529743,973.9172026947017,NA,34,-0.5618788876081153,-43.249661070794545,-59.48119832851023,16.231537257715686,1,1
45,0.41555555555555557,1.6888888888888887,0.7191919191919196,0.21629649304974022,0.33165462264023954,0.3947368421312178,1.8249803155173805,1.4465824997874706,13,4.620238665547035,3.718066727551582,4.620238665547035,-2.7952583500296546,NA,45,-0.6166713604484955,-54.28519739329853,-52.38032281197552,-1.9048745813230141,0,0
72,0.6043791085457753,2.666666666666667,4.394366197183095,2.7255713384582507,1.671989140398764,0.619791666666666,0.22739880549861444,1.3094190387486755,14,0.45689592309541843,0.3855001507756098,0.45689592309541843,-0.229497117596804,NA,72,0.7049932044279261,-80.69363421106127,-79.48568348740737,-1.2079507236538944,0,0
30,0.38333333333333336,1.5,0.46551724137931033,3.781559337114897e-4,6.228450672895122e-4,0.3777777777777779,998.9999999999991,1.747047999641725,15,36.54436991530009,403.2940003810342,36.54436991530009,962.455630084699,NA,30,-0.7198920808072655,-31.632428665120152,-38.65704584755896,7.02461718243881,1,1
30,0.5722222222222222,1.5,0.603448275862069,5.116227338449565e-4,4.893782671560454e-4,0.5111111111111111,998.9999999999991,1.9874366234412069,16,36.54436991530009,403.2940003810342,36.54436991530009,962.455630084699,NA,30,0.06413033741971574,-28.387088940249843,-33.017814069061416,4.630725128811573,1,1
