gene
Adk
Adra1a
Fhl2
Fmn1
Fmo2
Gli2
Gm20186
Gm26862
Gpr39
Itpr2
Mpp7
Plcb1
Ptprk
Ryr2
Smc5
Sntb2
Tll1
Zswim5
