gene,condition
Adk,F1_Aged
Adra1a,F1_Aged
Cp,F1_Aged
Csgalnact1,F1_Aged
Dnm1l,F1_Aged
Fhl2,F1_Aged
Gli2,F1_Aged
Gm26862,F1_Aged
Gpr39,F1_Aged
Itpr2,F1_Aged
Mgat5,F1_Aged
Mpp7,F1_Aged
Pcdh7,F1_Aged
Pdzrn4,F1_Aged
Plcb1,F1_Aged
Ptprk,F1_Aged
Ryr2,F1_Aged
Smc5,F1_Aged
Sntb2,F1_Aged
Tango6,F1_Aged
Tll1,F1_Aged
Tut4,F1_Aged
9530026P05Rik,F1_Young
Adcy9,F1_Young
Ap4e1,F1_Young
Cacna1c,F1_Young
Clic4,F1_Young
Cpne8,F1_Young
Elp4,F1_Young
Fhod3,F1_Young
Gm35330,F1_Young
Grb10,F1_Young
Lrch1,F1_Young
Mctp1,F1_Young
Nt5dc1,F1_Young
Stxbp6,F1_Young
Zfp609,F1_Young
