"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","tot_gene_mean","N","phi"
"Ank2",0.470892767940832,0.481618899311014,0.219864252333715,0.687161496529809,0.405438996230499,6.267,1000,4.54826098097192
"Pln",0.645739512328875,0.649837538456335,0.167723864353954,0.483701781397712,0.278914403871307,5.843,1000,5.96218077762423
"Camk2d",0.473426864399504,0.469969581611876,0.239395456485864,0.32009094778174,0.120370482593373,4.009,1000,4.17718871811191
"Ghr",0.512265088261412,0.509615347723266,0.485085954677778,0.505213547909784,0.136367183593449,3.493,1000,2.06149032013152
"Cdh13",0.502687629445718,0.50796816866192,0.418055901306435,0.461787842269938,0.137312931049236,3.477,1000,2.39202459976041
"Gm35330",0.81998116050616,0.81861572359215,0.35879647672969,0.424245994543341,0.138786257542661,3.453,1000,2.78709537260417
"Resf1",0.33873431417224,0.334688790104908,2.44950195899397,1.84451446081181,0.158634866111877,3.198,1000,0.408246254438886
"Ppip5k2",0.604051971394618,0.603350462263136,0.521635695235897,0.59955131499376,0.188845638627372,2.921,1000,1.91704672270899
"Actc1",0.387720277039782,0.385182520408044,1.11548547837496,1.04459158526767,0.225700949763274,2.663,1000,0.896470657293363
"Atp1a1",0.469595115995116,0.470566330828864,1.64990915516227,1.4326459827908,0.249529909511967,2.578,1000,0.606093976066003
"Pdlim3",0.245988123662543,0.24548012550514,3.5352189215048,2.69287440487946,0.252046342907191,2.571,1000,0.282867913474037
"Rapgef2",0.527948352962827,0.527860113373322,1.99266586367228,1.82956196979067,0.37583854550686,2.383,1000,0.501840282523384
"Pakap",0.484451461620817,0.482928027758928,1.75714909648878,1.80857906024132,0.4778597469366,2.31,1000,0.569103670256696
"Gphn",0.644181551781552,0.641948072190606,1.33644944035806,1.59227241505054,0.525979591108875,2.285,1000,0.748251276705301
"Art1",0.359757921245421,0.363072132689174,1.33819884714456,1.73451771852941,0.631788865324774,2.242,1000,0.747273099310906
"Ube2b",0.527949603174603,0.527531461025838,1.48083787420957,1.99196392293777,0.753554005098543,2.205,1000,0.675293371013873
"Ralgapa1",0.639555086580087,0.642047595352573,1.48846990572759,2.12855330814665,0.852180028246195,2.181,1000,0.671830848680266
"Vps13a",0.482571031746032,0.483202515854247,2.42889220686237,4.0909359094686,1.85375582867027,2.058,1000,0.411710325050528
"Myom2",0.500167063492064,0.499315848064966,9.9513567970902,9.85008129421122,2.41188257211332,2.025,1000,0.100488809756314
"Ubr5",0.372116666666667,0.37114977950993,2.64354151670203,6.45730359672904,3.52120693919577,1.983,1000,0.378280421806107
"Dtna",0.434027777777778,0.432310604738587,2.87878559043388,7.70983969491879,4.34298697597215,1.962,1000,0.347368697176674
"Slc24a2",0.722666666666667,0.722469781551378,229.06671862125,159.57438057393,5.14742611982235,1.946,1000,0.00436554033697689
"Nfyc",0.506984415584415,0.506796273526042,3.36593064849428,12.5335538944611,7.71720009659868,1.911,1000,0.297094653583354
"Lnpep",0.495183333333333,0.495788473669226,5.24344863043378,24.4483665029101,15.7145505619657,1.858,1000,0.190714178869961
"Auts2",0.643197619047619,0.640491775713686,13.2156680934528,29.7631794782561,15.7145505619657,1.858,1000,0.0756677598838467
"Atcayos",0.515294047619048,0.514417171117866,3.94946104113116,25.1914013460474,16.91882048897,1.853,1000,0.253199104785596
"Agl",0.527428210678211,0.529322266802531,4.98902191540815,27.643479083064,18.2380983545939,1.848,1000,0.20044008965196
"Aox1",0.841558333333333,0.841251979956102,21.338525437342,41.7199258195722,20.6206816460082,1.84,1000,0.0468635943442475
"Pard3",0.52712619047619,0.52896313393626,4.12236330483898,31.5625901998555,21.6107609974721,1.837,1000,0.242579298827486
"Usp28",0.554904761904762,0.555386089025086,9.86692589040978,35.392298590236,21.6107609974721,1.837,1000,0.101348688650024
"Abhd18",0.459990476190476,0.46137509313916,8.57257754456844,59.2034658367724,40.1163106052951,1.801,1000,0.116651029961648
"Lclat1",0.461455555555556,0.461716681815243,10.302231696306,60.3565686045974,40.1163106052951,1.801,1000,0.0970663473195386
"Lims1",0.44305,0.441000490118232,4.73168985192957,58.8050166903452,41.7379175917941,1.799,1000,0.211340986263544
"Arih1",0.497111111111111,0.496275132539578,5.2164128296155,66.3868162345815,47.1819057611284,1.793,1000,0.191702618765645
"Sptan1",0.601928571428571,0.600503209916049,7.44562217992677,79.6663685349491,56.0269653112484,1.785,1000,0.134307110384405
"Casq2",0.469866666666667,0.469658626312952,10.7931868519714,94.6646708761402,65.6019097311194,1.778,1000,0.0926510412276745
"Grk5",0.692125,0.692401138743305,20.0472305466625,109.369487924265,72.0035006698674,1.774,1000,0.0498822018169727
"Sema3a",0.68,0.679985356255511,2678663240.16443,1785775631.99651,103.915163190719,1.759,1000,3.73320537276128e-10
"Osbpl9",0.528333333333333,0.529405251512589,13.6438984393916,225.436651658071,162.255539523857,1.742,1000,0.0732928352143751
"Thrb",0.5294,0.528937601974929,8.8049404877454,234.268206596449,171.298684703464,1.74,1000,0.113572601812788
"Tnni3",0.423864285714286,0.423605551938795,4.26862084556837,287.530759593513,213.51375927235,1.732,1000,0.234267702890077
"Ces1d",0.455616666666667,0.456095130845036,23.6765687497404,325.383478735151,232.199324676493,1.729,1000,0.0422358497369247
"Mef2a",0.506607142857143,0.506031040309232,8.62347477368129,623.719874424782,463.478168431746,1.705,1000,0.115962535549125
"Nppb",0.509,0.508619103773579,3011952932.34081,2007969427.67849,604.588463026821,1.696,1000,3.32010500317755e-10
"Vti1a",0.572166666666667,0.571602455586657,9.28526451557907,1304.35580253427,973.624219642915,1.68,1000,0.107697524214003
"Chpt1",0.409933333333333,0.411762308273789,17.2740383395366,1760.29156712317,1311.58165617261,1.67,1000,0.0578903427411767
"Idh3b",0.275747619047619,0.274190818003138,8.35812558764137,3971.66541429827,2974.56999792988,1.642,1000,0.119644050512789
"Tafa2",0.559,0.559504009870444,4711176026.43186,3140791450.48539,5574.6481122365,1.621,1000,2.12261226154476e-10
"Snhg11",0.601583333333333,0.602366324465846,107.299670517321,10328.4309101444,7692.67334734966,1.611,1000,0.00931969310976191
"Irf2",0.375283333333333,0.37597835718005,13.9765425517545,13860.3558771432,10388.2786365815,1.602,1000,0.071548453152634
"Ppip5k1",0.568166666666667,0.567611328145204,22.7598135587169,14344.265560084,10746.8192632837,1.601,1000,0.0439370910231822
"Dennd4c",0.44755,0.448815201998517,44.3864820892397,21721.4431014536,16268.8890850456,1.589,1000,0.0225293817606334
"Abcd3",0.448697619047619,0.44862107954595,14.1086193295593,29839.417462715,22372.5087873715,1.58,1000,0.0708786576943694
"Afg3l2",0.4355,0.43559116185787,13.5562696426144,34432.2260375562,25817.3913933459,1.576,1000,0.0737666058851827
