gene,condition
2210408F21Rik,F1_Aged
4933406I18Rik,F1_Aged
Abca9,F1_Aged
Abl2,F1_Aged
Abtb2,F1_Aged
Acer3,F1_Aged
Actr2,F1_Aged
Adam17,F1_Aged
Adam9,F1_Aged
Adap2,F1_Aged
Adgrl2,F1_Aged
Agmo,F1_Aged
Aig1,F1_Aged
Ankrd33b,F1_Aged
Ap1b1,F1_Aged
Ap2b1,F1_Aged
Apobec1,F1_Aged
Apoe,F1_Aged
Arhgap12,F1_Aged
Arhgap15,F1_Aged
Arhgap18,F1_Aged
Arnt,F1_Aged
Asxl1,F1_Aged
Asxl2,F1_Aged
Atp10d,F1_Aged
Atrnl1,F1_Aged
B4galt5,F1_Aged
Bank1,F1_Aged
Baz2b,F1_Aged
Bcl2,F1_Aged
Bend6,F1_Aged
Btbd1,F1_Aged
Btg2,F1_Aged
C1qa,F1_Aged
Cab39,F1_Aged
Cadm1,F1_Aged
Camkmt,F1_Aged
Ccl9,F1_Aged
Ccnd3,F1_Aged
Cd14,F1_Aged
Cd86,F1_Aged
Cdk13,F1_Aged
Cebpb,F1_Aged
Cep170,F1_Aged
Cflar,F1_Aged
Chd2,F1_Aged
Cnot4,F1_Aged
Cradd,F1_Aged
Crlf3,F1_Aged
Csgalnact1,F1_Aged
Cstf3,F1_Aged
Cttnbp2nl,F1_Aged
Cytip,F1_Aged
Ddx17,F1_Aged
Ddx60,F1_Aged
Dennd1b,F1_Aged
Dennd4a,F1_Aged
Diaph1,F1_Aged
Dock10,F1_Aged
Dtnbp1,F1_Aged
Dusp16,F1_Aged
Fam193a,F1_Aged
Fbxo11,F1_Aged
Fcgr2b,F1_Aged
Fer,F1_Aged
Fgd4,F1_Aged
Fnip1,F1_Aged
Fubp1,F1_Aged
Galnt2,F1_Aged
Gda,F1_Aged
Gng12,F1_Aged
Gpd2,F1_Aged
H2-Aa,F1_Aged
Herc1,F1_Aged
Hip1,F1_Aged
Hpcal1,F1_Aged
Hpgd,F1_Aged
Hrh1,F1_Aged
Ifngr1,F1_Aged
Il16,F1_Aged
Inpp5d,F1_Aged
Irf2,F1_Aged
