"gene","statistic","df","p_intercept","p_sex","pvalue","phi_raw","phi_used","padj_intercept","padj_sex","padj","p_sexM","coef_sexM"
"0610043K17Rik",NA,153,0.0139330361944736,0.338851090326803,0.0139330361944736,0.987302067762261,1.27397162352766,0.0374228578262432,0.935315726272557,0.0374228578262432,0.338851090326803,-0.280237823276106
"1110002E22Rik",NA,582,0.688548815815725,0.869163320463816,0.688548815815725,1.08159412598417,1.47772176587618,0.794645307405012,0.998039566286292,0.794645307405012,0.869163320463816,-0.11508874474164
"1110002L01Rik",NA,175,2.46462975899721e-23,0.392036525186018,2.46462975899721e-23,1.05040938641461,0.610734443239507,4.5736589779866e-22,0.944942526744759,4.5736589779866e-22,0.392036525186018,0.779354157074562
"1110004F10Rik",NA,317,0.297362543846705,0.417421860987865,0.297362543846705,1.05455349435666,1.42943872878867,0.44070606622336,0.954682820527977,0.44070606622336,0.417421860987865,0.035254195712288
"1110019D14Rik",NA,552,0.10672292686368,0.0644781605528521,0.10672292686368,1.18020171582812,1.58121522423645,0.202169404809389,0.636317871800757,0.202169404809389,0.0644781605528521,0.0646438675804731
"1110038F14Rik",NA,227,0.121485773943826,0.266891368724595,0.121485773943826,1.03882210115148,1.38780428253858,0.224316970245089,0.911962764556838,0.224316970245089,0.266891368724595,0.857532493441641
"1110059E24Rik",NA,319,0.00337730152898136,0.652812924293974,0.00337730152898136,1.05829482986619,1.41161357181213,0.0109801190338562,0.992551702290309,0.0109801190338562,0.652812924293974,0.230458102994601
"1500002F19Rik",NA,342,0.00184597587742741,0.443437245913395,0.00184597587742741,1.13940504946774,1.49067553965759,0.00638673338018624,0.958684964858204,0.00638673338018624,0.443437245913395,-0.632530617303267
"1500004A13Rik",NA,607,0.321113019792615,0.403102995176117,0.321113019792615,1.10486059479538,1.50595653388258,0.467078357353746,0.949692602953251,0.467078357353746,0.403102995176117,-0.343426425946763
"1500009L16Rik",NA,205,0.75792399892235,0.895198375073402,0.75792399892235,1.13167186707223,1.4986106196062,0.848574498439602,0.999861848607303,0.848574498439602,0.895198375073402,-0.222830985049979
