gene,pvalue_hom,cell_type,condition
Mbnl2,0.24821307898992,B_cell,F1_Aged
Med13,0.467920809437055,B_cell,F1_Aged
Mef2c,1,B_cell,F1_Aged
Mllt10,0.0577795701714431,B_cell,F1_Aged
Msi2,0.797907524533172,B_cell,F1_Aged
Mtss1,1,B_cell,F1_Aged
Myo1e,0.438578027689093,B_cell,F1_Aged
Ncoa2,0.45377232863344,B_cell,F1_Aged
Pax5,0.0348090794080399,B_cell,F1_Aged
Pde3b,0.246274103963358,B_cell,F1_Aged
Pkig,0.527089256865538,B_cell,F1_Aged
Plcl2,0.0291196711784085,B_cell,F1_Aged
Ppp1r16b,0.0832645166635503,B_cell,F1_Aged
Prkcb,0.577491930461189,B_cell,F1_Aged
Prkce,0.809924909889667,B_cell,F1_Aged
Ptprc,0.705456986111273,B_cell,F1_Aged
Ralgps2,0.405380558014064,B_cell,F1_Aged
Rapgef6,1,B_cell,F1_Aged
Rb1,0.763024600552995,B_cell,F1_Aged
Rcsd1,0.763024600552995,B_cell,F1_Aged
Rel,0.763024600552995,B_cell,F1_Aged
Retreg1,0.896397560221341,B_cell,F1_Aged
Ripor2,1,B_cell,F1_Aged
Satb1,0.0955807045456293,B_cell,F1_Aged
Serinc3,0.00234672554388128,B_cell,F1_Aged
Snx29,0.0955807045456293,B_cell,F1_Aged
Snx9,0.763024600552995,B_cell,F1_Aged
Spag9,0.24821307898992,B_cell,F1_Aged
Sptbn1,0.796253414737639,B_cell,F1_Aged
Ssh2,0.763024600552995,B_cell,F1_Aged
St6gal1,0.738882680363527,B_cell,F1_Aged
Stat4,0.563711172636743,B_cell,F1_Aged
Stk17b,0.638574836310872,B_cell,F1_Aged
Syk,0.563702861650773,B_cell,F1_Aged
Tcf12,0.670103165386295,B_cell,F1_Aged
Tmem131l,0.165517858697466,B_cell,F1_Aged
Ube2h,0.504414971050096,B_cell,F1_Aged
Vps13a,1,B_cell,F1_Aged
Vps13b,0.49126317617988,B_cell,F1_Aged
Wasf2,0.763024617680466,B_cell,F1_Aged
Xylt1,0.365712296281513,B_cell,F1_Aged
Abca1,0.365712296281513,B_cell,F1_Young
Abi1,0.527089256865538,B_cell,F1_Young
Ablim1,0.945626877568906,B_cell,F1_Young
Aff3,0.907184763807189,B_cell,F1_Young
Ankrd11,0.635087087425782,B_cell,F1_Young
Ankrd44,0.512690760261924,B_cell,F1_Young
Apbb1ip,0.632773297528169,B_cell,F1_Young
Arb2a,0.942319290523878,B_cell,F1_Young
Arhgap15,0.479189088682775,B_cell,F1_Young
Arhgap26,0.0832645166635503,B_cell,F1_Young
Arhgef18,0.563702861650773,B_cell,F1_Young
Arid1a,0.738882680363527,B_cell,F1_Young
Arid1b,0.512690760261924,B_cell,F1_Young
Arid4b,0.317310507862911,B_cell,F1_Young
Arid5b,0.445787674865203,B_cell,F1_Young
Arl15,0.705456986111273,B_cell,F1_Young
Asap1,0.317310507862911,B_cell,F1_Young
Ascc3,0.763024600552995,B_cell,F1_Young
