celltype,condition,chromosome,n_underdisp
Cardiomyocyte,F1_Aged,2,21
Cardiomyocyte,F1_Aged,4,19
Cardiomyocyte,F1_Aged,9,16
Cardiomyocyte,F1_Aged,1,15
Cardiomyocyte,F1_Aged,11,15
Cardiomyocyte,F1_Aged,19,14
Cardiomyocyte,F1_Aged,5,13
Cardiomyocyte,F1_Aged,10,12
Cardiomyocyte,F1_Aged,3,12
Cardiomyocyte,F1_Aged,13,9
Cardiomyocyte,F1_Aged,14,9
Cardiomyocyte,F1_Aged,15,9
Cardiomyocyte,F1_Aged,12,8
Cardiomyocyte,F1_Aged,6,7
Cardiomyocyte,F1_Aged,7,7
Cardiomyocyte,F1_Aged,8,7
Cardiomyocyte,F1_Aged,17,4
Cardiomyocyte,F1_Aged,16,3
Cardiomyocyte,F1_Aged,18,3
Cardiomyocyte,F1_Aged,Unknown,3
Cardiomyocyte,F1_Young,11,21
Cardiomyocyte,F1_Young,2,19
Cardiomyocyte,F1_Young,4,15
Cardiomyocyte,F1_Young,19,14
Cardiomyocyte,F1_Young,13,13
Cardiomyocyte,F1_Young,3,13
Cardiomyocyte,F1_Young,1,11
Cardiomyocyte,F1_Young,9,11
Cardiomyocyte,F1_Young,10,10
Cardiomyocyte,F1_Young,5,10
Cardiomyocyte,F1_Young,12,9
Cardiomyocyte,F1_Young,15,8
Cardiomyocyte,F1_Young,6,8
Cardiomyocyte,F1_Young,14,7
Cardiomyocyte,F1_Young,7,7
Cardiomyocyte,F1_Young,17,6
Cardiomyocyte,F1_Young,18,5
Cardiomyocyte,F1_Young,8,4
Cardiomyocyte,F1_Young,16,1
Cardiomyocyte,F1_Young,Unknown,1
Coronary_EC,F1_Aged,18,2
Coronary_EC,F1_Aged,1,1
Coronary_EC,F1_Aged,10,1
Coronary_EC,F1_Aged,11,1
Coronary_EC,F1_Aged,13,1
Coronary_EC,F1_Aged,14,1
Coronary_EC,F1_Aged,15,1
Coronary_EC,F1_Aged,17,1
Coronary_EC,F1_Aged,2,1
Coronary_EC,F1_Young,10,1
Coronary_EC,F1_Young,11,1
Coronary_EC,F1_Young,12,1
Coronary_EC,F1_Young,13,1
Coronary_EC,F1_Young,15,1
Coronary_EC,F1_Young,17,1
Coronary_EC,F1_Young,6,1
Endocardial_EC,F1_Aged,15,2
Endocardial_EC,F1_Aged,10,1
Endocardial_EC,F1_Aged,17,1
Endocardial_EC,F1_Aged,2,1
Endocardial_EC,F1_Aged,3,1
Endocardial_EC,F1_Aged,6,1
Endocardial_EC,F1_Young,10,2
Endocardial_EC,F1_Young,11,2
Endocardial_EC,F1_Young,12,1
Endocardial_EC,F1_Young,15,1
Endocardial_EC,F1_Young,2,1
Fibroblast,F1_Aged,11,6
Fibroblast,F1_Aged,9,4
Fibroblast,F1_Aged,1,3
Fibroblast,F1_Aged,13,3
Fibroblast,F1_Aged,18,3
Fibroblast,F1_Aged,2,3
Fibroblast,F1_Aged,4,3
Fibroblast,F1_Aged,8,3
Fibroblast,F1_Aged,10,2
Fibroblast,F1_Aged,12,2
Fibroblast,F1_Aged,14,2
Fibroblast,F1_Aged,19,2
Fibroblast,F1_Aged,5,2
Fibroblast,F1_Aged,6,2
Fibroblast,F1_Aged,7,2
Fibroblast,F1_Aged,15,1
Fibroblast,F1_Aged,16,1
Fibroblast,F1_Young,11,5
Fibroblast,F1_Young,1,4
Fibroblast,F1_Young,12,4
Fibroblast,F1_Young,17,2
Fibroblast,F1_Young,18,2
Fibroblast,F1_Young,19,2
Fibroblast,F1_Young,2,2
Fibroblast,F1_Young,10,1
Fibroblast,F1_Young,14,1
Fibroblast,F1_Young,15,1
Fibroblast,F1_Young,3,1
Fibroblast,F1_Young,4,1
Fibroblast,F1_Young,6,1
Fibroblast,F1_Young,7,1
Fibroblast,F1_Young,8,1
Fibroblast,F1_Young,9,1
