"","converged","iter","deviance","df_resid","phi_hat","mu_weighted","pmin","pmax","m_eff","theta_map","terms","rank","p_model","error","coef_X.Intercept.","se_X.Intercept.","stat_X.Intercept.","p_X.Intercept.","coef_sexM","se_sexM","stat_sexM","p_sexM"
"1700025G04Rik",TRUE,3,55.2687038657002,39,1.41714625296667,0.485449409233778,0.423076923081725,0.510638297872107,1.78171272613975,1.14422549428627,"sex",2,0.485343245561935,FALSE,0.0425596144178621,0.297489224801717,0.143062709065274,0.886977267479385,-0.352714542702027,0.502278889970874,-0.702228482511938,0.486706923877737
"2010001K21Rik",TRUE,4,50.0922634526927,33,1.51794737735433,0.57009922613113,0.523809523809524,0.705882352941177,1.69505829046113,2.92442384418163,"sex",2,0.238043572148206,FALSE,0.095310179804325,0.333931814310952,0.285418087524819,0.777107700072112,0.780158557549575,0.665208091936493,1.17280376923625,0.249271076641276
"2610035D17Rik",TRUE,4,44.8301877073087,22,2.03773580487767,0.6639999996948,0.533333333333333,0.719999999564,1.6545801527279,998.999999999999,"sex",2,0.361511715550762,FALSE,0.944461606678152,0.569657751826964,1.65794567641561,0.11152062515968,-0.81093021405363,0.873279740091254,-0.928603031565683,0.363172020104835
"2610307P16Rik",TRUE,3,133.580360892881,73,1.82986795743673,0.395089282073031,0.38129496403871,0.425531914976363,2.48401818785103,1.2686198350968,"sex",2,0.654576266416644,FALSE,-0.484055382659282,0.208083408845016,-2.32625650140043,0.0227844164170853,0.183950790547435,0.408503692456647,0.450303862472324,0.653825864829026
"4732440D04Rik",TRUE,4,52.0814884743086,41,1.27028020669045,0.324340262420766,0.254901960784325,0.578947368421053,1.61999617807994,0.772856342867545,"sex",2,0.020019207520006,FALSE,-1.07263680226479,0.331684343302853,-3.23390845520071,0.00241443287259649,1.39109053338333,0.583175711426481,2.38537117737746,0.0217659600693753
"5031425E22Rik",TRUE,4,64.4918872613214,43,1.49981133165864,0.598615916955017,0.529411764705882,0.627450980392157,1.51815561959654,27.2461560432599,"sex",2,0.506508614437853,FALSE,0.521296923633285,0.307652804193994,1.69443254385088,0.0974151262240047,-0.403513887976902,0.600893646147982,-0.67152297343069,0.505479267247484
"9530026P05Rik",TRUE,4,178.310294248062,106,1.68217258724587,0.604845450504097,0.598360655737705,0.606896551724138,3.81299049213193,0.320145886554463,"sex",2,0.888604818050373,FALSE,0.434285546643657,0.138442417584436,3.13693992217945,0.00221033668245353,-0.035646403605892,0.253758556477387,-0.140473701067371,0.888552320813743
"Aak1",TRUE,3,48.7231160054121,34,1.43303282368859,0.447963800909484,0.33333333334986,0.487179487179882,1.41587731168262,998.999999999999,"sex",2,0.362643138027516,FALSE,-0.0512932943859693,0.328240556728598,-0.156267387848664,0.87674644898279,-0.641853886099606,0.708104085048503,-0.906440027182786,0.3710824309249
"Abca8a",TRUE,17,10.6741419053117,15,0.711609460354112,0.798202612174981,0.729166666666667,0.999999991353131,2.71428572947659,0,"sex",2,0.0907451582046386,FALSE,0.990398704027877,0.242975671252046,4.07612292590605,0.000993210045185038,17.5756698081414,2817.15382482273,0.00623880373633745,0.995104405118907
"Abcb1b",TRUE,19,9.63538442713663,25,0.385415377085465,0.988521739042402,0.978260869565217,0.99999999981349,3.00000001754027,0,"sex",2,0.30556400496063,FALSE,3.80666248977032,1.37145502679693,2.77563785570197,0.0102799884784282,18.5958711370936,6777.92098254809,0.00274359515033807,0.997832706480228
