"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","phi_raw","phi_shrunk","tot_gene_mean","N"
"Actn2_rep2",0.5209941244492,0.517941432564962,2.14731146703415,2.14690500172156,2.03564446538082,2.14731146703415,2.14690500172156,7.27366666666667,3000
"Actn2",0.511181516938993,0.515287345475139,2.17407219477126,2.17321223781828,2.04974255220401,2.17407219477126,2.17321223781828,7.06466666666667,3000
"Actn2_rep1",0.530388799043104,0.517574316289207,2.23148678373628,2.22860123526921,2.05353218653411,2.23148678373628,2.22860123526921,7.00833333333333,3000
"Myom1",0.526806169458059,0.528052472248206,1.72995891764751,1.74715197095963,2.08036630091532,1.72995891764751,1.74715197095963,6.60666666666667,3000
"Pln",0.572729223075666,0.574624008750346,2.3427063851566,2.33800312126005,2.11380966853727,2.3427063851566,2.33800312126005,6.095,3000
"Pln_rep1",0.611791700008467,0.620578420467174,2.28182235677894,2.27968567790524,2.12031215067754,2.28182235677894,2.27968567790524,5.99333333333333,3000
"Pln_rep3",0.563749639727847,0.570301937809819,2.29465257173747,2.29222140897439,2.12513446977763,2.29465257173747,2.29222140897439,5.91733333333333,3000
"Pln_rep4",0.567990101006293,0.573363430924362,2.32932429695756,2.32560567934797,2.12580848667685,2.32932429695756,2.32560567934797,5.90666666666667,3000
"Pln_rep2",0.574781956484632,0.568402620815175,2.25575333565004,2.25483690657625,2.12614522921905,2.25575333565004,2.25483690657625,5.90133333333333,3000
"Ank2",0.377612828710779,0.378438155730859,2.2883182228508,2.28622675033428,2.12763735918822,2.2883182228508,2.28622675033428,5.87766666666667,3000
"Mast2_rep1",0.326508699009271,0.329442282749669,1.84572010870337,1.8609593619829,2.14155037480842,1.84572010870337,1.8609593619829,5.654,3000
"Mast2_rep3",0.484118752013599,0.486899563318782,1.85609694048692,1.87095586864864,2.14187763929469,1.85609694048692,1.87095586864864,5.64866666666667,3000
"Mast2",0.681487485286164,0.679545870714776,1.75992629712536,1.77888285826238,2.15324287414954,1.75992629712536,1.77888285826238,5.461,3000
"Mast2_rep2",0.488232822174599,0.48400293076077,1.84891279083065,1.86450017838431,2.15334242350977,1.84891279083065,1.86450017838431,5.45933333333333,3000
"Arhgap26",0.481466436905643,0.487739439695539,1.97311436651378,1.98426914712364,2.16026435973699,1.97311436651378,1.98426914712364,5.34233333333333,3000
"Mir99ahg",0.71692122546802,0.707382895318965,2.06447173296192,2.07251892768589,2.16919766393114,2.06447173296192,2.07251892768589,5.18766666666667,3000
"Synpo2",0.360822338037699,0.376810603990166,2.74998670206791,2.7327241736045,2.1861760998241,2.74998670206791,2.7327241736045,4.87866666666667,3000
"Pam",0.422910317634545,0.431507823613092,2.79940005037639,2.78065595637119,2.19601637598846,2.79940005037639,2.78065595637119,4.68666666666667,3000
"Camk2d_rep1",0.474805261108326,0.473343706503601,2.02492560062923,2.03652997237152,2.220928030453,2.02492560062923,2.03652997237152,4.07033333333333,3000
"Ifrd1",0.622785758523182,0.627097729516269,2.16835397133431,2.17454323172738,2.22147355491002,2.16835397133431,2.17454323172738,4.052,3000
"Camk2d",0.476994556795409,0.468245425188723,2.02001183311624,2.0318544274224,2.22223403839685,2.02001183311624,2.0318544274224,4.02566666666667,3000
"Msrb3",0.49405487797399,0.490774907749069,2.06690991552109,2.07703022930329,2.22362761526542,2.06690991552109,2.07703022930329,3.97466666666667,3000
"Ifrd1_rep1",0.486317731590925,0.483934878112207,2.13698670507546,2.14455112942071,2.22615240726004,2.13698670507546,2.14455112942071,3.86966666666667,3000
"Sptbn1",0.494756281463634,0.495670214685178,1.80450582204354,1.82479587326228,2.2292329233728,1.80450582204354,1.82479587326228,3.69533333333333,3000
"Gm35330",0.800169228157463,0.804761026017173,1.69627979437866,1.72070928693143,2.23016317106335,1.69627979437866,1.72070928693143,3.61266666666667,3000
"Sptbn1_rep1",0.395746955250632,0.392444814187697,1.76293875064767,1.7848427658172,2.23019600077787,1.76293875064767,1.7848427658172,3.609,3000
"Gm35330_rep1",0.810262490098481,0.800895271844092,1.72973595363192,1.75290945611684,2.23046990570963,1.72973595363192,1.75290945611684,3.57433333333333,3000
"Ghr",0.524003619916662,0.520960904380351,2.39627025242754,2.39418649937035,2.23068317321151,2.39627025242754,2.39418649937035,3.53833333333333,3000
"Ghr_rep1",0.516739058702449,0.52319319792156,2.34514087854634,2.3449970769528,2.23072928015171,2.34514087854634,2.3449970769528,3.52833333333333,3000
"Gm20619_rep1",0.542705820134335,0.532813261246129,2.46390669465416,2.45926551426463,2.23084425881211,2.46390669465416,2.45926551426463,3.41833333333333,3000
"Cdh13_rep1",0.521241759592031,0.512517524533845,2.30044513376036,2.30198154389894,2.23037660938883,2.30044513376036,2.30198154389894,3.32866666666667,3000
"Gm20619",0.4020125317324,0.40140350911675,2.58981771097017,2.58038391400791,2.23034618419458,2.58981771097017,2.58038391400791,3.325,3000
"Cdh13",0.520650459717442,0.527189873417718,2.2481932403036,2.25169642866022,2.23002750969125,2.2481932403036,2.25169642866022,3.29166666666667,3000
"Gm20619_rep2",0.450845477207977,0.449680105734445,2.54286705598191,2.53519620108188,2.22992452894882,2.54286705598191,2.53519620108188,3.28233333333333,3000
"Resf1_rep2",0.265365181148116,0.269883351007426,2.37100805914089,2.36976098365059,2.22764403646722,2.37100805914089,2.36976098365059,3.14333333333333,3000
"Resf1_rep1",0.312399463434344,0.31582374673952,2.45051761776707,2.44618840679564,2.2259289727535,2.45051761776707,2.44618840679564,3.07133333333333,3000
"Resf1",0.558616332624914,0.56596916299096,2.68374348786429,2.67053119483846,2.2248635124937,2.68374348786429,2.67053119483846,3.02666666666667,3000
"Resf1_rep3",0.314266903930898,0.317784256568829,2.46247532066901,2.45759806155412,2.22354677282136,2.46247532066901,2.45759806155412,2.97266666666667,3000
"Slc25a13",0.35396022262338,0.3541619676904,2.05980879169156,2.07017728455076,2.22309986220216,2.05980879169156,2.07017728455076,2.95533333333333,3000
