ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0098662,inorganic cation transmembrane transport,108/2015,246/6082,2.1008083246285903e-4,0.0394851926538526,0.03791985351873461,1810037I17Rik/Abcc5/Abcc8/Abcc9/Adra1a/Afg3l2/Akap7/Ank2/Ank3/Asph/Atp1a1/Atp1b1/Atp1b3/Atp2a2/Atp2b2/Atp2c1/Atp5f1c/Atp5mc1/Atp6v0b/Atp6v1g1/Atpsckmt/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav3/Ccn2/Chd7/Chp1/Clcn3/Dnm2/Dysf/Ero1a/Fxyd1/Fyn/Gas6/Ghitm/Gpd1l/Grip1/Hecw2/Hfe/Ibtk/Itpr2/Jph2/Kcnd2/Kcnd3/Kcng2/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Kcnq5/Kcnv2/Kif5b/Klhl24/Mcur1/Myo5a/Nedd4/Nr3c2/Opa1/Oxsr1/P2rx4/P2rx5/Pde4b/Pkd2/Plcb1/Plcb4/Plce1/Pln/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Rrad/Ryr2/Sestd1/Slc11a2/Slc24a2/Slc25a23/Slc25a4/Slc30a5/Slc36a2/Slc39a11/Slc39a14/Slc41a3/Slc8a1/Snta1/Sri/Strit1/Tcn2/Tesc/Tgfb2/Tmco3/Tmem165/Tmem168/Tmem38b/Trdn/Trpc1/Ucp3/Wnk1/Wnk2/Zfas1,108
GO:0097553,calcium ion transmembrane import into cytosol,36/2015,66/6082,2.5559794139488185e-4,0.044034448316969156,0.042288759854761354,Adra1a/Ank2/Asph/Bcl2/Cacna1c/Cacna2d1/Calm2/Camk2d/Casq2/Ccn2/Chd7/Ero1a/Fyn/Ghitm/Ibtk/Itpr2/Jph2/Myo5a/P2rx4/P2rx5/Pkd2/Plcb1/Plcb4/Plce1/Pln/Prkce/Prkd1/Prnp/Ryr2/Slc24a2/Slc8a1/Sri/Tgfb2/Tmem38b/Trdn/Trpc1,36
GO:0009081,branched-chain amino acid metabolic process,12/2015,15/6082,2.6263390884606147e-4,0.044034448316969156,0.042288759854761354,Acadsb/Aldh6a1/Auh/Bcat2/Bckdha/Bckdhb/Dbt/Dld/Hibadh/Hibch/Mccc2/Sdsl,12
GO:0055074,calcium ion homeostasis,60/2015,124/6082,2.67754436181216e-4,0.044034448316969156,0.042288759854761354,1600014C10Rik/Adcy8/Afg3l2/Alpl/Ank/Ank2/Asph/Atp13a3/Atp1b1/Atp2a2/Atp2b2/Atp2c1/Bcl2/Bnip3/Cacna1c/Calm2/Camk2d/Casq2/Cav3/Chd7/Cul5/Dmpk/Ero1a/Fam20a/Fgfr1/Fxyd1/Ghitm/Grm1/Herpud1/Hexb/Ibtk/Itpr2/Jph2/Mcur1/Myh7b/Myo5a/Nptn/Nt5e/Pacs2/Pkd2/Plcb1/Plcb4/Plce1/Pln/Prkce/Prkd1/Ryr2/Slc24a2/Slc25a23/Slc8a1/Sri/Stc2/Synpo/Tgfb2/Tgm2/Tmem165/Tmem38b/Trdn/Trim24/Trpc1,60
GO:1903522,regulation of blood circulation,61/2015,127/6082,3.0761770035116394e-4,0.04419876414929296,0.042446561599510345,Abcc9/Adra1a/Ank2/Atp1a1/Atp1b1/Atp2a2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Casq2/Cav3/Ccn2/Chrm2/Cxadr/Dmpk/Dock5/Dsc2/Dsg2/Egfr/Fxyd1/Gja1/Gjc1/Gnao1/Gpd1l/Hbegf/Hdac4/Hopx/Kcnd2/Kcnd3/Kcnip2/Kcnn2/Kcnq1/Mgll/Myh6/Myh7b/Myl2/Myl3/P2rx4/Pde4b/Pik3r1/Pln/Rgs2/Rnf207/Rnls/Ryr2/Sema3a/Slc4a3/Slc8a1/Snta1/Sri/Strit1/Tbx18/Tgfb2/Thra/Thrb/Tmem38b/Tmem65/Tnni3k/Tnnt2/Tpm1,61
GO:0051282,regulation of sequestering of calcium ion,27/2015,46/6082,3.102520774282398e-4,0.04419876414929296,0.042446561599510345,Ank2/Asph/Calm2/Camk2d/Casq2/Chd7/Ero1a/Ghitm/Ibtk/Itpr2/Jph2/Myo5a/Pkd2/Plcb1/Plcb4/Plce1/Pln/Prkce/Prkd1/Ryr2/Slc25a23/Slc8a1/Sri/Tgfb2/Tmem38b/Trdn/Trpc1,27
GO:0070885,negative regulation of calcineurin-NFAT signaling cascade,9/2015,10/6082,3.339180764954381e-4,0.04419876414929296,0.042446561599510345,Chp1/Cmya5/Fhl2/Gsk3b/Homer2/Mtor/Myoz2/Prnp/Rcan1,9
GO:0106057,negative regulation of calcineurin-mediated signaling,9/2015,10/6082,3.339180764954381e-4,0.04419876414929296,0.042446561599510345,Chp1/Cmya5/Fhl2/Gsk3b/Homer2/Mtor/Myoz2/Prnp/Rcan1,9
GO:0051209,release of sequestered calcium ion into cytosol,26/2015,44/6082,3.45080606155084e-4,0.04419876414929296,0.042446561599510345,Ank2/Asph/Calm2/Camk2d/Casq2/Chd7/Ero1a/Ghitm/Ibtk/Itpr2/Jph2/Myo5a/Pkd2/Plcb1/Plcb4/Plce1/Pln/Prkce/Prkd1/Ryr2/Slc8a1/Sri/Tgfb2/Tmem38b/Trdn/Trpc1,26
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,26/2015,44/6082,3.45080606155084e-4,0.04419876414929296,0.042446561599510345,Atp2c1/Cdh19/Cdh2/Cdh20/Cdh4/Cdh8/Cntn5/Cxadr/Dsc2/Dsg2/Efna5/Hmcn1/Mdga2/Myot/Mypn/Nptn/Nrxn1/Ntng1/Palld/Pecam1/Ptprm/Ptprs/Scarf1/Tgfb2/Tgfbr2/Wnk1,26
GO:0070509,calcium ion import,14/2015,19/6082,3.4714002752168275e-4,0.04419876414929296,0.042446561599510345,Cacna1c/Cacnb2/Cav3/Dysf/Egf/Gck/Homer1/Mcur1/Pkd2/Pln/Serpine1/Slc24a2/Slc8a1/Strit1,14
GO:0055080,monoatomic cation homeostasis,98/2015,223/6082,3.9116418597125293e-4,0.04824765756339173,0.04633494189745006,1600014C10Rik/Adcy8/Afg3l2/Alpl/Ank/Ank2/Ank3/Aplp2/Asph/Atp13a3/Atp1a1/Atp1b1/Atp1b3/Atp2a2/Atp2b2/Atp2c1/Atp6v1g1/Bcl2/Bnip3/Btbd9/Cacna1c/Calm2/Camk2d/Casq2/Cav3/Chd7/Chp1/Clic4/Corin/Cox11/Cul5/Dmpk/Dmxl1/Dmxl2/Ero1a/Ext1/Fam20a/Fgfr1/Fxyd1/Ghitm/Grm1/Herpud1/Hexb/Hfe/Ibtk/Itpr2/Jph2/Kcnq1/Mcur1/Mllt6/Mtss1/Myh7b/Myo5a/Ndfip1/Neo1/Nptn/Nr3c2/Nt5e/Pacs2/Picalm/Pkd2/Plcb1/Plcb4/Plce1/Pln/Prkce/Prkd1/Prnp/Rab20/Rab7/Ryr2/Slc11a2/Slc24a2/Slc25a23/Slc26a4/Slc30a5/Slc39a14/Slc4a3/Slc4a7/Slc8a1/Sod2/Sri/Stc2/Synpo/Tesc/Tfrc/Tgfb2/Tgm2/Tmem165/Tmem38b/Trdn/Trim24/Trmt10a/Trp53/Trpc1/Ttpa/Ube3a/Wnk1,98
