ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0098655,monoatomic cation transmembrane transport,113/2015,253/6082,6.308309584947487e-5,0.021658932503089767,0.020800292278913033,1810037I17Rik/Abcc5/Abcc8/Abcc9/Adra1a/Afg3l2/Akap7/Ank2/Ank3/Asph/Atp1a1/Atp1b1/Atp1b3/Atp2a2/Atp2b2/Atp2c1/Atp5f1c/Atp5mc1/Atp6v0b/Atp6v1g1/Atpsckmt/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav3/Ccn2/Chd7/Chp1/Chrna9/Clcn3/Dnm2/Dysf/Ero1a/Fxyd1/Fyn/Gas6/Ghitm/Gpd1l/Grip1/Hecw2/Hfe/Homer1/Ibtk/Ikbkb/Itpr2/Jph2/Kcnd2/Kcnd3/Kcng2/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Kcnq5/Kcnv2/Kif5b/Klhl24/Mcur1/Myo5a/Nedd4/Nr3c2/Opa1/Oxsr1/P2rx4/P2rx5/Pde4b/Pirt/Pkd2/Plcb1/Plcb4/Plce1/Pln/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Rrad/Ryr2/Sestd1/Slc11a2/Slc24a2/Slc25a23/Slc25a4/Slc30a5/Slc36a2/Slc39a11/Slc39a14/Slc41a3/Slc47a1/Slc8a1/Snta1/Sri/Strit1/Tcn2/Tesc/Tgfb2/Tmco3/Tmem165/Tmem168/Tmem38b/Trdn/Trpc1/Ucp3/Wnk1/Wnk2/Zfas1,113
GO:0008015,blood circulation,99/2015,217/6082,6.584930074412901e-5,0.021658932503089767,0.020800292278913033,Abcc8/Abcc9/Actc1/Adcy6/Adra1a/Angpt1/Ank2/Arhgef12/Atp1a1/Atp1b1/Atp2a2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav3/Ccn2/Cdc42/Chd7/Chrm2/Corin/Cxadr/Dmpk/Dnm1l/Dock5/Dsc2/Dsg2/Egfr/Ephx2/Ext1/Fxyd1/Gas6/Gja1/Gjc1/Gnao1/Gnaq/Gpd1l/Hbegf/Hdac4/Hopx/Itga1/Kcnd2/Kcnd3/Kcnip2/Kcnn2/Kcnq1/Lnpep/Mgll/Mkks/Mtor/Myh6/Myh7b/Myl2/Myl3/Mylk3/Nampt/Ncald/Nr3c2/P2rx4/Pde3a/Pde4b/Pik3r1/Pln/Ppard/Prkg1/Ptprm/Rgs2/Rnf207/Rnls/Rock2/Ryr2/Sema3a/Sh3gl2/Slc4a3/Slc8a1/Slit2/Smad3/Snta1/Sod2/Sri/Strit1/Tbx18/Tgfb2/Tgfbr3/Thra/Thrb/Tmem38b/Tmem65/Tnnc1/Tnni3k/Tnnt2/Tpm1/Trdn/Ttn/Vegfa/Wnk1/Zfas1,99
GO:0098660,inorganic ion transmembrane transport,115/2015,260/6082,9.032622306875047e-5,0.02683390634880469,0.02577011101357345,1810037I17Rik/Abcc5/Abcc8/Abcc9/Adra1a/Afg3l2/Akap7/Ank/Ank2/Ank3/Ano4/Ano5/Asph/Atp1a1/Atp1b1/Atp1b3/Atp2a2/Atp2b2/Atp2c1/Atp5f1c/Atp5mc1/Atp6v0b/Atp6v1g1/Atpsckmt/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav3/Ccn2/Chd7/Chp1/Clcn3/Dnm2/Dysf/Ero1a/Fxyd1/Fyn/Gas6/Ghitm/Gpd1l/Grip1/Hecw2/Hfe/Ibtk/Itpr2/Jph2/Kcnd2/Kcnd3/Kcng2/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Kcnq5/Kcnv2/Kif5b/Klhl24/Lrrc8a/Mcur1/Mtor/Myo5a/Nedd4/Nr3c2/Opa1/Oxsr1/P2rx4/P2rx5/Pde4b/Pkd2/Plcb1/Plcb4/Plce1/Pln/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Rrad/Ryr2/Sestd1/Slc11a2/Slc24a2/Slc25a23/Slc25a4/Slc26a7/Slc30a5/Slc36a2/Slc39a11/Slc39a14/Slc41a3/Slc8a1/Snta1/Sri/Strit1/Tcn2/Tesc/Tgfb2/Tmco3/Tmem165/Tmem168/Tmem38b/Trdn/Trpc1/Ucp3/Wnk1/Wnk2/Xpr1/Zfas1,115
GO:0034220,monoatomic ion transmembrane transport,121/2015,276/6082,9.517980463219296e-5,0.02683390634880469,0.02577011101357345,1810037I17Rik/Abcc5/Abcc8/Abcc9/Adra1a/Afg3l2/Akap7/Ank2/Ank3/Ano4/Ano5/Asph/Atp1a1/Atp1b1/Atp1b3/Atp2a2/Atp2b2/Atp2c1/Atp5f1c/Atp5mc1/Atp6v0b/Atp6v1g1/Atpsckmt/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav3/Ccn2/Chd7/Chp1/Chrna9/Clcn3/Clic4/Dnm2/Dysf/Ero1a/Fxyd1/Fyn/Gas6/Ghitm/Gpd1l/Grip1/Hecw2/Hfe/Hk1/Homer1/Ibtk/Ikbkb/Itpr2/Jph2/Kcnd2/Kcnd3/Kcng2/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Kcnq5/Kcnv2/Kif5b/Klhl24/Lrrc8a/Mcur1/Mtor/Myo5a/Nedd4/Nr3c2/Opa1/Oxsr1/P2rx4/P2rx5/Pde4b/Pirt/Pkd2/Plcb1/Plcb4/Plce1/Pln/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Rrad/Ryr2/Sestd1/Slc11a2/Slc24a2/Slc25a23/Slc25a4/Slc30a5/Slc36a2/Slc39a11/Slc39a14/Slc41a3/Slc47a1/Slc8a1/Snta1/Sri/Strit1/Tcn2/Tesc/Tgfb2/Tmco3/Tmem165/Tmem168/Tmem38b/Trdn/Trpc1/Ucp3/Vdac2/Wnk1/Wnk2/Ywhaq/Zfas1,121
GO:0060048,cardiac muscle contraction,43/2015,80/6082,1.0432891994355843e-4,0.02745241646781501,0.0263641011029301,Abcc9/Actc1/Adra1a/Ank2/Atp1a1/Atp1b1/Atp2a2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav3/Ccn2/Dsc2/Dsg2/Fxyd1/Gpd1l/Hdac4/Kcnn2/Kcnq1/Mtor/Myh6/Myh7b/Myl2/Myl3/P2rx4/Pde4b/Pln/Rgs2/Rnf207/Ryr2/Slc8a1/Snta1/Sri/Strit1/Tmem38b/Tnnc1/Tnnt2/Tpm1/Ttn/Zfas1,43
GO:0034765,regulation of monoatomic ion transmembrane transport,80/2015,172/6082,1.4944434619951682e-4,0.03588740878721611,0.034464699116654944,1810037I17Rik/Abcc8/Abcc9/Akap7/Ank2/Ank3/Asph/Atp1b1/Atp1b3/Atpsckmt/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav3/Chd7/Chp1/Clic4/Dnm2/Dysf/Fxyd1/Fyn/Gpd1l/Grip1/Hecw2/Hk1/Homer1/Ikbkb/Jph2/Kcnd2/Kcnd3/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Kcnq5/Kcnv2/Kif5b/Klhl24/Mtor/Myo5a/Nedd4/Nr3c2/Oxsr1/P2rx4/P2rx5/Pde4b/Pirt/Pkd2/Plcb1/Pln/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Rrad/Ryr2/Sestd1/Slc25a4/Slc36a2/Slc8a1/Snta1/Sri/Strit1/Tesc/Tgfb2/Tmem168/Tmem38b/Trdn/Trpc1/Wnk1/Wnk2/Ywhaq/Zfas1,80
GO:1902305,regulation of sodium ion transmembrane transport,22/2015,34/6082,1.5595930138434852e-4,0.03588740878721611,0.034464699116654944,Ank3/Atp1b1/Atp1b3/Camk2d/Cav3/Chp1/Dnm2/Fxyd1/Gpd1l/Grip1/Hecw2/Kcnq1/Kif5b/Klhl24/Nedd4/Plcb1/Ptpn3/Snta1/Tesc/Tmem168/Wnk1/Wnk2,22
GO:2000649,regulation of sodium ion transmembrane transporter activity,19/2015,28/6082,1.7407306044082358e-4,0.03588740878721611,0.034464699116654944,Ank3/Atp1b1/Camk2d/Cav3/Chp1/Dnm2/Fxyd1/Gpd1l/Grip1/Hecw2/Kcnq1/Kif5b/Klhl24/Nedd4/Plcb1/Ptpn3/Tesc/Tmem168/Wnk2,19
GO:1904062,regulation of monoatomic cation transmembrane transport,71/2015,150/6082,1.8001432326789397e-4,0.03588740878721611,0.034464699116654944,1810037I17Rik/Abcc8/Abcc9/Akap7/Ank2/Ank3/Asph/Atp1b1/Atp1b3/Atpsckmt/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav3/Chd7/Chp1/Dnm2/Dysf/Fxyd1/Fyn/Gpd1l/Grip1/Hecw2/Homer1/Ikbkb/Jph2/Kcnip2/Kcnip4/Kcnn2/Kcnq1/Kif5b/Klhl24/Myo5a/Nedd4/Nr3c2/Oxsr1/P2rx4/P2rx5/Pde4b/Pirt/Pkd2/Plcb1/Pln/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Rrad/Ryr2/Sestd1/Slc25a4/Slc36a2/Slc8a1/Snta1/Sri/Strit1/Tesc/Tgfb2/Tmem168/Tmem38b/Trdn/Trpc1/Wnk1/Wnk2/Zfas1,71
GO:0006941,striated muscle contraction,47/2015,91/6082,1.8184651019617992e-4,0.03588740878721611,0.034464699116654944,Abcc9/Actc1/Adra1a/Ank2/Atp1a1/Atp1b1/Atp2a2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav3/Ccn2/Dmpk/Dsc2/Dsg2/Fxyd1/Gpd1l/Hdac4/Homer1/Kcnn2/Kcnq1/Lmod3/Mtor/Myh6/Myh7b/Myl2/Myl3/P2rx4/Pde4b/Pln/Prkd1/Rgs2/Rnf207/Ryr2/Slc8a1/Snta1/Sri/Strit1/Tmem38b/Tnnc1/Tnnt2/Tpm1/Ttn/Zfas1,47
