gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
2610035D17Rik,0.7058,0.00125256574996676,0.8361,1.22747212748131e-6,above,above,consistent_above
4732440D04Rik,0.3168,1.12263913553768e-10,0.3771,0.00207128221375216,below,below,consistent_below
4833420G17Rik,0.7146,0.0784455673503866,0.7673,0.00561490583409877,above,above,consistent_above
4930578G10Rik,0.8276,5.428853597455139e-16,0.719,5.23182485091413e-5,above,above,consistent_above
4933406I18Rik,0.3546,0.00159186198155808,0.2535,0.0123556341260852,below,below,consistent_below
5830417I10Rik,0.8492,7.94340368177329e-6,0.922,4.68098471059765e-10,above,above,consistent_above
6820431F20Rik,0.7122,7.63710101687726e-7,0.6362,0.00619257004596725,above,above,consistent_above
9330159M07Rik,0.1357,1.3308466111015e-19,0.0951,8.8603762461476e-17,below,below,consistent_below
9330162G02Rik,0.2881,0.0110998177669621,0.1787,9.67768114911199e-5,below,below,consistent_below
Abca6,0.56,0.0734941749515042,0.5775,0.0513507449490159,above,above,consistent_above
Abca8a,0.6445,9.97107839345343e-21,0.6582,1.91516652163621e-20,above,above,consistent_above
Abi1,0.7728,7.39726906401918e-102,0.6998,9.485908186343288e-19,above,above,consistent_above
Abi3bp,0.5837,0.0177935959767993,0.655,1.1180363033674e-4,above,above,consistent_above
Actc1,0.3744,0.025441023296376,0.3782,0.0313227094930391,below,below,consistent_below
Acyp2,0.4066,4.47278296060288e-6,0.4396,0.00492536132363219,below,below,consistent_below
Adam22,0.6874,0.0107437793572633,0.7441,0.0118189778664902,above,above,consistent_above
Adamts12,0.3777,2.36143700182734e-5,0.2745,1.88695669261764e-10,below,below,consistent_below
Adcy8,0.1985,0.00526004539578367,0.1911,0.0399396693084673,below,below,consistent_below
Adgrd1,0.4015,2.2506815744929e-4,0.4154,0.0436322147820491,below,below,consistent_below
Aff1,0.4222,0.0043426750217543,0.4071,3.2502833061685e-4,below,below,consistent_below
Agap1,0.4149,6.67519692315599e-5,0.4283,0.0702038009067442,below,below,consistent_below
Agmo,0.7341,9.62507649138292e-14,0.6783,4.77029928434826e-5,above,above,consistent_above
Airn,0.275,2.02771252185262e-62,0.8316,4.52753672013877e-88,below,above,discordant
Aldh1a1,0.6269,0.00569216224989343,0.6379,3.5035165241372e-4,above,above,consistent_above
Aldh1a2,0.3591,0.012022807813343,0.3407,0.00406546789996468,below,below,consistent_below
