"gene","phi_hat","phi_trend","df","statistic","p_over","p_under","p_two","padj_over","padj_two"
"1700025G04Rik",1.6231142920144,1.49044362337461,52,56.6287391626723,0.306414998959258,0.693585001040742,0.612829997918516,0.634797911090687,0.999972523763199
"2210408F21Rik",1.62738312694448,1.49790981174218,53,57.5811073883954,0.30955785462024,0.69044214537976,0.619115709240479,0.634797911090687,0.999972523763199
"2610307P16Rik",1.58971522288393,1.53523969798458,153,158.428960259784,0.365134482410499,0.634865517589501,0.730268964820998,0.634797911090687,0.999972523763199
"2900026A02Rik",1.29949133186113,1.35592325059102,54,51.7525839975928,0.561550775042763,0.438449224957237,0.876898449914474,0.634797911090687,0.999972523763199
"4632427E13Rik",1.4894158701334,1.4390693060524,61,63.1341157066061,0.400815814231593,0.599184185768407,0.801631628463186,0.634797911090687,0.999972523763199
"5031425E22Rik",1.39926955642564,1.44296316711613,75,72.7289643447128,0.552796079428225,0.447203920571775,0.89440784114355,0.634797911090687,0.999972523763199
"9530026P05Rik",1.84183674902866,1.71563051596708,183,196.461954911223,0.235219372983113,0.764780627016887,0.470438745966226,0.634797911090687,0.999972523763199
"AW554918",1.3826535743414,1.43416769153584,85,81.9468703085635,0.573665578111676,0.426334421888324,0.852668843776648,0.634797911090687,0.999972523763199
"Aak1",1.47592801586267,1.48645114441585,93,92.3416191584076,0.499781764019604,0.500218235980396,0.999563528039207,0.634797911090687,0.999972523763199
"Abca1",1.50419551735009,1.50412717165054,94,94.004271245064,0.480476526417566,0.519523473582434,0.960953052835133,0.634797911090687,0.999972523763199
"Abca8a",1.36008820945183,1.42139382567329,37,35.4041665587513,0.543942372052475,0.456057627947525,0.912115255895051,0.634797911090687,0.999972523763199
"Abca8b",1.39405212036228,1.43471272382611,24,23.3198258669307,0.500989510817912,0.499010489182088,0.998020978364175,0.634797911090687,0.999972523763199
"Abcc5",1.3178649184172,1.37980383417854,77,73.5434966946133,0.590509367880572,0.409490632119428,0.818981264238857,0.640091021618651,0.999972523763199
"Abhd17b",1.83039519766688,1.58333289168255,42,48.5536545762749,0.225770357114667,0.774229642885333,0.451540714229334,0.634797911090687,0.999972523763199
