"gene_id","glm_phi_raw","glm_phi_shrunk","aspen_theta_raw","aspen_theta_shrunk"
"0610005C13Rik",1.12148996246831,1.08367738233433,0.7285,0.788734984958977
"1110004F10Rik",1.39428605549588,1.38876685747053,0.1204,0.374122898777874
"1110019D14Rik",1.61452381575158,1.59131573535211,1.2292,0.719815184082433
"1500002F19Rik",1.43979678841393,1.42638827712129,1.4317,0.871763036652137
"1500004A13Rik",1.49754075757819,1.48427245433631,0.9675,0.653875749753359
"1600010M07Rik",1.45175234354208,1.44504350425344,0.3499,0.392432913912682
"1600014C10Rik",1.41054910819723,1.39903181394421,0.3566,0.474689989006768
"1700081N11Rik",1.33629226697963,1.32594978756393,3e-04,0.379679719149489
"1700123M08Rik",1.41815928412065,1.39890112087788,2.5074,1.3097493505462
"2010001K21Rik",0.608111064580405,0.749899178170013,0.3499,0.612106106654282
"2310002L09Rik",1.42589007244989,1.42057663803656,0.2221,0.363387763250106
"2310016D03Rik",1.51699867837528,1.47348420417455,2.6121,1.34263551874439
"2500002B13Rik",1.37365840094509,1.36958530401637,0.8324,0.65409925372398
"2510009E07Rik",1.40661633518685,1.31158458710335,0.3211,0.576402413037087
"2610037D02Rik",1.50112790374081,1.49719260122859,0.4531,0.376044528968319
"2610203C22Rik",1.41435217828317,1.29653719900983,0.3064,0.58905221443451
"2700049A03Rik",1.49708711959155,1.48281120921292,0.7502,0.580769476284229
"2900089D17Rik",1.28265086379714,1.1714481411007,27.5555,10.9844062930749
"3110056K07Rik",1.40790196509814,1.40405464953903,0.1281,0.359052160020914
"3300002I08Rik",1.47695857913711,1.44374320933106,3.6285,1.73601263960453
"3425401B19Rik",1.39942668615736,1.39694832777265,0.354,0.429946393302225
"4732471J01Rik",1.37823653465996,1.37539663992255,0.6545,0.57657122002374
"4833439L19Rik",1.43094361535232,1.41259941917732,5.1657,2.31374862259904
"4921524J17Rik",1.4726586911373,1.46149768445576,0.6087,0.523557610465294
"4930470G03Rik",1.35050915480118,1.33940780808042,0.1956,0.448827923575671
"4930506C21Rik",1.40032219655942,1.39879368941741,0.1542,0.307513555495108
"4930512H18Rik",1.4987084294294,1.48775487112101,0.4617,0.427672150183852
"4930523C07Rik",1.41584337156121,1.40602963045724,0.6988,0.59434223142332
"4933431K23Rik",1.66050128177138,1.6391822106846,1.3503,0.740635102427702
"5430402O13Rik",1.43024995948172,1.41777018017884,0.7882,0.628539843573084
"6430548M08Rik",1.40108089012596,1.39079321611031,0.6393,0.58346096089948
"A930005H10Rik",1.43749393039467,1.42650931219145,0.6409,0.568005901069556
"A930029G22Rik",1.35832578301524,1.33063011892987,0.1764,0.460228814834772
