gene,beta0,beta_sex
0610005C13Rik,-0.767814548750207,-0.978086765983194
0610040B10Rik,0.725667125059338,0.544102029164809
0610040J01Rik,0.898230421363577,-0.411300362584317
0610043K17Rik,0.362503060850382,0.420210194001914
1110002E22Rik,0.105965713963496,-0.680082183047394
1110002L01Rik,3.19446382133749,-0.503216731987824
1110004F10Rik,-0.327745310073256,-0.0488974948159063
1110019D14Rik,0.246192943634001,0.485191498071972
1110059E24Rik,-0.0980763694296416,-0.159149537565711
1200007C13Rik,-0.189465248241421,0.425072510606353
1500002F19Rik,0.462961772144538,-0.382338363658964
1500004A13Rik,-0.246415553308356,-0.0498992624882817
1500009L16Rik,0.343636797444941,0.025690442581711
1500026H17Rik,-0.838182197611292,-0.579765010534415
1600010M07Rik,-0.0681429528131428,0.368036490505946
1600014C10Rik,-0.114683873676352,0.0780407872114667
1600020E01Rik,-0.8089426023899,-0.078357222968214
1700017G19Rik,-27.5302622806592,0.230041948918892
1700025G04Rik,0.325279036146362,-0.46294268718896
1700037F03Rik,0.424182212801073,0.0868871779870185
1700081N11Rik,0.299687595191308,-0.500740493759983
1700086O06Rik,0.677401277787359,0.0408683739124583
1700087I21Rik,-2.20587936921619,-0.749095444794997
1700096K18Rik,-0.240158621118668,-0.176068711028855
1700109H08Rik,-0.102870274999322,-0.146149658632663
1700120C14Rik,1.22588847825669,-0.306748657660012
1700123M08Rik,0.85306325228116,-0.393034780552957
1700123O12Rik,-4.8980623380548,1.11581577383336
1810024B03Rik,0.000841877724876849,-0.548401864634851
1810037I17Rik,-1.8278058054076,-0.324457859422453
1810062O18Rik,0.36608169758368,-0.186300162462482
2010001K21Rik,2.34385458971778,1.01872097283879
2210408F21Rik,-0.013382558526101,-0.0592276858476919
2210408I21Rik,0.00494210274901101,-0.095863542753849
2310002L09Rik,-0.28623860211682,0.0292148788008551
2310014F06Rik,-0.774597698402794,-0.492879647440046
2310015A10Rik,0.253617295562268,-0.0833311581719959
2310016D03Rik,0.587588769581647,-0.313813882942404
2310022A10Rik,-0.00759734882811662,0.504140166965546
2310022B05Rik,-0.0941761652533154,0.0929981841289771
2310039L15Rik,0.20884650535407,-0.446812347636674
2310057M21Rik,0.146701010838729,0.894676677257197
2310068J16Rik,0.448138316650766,-0.142473564381095
2310069G16Rik,-1.13800717705881,-0.214334739580016
2500002B13Rik,0.74945267074508,0.134767707676899
2510009E07Rik,-0.651421435208892,0.583583904150025
2610008E11Rik,1.2771474081103,-0.0472177102971647
2610020C07Rik,-0.0417995507857668,-0.474209398337358
2610035D17Rik,3.00645017385639,0.584932016760617
2610037D02Rik,-0.21922111960423,-0.0101086497423858
2610203C22Rik,0.411684442887988,-0.775655004601739
2610307P16Rik,0.135506641590864,0.444430620576363
2700049A03Rik,0.275647665106766,-0.162613668311561
2700097O09Rik,0.47625554213955,0.0522940320042003
2810001G20Rik,0.0720601651567016,0.20105589988789
2810013P06Rik,0.18721515246928,-0.571082267376812
2810030D12Rik,0.34622337726187,0.514438057737359
2810449D17Rik,1.35001089196929,0.0302460817408459
2900076A07Rik,-0.301178783452053,0.285520678334803
