gene,group,abs_diff
Auts2,Overlap,0.00873234060111505
Avil,Overlap,0.00234122132937897
B130024G19Rik,ASPEN_only,0.011701079012734
B130034C11Rik,Overlap,0.030045456764747
B230110C06Rik,Overlap,0.0347684556979341
B230369F24Rik,ASPEN_only,0.029678705976711
B3galnt2,ASPEN_only,0.013394476291645
B3glct,Overlap,0.038447331179387
B430010I23Rik,ASPEN_only,0.008938563237471
B4galt1,Overlap,0.00371362458841906
B4galt6,ASPEN_only,0.016996962816324
BB218582,Overlap,0.019334128463418
BC004004,ASPEN_only,0.014322467980944
BC034090,Overlap,0.00606848812968397
BC065397,Overlap,0.00434199940472202
Babam1,ASPEN_only,0.00265787996032402
Babam2,Overlap,0.00156419229606197
Bach1,Overlap,0.00112191515674298
Bag2,Overlap,0.020131409510748
Baiap2l1,GLM_only,0.0498834062951871
Baz2b,ASPEN_only,0.011490608124235
Bbip1,ASPEN_only,0.019694039043423
Bcap29,ASPEN_only,0.015220072954856
Bcap31,GLM_only,0.009030252734615
Bcas2,ASPEN_only,0.049918561976308
Bcas3,ASPEN_only,0.00290229936847003
Bcat2,ASPEN_only,0.007535177318996
Bckdha,Overlap,0.043238864827028
Bckdhb,Overlap,0.000420011568776024
Bcl11a,ASPEN_only,0.01140201236736
Bcl2,ASPEN_only,0.031845873449011
Bcl2l13,ASPEN_only,0.00595767017237903
Bcl6,ASPEN_only,0.030779466088521
Bclaf3,GLM_only,0.00431395841872101
Bcor,ASPEN_only,0.000379115637327954
Bend6,Overlap,0.0144787885935485
Best3,Overlap,0.012532836946608
Bet1,ASPEN_only,0.00661070679845199
Bfar,ASPEN_only,0.021075725699025
Bicc1,Overlap,0.00668033561383197
Bicd1,ASPEN_only,0.00739645203868999
Bik,ASPEN_only,0.0233742490159781
Birc6,GLM_only,0.014622233057712
Blcap,ASPEN_only,0.019993975395665
Bltp3b,ASPEN_only,0.032902870507485
Bmal1,ASPEN_only,0.067906226042528
Bmper,ASPEN_only,0.018614797167345
Bnc2,Overlap,0.030489726034217
Bpnt2,Overlap,0.014659268443185
Bptf,ASPEN_only,0.0281222699388919
Brcc3,ASPEN_only,0.013550421185958
Brd9,ASPEN_only,0.030438130299648
Brms1l,ASPEN_only,0.021236185855554
Brwd3,ASPEN_only,0.049471851466789
Bsdc1,Overlap,0.025450570348561
Btaf1,Overlap,0.014626899045713
Btbd9,Overlap,0.00723394946456601
Btf3l4,ASPEN_only,0.03366474220884
Bzw2,Overlap,0.026476715852492
C030013E06Rik,Overlap,0.0960944958774721
C330018D20Rik,ASPEN_only,0.018001924783337
C87436,ASPEN_only,0.024493796211004
Cab39,GLM_only,0.00982628069941294
Cab39l,ASPEN_only,0.062988920441499
Cabcoco1,ASPEN_only,0.017180792830378
Cabin1,ASPEN_only,0.017813360136186
Cacna1c,Overlap,0.00281858475855801
Cacna2d1,Overlap,0.00967938305043103
Cacnb2,Overlap,0.00381158667423998
Cage1,Overlap,0.059973747139245
Calcoco1,ASPEN_only,0.014643739358011
Calm2,ASPEN_only,0.015590987850976
Camk1,ASPEN_only,0.019261456064076
Camk2a,ASPEN_only,0.039954458841326
Camk2d,ASPEN_only,0.00756677492459001
Camkmt,Overlap,0.00766496945607503
Caml,Overlap,0.02472139536267
Canx,ASPEN_only,0.00922728542490303
Cap2,Overlap,0.00151682143135701
Caprin2,GLM_only,0.00993224382776103
Car14,ASPEN_only,0.0196462860649761
Carf,ASPEN_only,0.021197260708039
Carm1,ASPEN_only,0.00383570102911696
Carmil1,ASPEN_only,0.079463622089899
Carmn,ASPEN_only,0.030666611895209
Casc3,ASPEN_only,0.009869284960626
Cask,ASPEN_only,0.028696233557807
Casp7,ASPEN_only,0.017708261879092
Casp8ap2,ASPEN_only,0.042852724841569
Casq2,ASPEN_only,0.00529484767636901
Cast,GLM_only,0.024873900667872
Cat,ASPEN_only,0.008922484704738
Cav1,ASPEN_only,0.00817903790743602
Cav3,ASPEN_only,0.001699067716671
Cavin4,ASPEN_only,0.030925806349124
Cbfa2t2,ASPEN_only,0.005806613978802
Cblb,ASPEN_only,0.00785898366794502
Ccar1,ASPEN_only,0.00322817326591601
Ccbe1,Overlap,0.014070860161952
Ccdc122,ASPEN_only,0.00830858918792499
Ccdc141,Overlap,0.000370848774398969
Ccdc152,ASPEN_only,0.06423021787665
Ccdc171,Overlap,0.071724123421796
Ccdc174,ASPEN_only,0.019434421720129
Ccdc191,ASPEN_only,0.030048262707456
Ccdc28a,ASPEN_only,0.044342790554197
Ccdc50,Overlap,0.00290240610353798
Ccdc57,ASPEN_only,0.090135430168327
Ccdc77,Overlap,0.0415886841565589
Ccn2,Overlap,0.048343625186704
Ccnd3,ASPEN_only,0.011317512863803
Cd163,ASPEN_only,0.013954245825869
Cd28,Overlap,0.0175197504662758
Cd2ap,Overlap,0.00147835917858397
Cd36,ASPEN_only,7.0882025259289e-06
Cd44,ASPEN_only,0.122107935610252
Cd46,ASPEN_only,0.023727604311102
Cd47,Overlap,0.015887097079939
Cd59a,Overlap,0.021161062135322
Cd59b,ASPEN_only,0.0469568382549661
Cdan1,ASPEN_only,0.005062082420902
Cdc14b,ASPEN_only,0.007575609355155
Cdc16,ASPEN_only,0.057081006219619
Cdc23,ASPEN_only,0.028675967293177
Cdc42,Overlap,0.00134586023287703
Cdc42bpa,Overlap,0.011905046257731
Cdc42ep3,ASPEN_only,0.0208125338188859
Cdc5l,ASPEN_only,0.024976546778707
Cdcp3,Overlap,0.0155469103302558
Cdh13,GLM_only,0.010699212903727
Cdh19,Overlap,0.0220829678013921
Cdh20,GLM_only,0.048302435809385
Cdh4,Overlap,0.000819635186736001
Cdh8,Overlap,0.0064156352617413
Cdip1,ASPEN_only,0.008660096007723
Cdk12,GLM_only,0.00210097887250704
