contrast,sex_in_group,total_group,sex_in_rest,total_rest,odds_ratio,p_value
GLM_only,28,100,493,2437,1.533178975956412,0.07582595851422258
ASPEN_only,205,1390,316,1147,0.45507599583626995,2.7580409345703027e-15
