category,n,median_abs_beta,median_se,median_abs_z
large_but_uncertain,806,0.245505942409997,0.274810057930659,0.991956549114931
tiny_effect,416,0.0441621361453404,0.174317286096821,0.225218191664653
other,129,0.631782042477651,0.239273222348711,2.39225387681256
