gene,bb_mu,padj_mean,padj_intercept,glm_mu,asp_sig,glm_sig,group,beta0,beta_sex,p_sex,padj_sex,abs_beta
4930428N03Rik,0.026,4.03738872160874e-06,3.25662292919024e-33,0.0219842313995689,TRUE,TRUE,Overlap,-3.79520035141626,1.17267765793306,0.000102132053177876,0.00867653696990256,1.17267765793306
A930002C04Rik,0.965,5.7611548331483e-16,2.00361761631854e-36,0.974147510205422,TRUE,TRUE,Overlap,3.62915582670376,-2.38381041728918,8.92716723744414e-08,1.81573171205228e-05,2.38381041728918
Acot9,0.346,0.0769892890667539,0.00319987366553957,0.345714644914901,TRUE,TRUE,Overlap,-0.637929869951271,1.63675808644499,4.52468588814352e-06,0.000616410354162225,1.63675808644499
Airn,0.3285,2.96671588180626e-100,1.14033824480575e-10,0.439089405342803,TRUE,TRUE,Overlap,-0.244858475852557,0.651319648354886,2.48915495387208e-20,2.08840100629868e-17,0.651319648354886
Ammecr1,0.3967,5.78359550708436e-11,0.00229711920701835,0.40117094726241,TRUE,TRUE,Overlap,-0.400588530768805,0.872268795295499,5.40528934587406e-05,0.00510990170274742,0.872268795295499
Ap1s2,0.2758,2.20767207251744e-05,4.62185548020942e-16,0.263982503795345,TRUE,TRUE,Overlap,-1.02537106301587,1.10054784571447,9.65989473044751e-07,0.000144082696512808,1.10054784571447
Apoo,0.4453,0.0205188642776825,0.513409214929009,0.462407962118537,TRUE,FALSE,ASPEN_only,-0.150652442286511,0.784806918416869,0.000505512307567381,0.0335707610393833,0.784806918416869
Arc,0.3092,0.167958374806365,8.5056315381623e-33,0.234502970322459,FALSE,TRUE,GLM_only,-1.18305708042545,0.913249886745671,6.00899768008206e-12,2.24068846826171e-09,0.913249886745671
Arhgef6,0.4472,0.0327517086900317,0.638770138329109,0.465445223226552,TRUE,FALSE,ASPEN_only,-0.138439790673988,0.929224757298485,0.000249861441926258,0.0182290217196635,0.929224757298485
Atp11c,0.4549,0.057089516659153,0.961853803755862,0.490252191809186,TRUE,FALSE,ASPEN_only,-0.0389961738071047,1.25283929371553,0.000101092030957355,0.00867653696990256,1.25283929371553
Atrx,0.39,4.56288324102969e-08,0.00654866949191955,0.402038912491875,TRUE,TRUE,Overlap,-0.39697679959883,1.04706670641993,7.80839040220052e-06,0.000988866346784338,1.04706670641993
Cacna2d1,0.7459,0,9.71613723482898e-142,0.736220616949569,TRUE,TRUE,Overlap,1.02641674158686,-0.382228374020184,6.87807815925791e-07,0.000107362001406835,0.382228374020184
Cd59b,0.3581,0.080841738486645,0.113215494988757,0.405056838254966,TRUE,FALSE,ASPEN_only,-0.384438475873854,1.15993985154224,0.000577053548674281,0.0372421482567478,1.15993985154224
Celf2,0.596,4.95317301873891e-65,5.33026724796324e-37,0.599342057939814,TRUE,TRUE,Overlap,0.402724432477154,0.320144369707975,1.61524682473587e-07,2.93014505071004e-05,0.320144369707975
Clcn5,0.3425,0.0638817446253662,0.00612638137686103,0.318441604095384,TRUE,TRUE,Overlap,-0.760942823216949,1.78205429596448,7.31301382704623e-05,0.00663310119015328,1.78205429596448
Clvs1,0.0282,1.71860079135804e-42,5.5323563232308e-262,0.0184660041404233,TRUE,TRUE,Overlap,-3.97318522218489,1.11350819349509,1.07735046048832e-51,3.6155881453988e-48,1.11350819349509
Col4a5,0.4114,2.04508660876409e-09,0.00109685760446412,0.421662827156002,TRUE,TRUE,Overlap,-0.315951035720987,1.49533725846885,5.14326768553175e-20,3.83573474503212e-17,1.49533725846885
Cox7b,0.4763,0.00732797061539353,0.955568780149386,0.504577806575162,TRUE,FALSE,ASPEN_only,0.0183117379741016,0.476704626060702,0.000812406716865335,0.0486843408932979,0.476704626060702
Ctnnd2,0.5854,0.102144564411205,1.68091484044688e-09,0.786191182042007,FALSE,TRUE,GLM_only,1.30211775530534,-1.15215778251826,0.000622898683669719,0.0398180568075348,1.15215778251826
