gene,Category,glm_ar,aspen_ar
Ankrd16,Overlap,0.2876935386065628,0.2975
Ankrd23,Overlap,0.5872436457145498,0.5952
Ankrd55,Overlap,0.03047421976107758,0.0439
Ankrd6,Overlap,0.2527452955921074,0.2348
Anks6,Overlap,0.2305455932392705,0.1435
Ano4,Overlap,0.3862902981641991,0.3704
Ano5,Overlap,0.7956921102206405,0.8181
Antxr2,Overlap,0.565732948295602,0.5433
Aopep,Overlap,0.4517270814708429,0.4494
Aox1,Overlap,0.8088187988733678,0.8139
Apbb2,Overlap,0.6792746459254146,0.7173
Appl2,Overlap,0.7918153405785286,0.7804
Arc,GLM_only,0.23450297032245862,0.3092
Arhgap1,Overlap,0.7534318152604534,0.7089
Arhgap20,Overlap,0.803178146885098,0.8064
Arhgap24,Overlap,0.391017225923798,0.3622
Arhgap35,Overlap,0.6081174595944777,0.5956
Arid1b,GLM_only,0.548635103496905,0.5547
Arrdc2,Overlap,0.7330826664570187,0.7327
Arsg,GLM_only,0.3718721372084342,0.3307
Art1,Overlap,0.3646009685348354,0.3694
Art3,GLM_only,0.5506481115743355,0.531
As3mt,Overlap,0.3265653546848302,0.3177
Asb18,Overlap,0.9021734662086782,0.8919
Asb2,Overlap,0.6252681162366438,0.5889
Asph,Overlap,0.4642666874385952,0.4599
Asrgl1,Overlap,0.716592714205649,0.7315
Asxl1,Overlap,0.4176347356458723,0.4435
Atad2,Overlap,0.1255695750809082,0.2296
Atf1,Overlap,0.6215493808837862,0.6327
Atg13,Overlap,0.6092906903968165,0.6127
Atosa,Overlap,0.4436141651690804,0.4533
Atp10d,Overlap,0.7531798747116508,0.7723
Atp11a,Overlap,0.42597851872353226,0.4203
Atp1a1,Overlap,0.46621015195624194,0.4803
Atp1b1,Overlap,0.4087688089153739,0.4124
Atp2a2,Overlap,0.5280604807534949,0.526
Atp2b2,Overlap,0.18722001026629523,0.2137
Atp5f1a,GLM_only,0.5390610998781419,0.5334
Atp5f1b,GLM_only,0.5686050843567735,0.5573
Atp6v1g1,Overlap,0.38714376566992026,0.4174
Atp8a1,Overlap,0.6074563492385535,0.6066
Atpaf1,Overlap,0.6266531453338902,0.6289
Atraid,Overlap,0.7294144166281805,0.7459
Auts2,Overlap,0.6270676593988853,0.6358
Avil,Overlap,0.9626587786706214,0.965
B130034C11Rik,Overlap,0.782045456764747,0.752
B230110C06Rik,Overlap,0.7098315443020662,0.7446
B3glct,Overlap,0.6886473311793866,0.6502
B4galt1,Overlap,0.6029863754115811,0.6067
BB218582,Overlap,0.8829341284634175,0.8636
BC034090,Overlap,0.37636848812968415,0.3703
Babam2,Overlap,0.5628358077039378,0.5644
Bach1,Overlap,0.43142191515674244,0.4303
Bag2,Overlap,0.6900314095107478,0.6699
Baiap2l1,GLM_only,0.6041165937048126,0.654
Bckdha,Overlap,0.6657388648270283,0.6225
Bckdhb,Overlap,0.4272799884312243,0.4277
Bend6,Overlap,0.09827878859354851,0.0838
Best3,Overlap,0.9770328369466084,0.9645
Bicc1,Overlap,0.33461966438616764,0.3413
Birc6,GLM_only,0.5725777669422879,0.5872
Bnc2,Overlap,0.43768972603421713,0.4072
Bpnt2,Overlap,0.766259268443185,0.7516
Bsdc1,Overlap,0.3391494296514392,0.3646
Btaf1,Overlap,0.3080731009542872,0.3227
Btbd9,Overlap,0.42303394946456624,0.4158
Bzw2,Overlap,0.5901767158524919,0.5637
C030013E06Rik,Overlap,0.6983944958774715,0.6023
Cab39,GLM_only,0.5882737193005874,0.5981
Cacna1c,Overlap,0.5772185847585577,0.5744
Cacna2d1,Overlap,0.7362206169495691,0.7459
Cacnb2,Overlap,0.5326115866742402,0.5288
Cage1,Overlap,0.29472625286075504,0.3547
Camkmt,Overlap,0.4070649694560754,0.3994
Caml,Overlap,0.7118786046373302,0.7366
Cap2,Overlap,0.43611682143135727,0.4346
Caprin2,GLM_only,0.6088322438277614,0.5989
Cast,GLM_only,0.6015260993321276,0.6264
Ccbe1,Overlap,0.38407086016195174,0.37
Ccdc141,Overlap,0.559329151225601,0.5597
Ccdc171,Overlap,0.8974241234217958,0.8257
Ccdc50,Overlap,0.2996975938964616,0.3026
Ccdc77,Overlap,0.6329886841565594,0.5914
Ccn2,Overlap,0.2591436251867044,0.2108
Cd28,Overlap,0.08988024953372416,0.1074
Cd2ap,Overlap,0.6141783591785837,0.6127
Cd47,Overlap,0.36148709707993903,0.3456
Cd59a,Overlap,0.3034610621353225,0.2823
Cdc42,Overlap,0.39004586023287685,0.3887
Cdc42bpa,Overlap,0.4154050462577312,0.4035
Cdcp3,Overlap,0.03574691033025575,0.0202
