gene,bb_mu,padj_mean,padj_intercept,glm_mu,asp_sig,glm_sig,group,beta0,beta_sex,p_sex,abs_beta
1110002L01Rik,0.9527,2.11746315776856e-17,2.09644742468217e-71,0.960625408662249,TRUE,TRUE,Overlap,3.19446382133749,-0.503216731987824,0.0195410681113263,0.503216731987824
1700025G04Rik,0.5698,8.06414171992339e-09,0.00118310486238672,0.580610252204722,TRUE,TRUE,Overlap,0.325279036146362,-0.46294268718896,0.00556296368937895,0.46294268718896
1700123O12Rik,0.0192,3.5421942664143e-20,2.30995395530486e-51,0.00740577136695434,TRUE,TRUE,Overlap,-4.8980623380548,1.11581577383336,0.00177084446218889,1.11581577383336
4930428N03Rik,0.026,4.03738872160874e-06,3.25662292919024e-33,0.0219842313995689,TRUE,TRUE,Overlap,-3.79520035141626,1.17267765793306,0.000102132053177876,1.17267765793306
4930544I03Rik,0.8356,0.00184449025126856,4.07258042652836e-07,0.774390326813379,TRUE,TRUE,Overlap,1.23326964837766,-1.17557342910923,0.00324214917243833,1.17557342910923
5530601H04Rik,0.3596,0.70012247644712,0.0137214097156482,0.326611792375512,FALSE,TRUE,GLM_only,-0.723549708516575,-0.981232016137399,0.0304725200686033,0.981232016137399
A930002C04Rik,0.965,5.7611548331483e-16,2.00361761631854e-36,0.974147510205422,TRUE,TRUE,Overlap,3.62915582670376,-2.38381041728918,8.92716723744414e-08,2.38381041728918
Abcb7,0.4465,0.00394800240114355,0.830560118713381,0.473259371821612,TRUE,FALSE,ASPEN_only,-0.10706466774024,1.0087565993249,0.00188037054503424,1.0087565993249
Abra,0.3807,8.25673445367788e-45,3.6711162223794e-12,0.382747295240467,TRUE,TRUE,Overlap,-0.477903542302344,0.282176573925662,0.0270579268429639,0.282176573925662
Acot9,0.346,0.0769892890667539,0.00319987366553957,0.345714644914901,TRUE,TRUE,Overlap,-0.637929869951271,1.63675808644499,4.52468588814352e-06,1.63675808644499
Acsl4,0.3465,0.0142750616224655,0.470561195024175,0.411025918969882,TRUE,FALSE,ASPEN_only,-0.359725901946195,1.68896273975556,0.00100194945913231,1.68896273975556
Adprhl1,0.4926,0.0906506704045666,0.977746877088481,0.497665864820568,TRUE,FALSE,ASPEN_only,-0.00933660854157355,0.24390638252392,0.0497818780611533,0.24390638252392
Airn,0.3285,2.96671588180626e-100,1.14033824480575e-10,0.439089405342803,TRUE,TRUE,Overlap,-0.244858475852557,0.651319648354886,2.48915495387208e-20,0.651319648354886
Ammecr1,0.3967,5.78359550708436e-11,0.00229711920701835,0.40117094726241,TRUE,TRUE,Overlap,-0.400588530768805,0.872268795295499,5.40528934587406e-05,0.872268795295499
Ank,0.4866,0.000673306939183445,0.782738036988522,0.491784544924123,TRUE,FALSE,ASPEN_only,-0.0328647780705159,0.208299657406345,0.013584858177874,0.208299657406345
Aopep,0.4494,2.39346773789595e-19,2.65924732529256e-05,0.451727081470843,TRUE,TRUE,Overlap,-0.19369499407233,0.175685359917204,0.0292751939758582,0.175685359917204
Ap1s2,0.2758,2.20767207251744e-05,4.62185548020942e-16,0.263982503795345,TRUE,TRUE,Overlap,-1.02537106301587,1.10054784571447,9.65989473044751e-07,1.10054784571447
Apoo,0.4453,0.0205188642776825,0.513409214929009,0.462407962118537,TRUE,FALSE,ASPEN_only,-0.150652442286511,0.784806918416869,0.000505512307567381,0.784806918416869
Arc,0.3092,0.167958374806365,8.5056315381623e-33,0.234502970322459,FALSE,TRUE,GLM_only,-1.18305708042545,0.913249886745671,6.00899768008206e-12,0.913249886745671
Arhgap24,0.3622,8.98412186070314e-19,0.00163900422003193,0.391017225923798,TRUE,TRUE,Overlap,-0.443038366634673,-0.465458673034215,0.0454214756942194,0.465458673034215
Arhgef6,0.4472,0.0327517086900317,0.638770138329109,0.465445223226552,TRUE,FALSE,ASPEN_only,-0.138439790673988,0.929224757298485,0.000249861441926258,0.929224757298485
