"comparison","only_group","overlap_group","n_only_total","n_only_sexsig","prop_only_sexsig","n_overlap_total","n_overlap_sexsig","prop_overlap_sexsig","odds_ratio","p_value","ci_lower","ci_upper"
"scDALI_only vs Both","scDALI_only","Both",181,47,0.259668508287293,2769,471,0.170097508125677,1.71092195863098,0.00331674262781476,1.18241121885602,2.44113317635865
"scDALI_only vs Both","scDALI_only","Both",154,42,0.272727272727273,2669,459,0.171974522292994,1.80507938702868,0.00230761146365353,1.21710990784889,2.63612890887353
"ASPEN_only vs Both","ASPEN_only","Both",211,30,0.14218009478673,1837,356,0.193794229722373,0.689652750353868,0.0771152251042403,0.444450598247977,1.03929987729081
"ASPEN_only vs Both","ASPEN_only","Both",194,27,0.139175257731959,1767,347,0.196378041878891,0.661762310167669,0.0544868126154464,0.416371070855357,1.01748817307635
"glmmTMB_only vs Both","glmmTMB_only","Both",186,59,0.317204301075269,2769,471,0.170097508125677,2.26584197748196,2.4864941164664e-06,1.6086419090278,3.16290609979075
"GAMLSS_only vs Both","GAMLSS_only","Both",183,56,0.306010928961749,2669,459,0.171974522292994,2.12240509742871,2.38949356831854e-05,1.49671916401837,2.98009229273415
