gene,bb_mu,padj_mean,padj_intercept.x,glm_mu,asp_sig,glm_sig,group,asp_call,glm_call,p_sex,padj_sex,padj_intercept.y,beta_sex,se_sex,beta0,mu,abs_beta,z_score,abs_z,category
0610005C13Rik,0.2225,0.00112777152729984,0.370394321301559,0.316952052755521,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.29893144038294,0.999993910040895,0.370394321301559,-0.978086765983194,0.631014801302567,-0.767814548750207,0.316952052755521,0.978086765983194,-1.55002190751182,1.55002190751182,large_but_uncertain
1110004F10Rik,0.4432,0.0319834324847113,0.606043602421721,0.418789324865602,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.930936985947188,0.999993910040895,0.606043602421721,-0.0488974948159063,0.266599393838252,-0.327745310073256,0.418789324865602,0.0488974948159063,-0.183411875443245,0.183411875443245,tiny_effect
1110019D14Rik,0.5386,0.0993974163599947,0.554905966763441,0.561239233831297,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.212620831170979,0.999993910040895,0.554905966763441,0.485191498071972,0.206935996308079,0.246192943634001,0.561239233831297,0.485191498071972,2.3446452368279,2.3446452368279,other
1500002F19Rik,0.6256,0.00842417939442552,0.354680260709161,0.613716555202076,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.491743084310232,0.999993910040895,0.354680260709161,-0.382338363658964,0.274945977496963,0.462961772144538,0.613716555202076,0.382338363658964,-1.39059449837991,1.39059449837991,large_but_uncertain
1500004A13Rik,0.4508,0.0255118957578471,0.640306487268412,0.438705949338171,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.911906699279091,0.999993910040895,0.640306487268412,-0.0498992624882817,0.225909017651572,-0.246415553308356,0.438705949338171,0.0498992624882817,-0.220882118859209,0.220882118859209,tiny_effect
1600010M07Rik,0.4719,0.0251743229761113,0.935889099899674,0.482970850804092,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.354447490869913,0.999993910040895,0.935889099899674,0.368036490505946,0.211143440339882,-0.0681429528131428,0.482970850804092,0.368036490505946,1.74306381440745,1.74306381440745,large_but_uncertain
1600014C10Rik,0.4492,0.0893406941750616,0.936653512972327,0.471360414620657,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.908271266844516,0.999993910040895,0.936653512972327,0.0780407872114667,0.330176800486697,-0.114683873676352,0.471360414620657,0.0780407872114667,0.236360601642607,0.236360601642607,tiny_effect
1700081N11Rik,0.6017,0.0974498466192216,0.774446490163348,0.574366145084067,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.503167562152637,0.999993910040895,0.774446490163348,-0.500740493759983,0.386665021558577,0.299687595191308,0.574366145084067,0.500740493759983,-1.29502402814092,1.29502402814092,large_but_uncertain
1700123M08Rik,0.6656,4.21668715945763e-06,0.154069935088716,0.701209334490448,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.615615248136886,0.999993910040895,0.154069935088716,-0.393034780552957,0.43767297264284,0.85306325228116,0.701209334490448,0.393034780552957,-0.898010169966994,0.898010169966994,large_but_uncertain
2010001K21Rik,0.9219,3.36840107464293e-14,0.296442525835937,0.912444516459828,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.695468472334599,0.999993910040895,0.296442525835937,1.01872097283879,1.84954613934164,2.34385458971778,0.912444516459828,1.01872097283879,0.550795111930221,0.550795111930221,large_but_uncertain
2310002L09Rik,0.4343,0.000420443748989058,0.473960496432947,0.428924967900897,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.942502296285228,0.999993910040895,0.473960496432947,0.0292148788008551,0.182808967240004,-0.28623860211682,0.428924967900897,0.0292148788008551,0.15981097230586,0.15981097230586,tiny_effect
2310016D03Rik,0.6964,0.0610876597502476,0.146378950062444,0.64281170642266,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.555419262000996,0.999993910040895,0.146378950062444,-0.313813882942404,0.287167811111208,0.587588769581647,0.64281170642266,0.313813882942404,-1.09278920129693,1.09278920129693,large_but_uncertain
2500002B13Rik,0.6433,0.00131827382453553,0.116449121520855,0.67905942717681,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.834461279052271,0.999993910040895,0.116449121520855,0.134767707676899,0.31721968646917,0.74945267074508,0.67905942717681,0.134767707676899,0.424840302873184,0.424840302873184,large_but_uncertain
2510009E07Rik,0.423,0.0468789507363858,0.332857606575221,0.342669291677118,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.441924276756889,0.999993910040895,0.332857606575221,0.583583904150025,0.486805361426342,-0.651421435208892,0.342669291677118,0.583583904150025,1.19880336247761,1.19880336247761,large_but_uncertain
2610037D02Rik,0.4366,4.75944944413654e-05,0.370394321301559,0.445413155953931,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.970090222058135,0.999993910040895,0.370394321301559,-0.0101086497423858,0.140266329587708,-0.21922111960423,0.445413155953931,0.0101086497423858,-0.0720675430240363,0.0720675430240363,tiny_effect
2610203C22Rik,0.5625,0.0683140292798146,0.756711916640482,0.601491707795856,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.420610970986537,0.999993910040895,0.756711916640482,-0.775655004601739,0.633163472491453,0.411684442887988,0.601491707795856,0.775655004601739,-1.22504698754903,1.22504698754903,large_but_uncertain
2700049A03Rik,0.5549,0.0731483997069311,0.502241063486888,0.568478869664217,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.688151008822599,0.999993910040895,0.502241063486888,-0.162613668311561,0.189998380406922,0.275647665106766,0.568478869664217,0.162613668311561,-0.85586870773998,0.85586870773998,large_but_uncertain
2810403D21Rik,0.4391,0.0828485533228544,0.912898043711918,0.470300087079084,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.0601009474774391,0.999993910040895,0.912898043711918,1.0357990762989,0.266366047714571,-0.118939670049809,0.470300087079084,1.0357990762989,3.88863027096018,3.88863027096018,other
2900089D17Rik,0.7244,0.0159983778787919,0.124927321050389,0.803710684424834,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.420509454229411,0.999993910040895,0.124927321050389,0.987466253568346,0.9592850334401,1.4096496884371,0.803710684424834,0.987466253568346,1.02937731659086,1.02937731659086,large_but_uncertain
3110056K07Rik,0.4695,0.077278986571066,0.880716226075852,0.470194112940192,TRUE,FALSE,ASPEN_only,TRUE,FALSE,0.822665897500849,0.999993910040895,0.880716226075852,0.103517495558906,0.2227539857384,-0.119365072933175,0.470194112940192,0.103517495558906,0.464716692793439,0.464716692793439,large_but_uncertain
