gene,bb_mu,padj_mean,padj_intercept,glm_mu,asp_sig,glm_sig,group,p_sex,padj_sex
0610005C13Rik,0.2225,0.00112777152729984,0.370394321301559,0.316952052755521,TRUE,FALSE,ASPEN_only,0.29893144038294,0.999993910040895
0610040J01Rik,0.6885,0.00856990003677429,0.0357796794873186,0.710585717968478,TRUE,TRUE,Overlap,0.514559337035672,0.999993910040895
1110002L01Rik,0.9527,2.11746315776856e-17,2.09644742468217e-71,0.960625408662249,TRUE,TRUE,Overlap,0.0195410681113263,0.619749665279403
1110004F10Rik,0.4432,0.0319834324847113,0.606043602421721,0.418789324865602,TRUE,FALSE,ASPEN_only,0.930936985947188,0.999993910040895
1110019D14Rik,0.5386,0.0993974163599947,0.554905966763441,0.561239233831297,TRUE,FALSE,ASPEN_only,0.212620831170979,0.999993910040895
1500002F19Rik,0.6256,0.00842417939442552,0.354680260709161,0.613716555202076,TRUE,FALSE,ASPEN_only,0.491743084310232,0.999993910040895
1500004A13Rik,0.4508,0.0255118957578471,0.640306487268412,0.438705949338171,TRUE,FALSE,ASPEN_only,0.911906699279091,0.999993910040895
1500026H17Rik,0.2949,0.053782124909088,0.0889226936268373,0.301917772256171,TRUE,TRUE,Overlap,0.394421643622874,0.999993910040895
1600010M07Rik,0.4719,0.0251743229761113,0.935889099899674,0.482970850804092,TRUE,FALSE,ASPEN_only,0.354447490869913,0.999993910040895
1600014C10Rik,0.4492,0.0893406941750616,0.936653512972327,0.471360414620657,TRUE,FALSE,ASPEN_only,0.908271266844516,0.999993910040895
1600020E01Rik,0.3016,8.68443008237904e-11,0.00212595992801995,0.308115866479307,TRUE,TRUE,Overlap,0.855553796208837,0.999993910040895
1700025G04Rik,0.5698,8.06414171992339e-09,0.00118310486238672,0.580610252204722,TRUE,TRUE,Overlap,0.00556296368937895,0.236320330905769
1700081N11Rik,0.6017,0.0974498466192216,0.774446490163348,0.574366145084067,TRUE,FALSE,ASPEN_only,0.503167562152637,0.999993910040895
1700087I21Rik,0.1055,1.94440268055749e-46,3.19383744876917e-08,0.0992237608514849,TRUE,TRUE,Overlap,0.294325765126796,0.999993910040895
1700120C14Rik,0.7569,8.72895358659446e-10,0.00224034826378033,0.773098151757788,TRUE,TRUE,Overlap,0.638152210382786,0.999993910040895
1700123M08Rik,0.6656,4.21668715945763e-06,0.154069935088716,0.701209334490448,TRUE,FALSE,ASPEN_only,0.615615248136886,0.999993910040895
1700123O12Rik,0.0192,3.5421942664143e-20,2.30995395530486e-51,0.00740577136695434,TRUE,TRUE,Overlap,0.00177084446218889,0.0958540970178372
1810030O07Rik,0.357,1,0.0688242793448205,0.380160297878307,FALSE,TRUE,GLM_only,0.250072472201916,0.999993910040895
1810037I17Rik,0.1094,1.79629909515339e-11,0.0107361706746734,0.138499871725473,TRUE,TRUE,Overlap,0.770366001683084,0.999993910040895
2010001K21Rik,0.9219,3.36840107464293e-14,0.296442525835937,0.912444516459828,TRUE,FALSE,ASPEN_only,0.695468472334599,0.999993910040895
2310002L09Rik,0.4343,0.000420443748989058,0.473960496432947,0.428924967900897,TRUE,FALSE,ASPEN_only,0.942502296285228,0.999993910040895
2310014F06Rik,0.3583,1.90603420318365e-16,1.5009460775495e-05,0.315485372007574,TRUE,TRUE,Overlap,0.115066896905467,0.999993910040895
2310016D03Rik,0.6964,0.0610876597502476,0.146378950062444,0.64281170642266,TRUE,FALSE,ASPEN_only,0.555419262000996,0.999993910040895
2310069G16Rik,0.2663,4.47941694424776e-06,0.00944787338101624,0.242686433547673,TRUE,TRUE,Overlap,0.754076216017521,0.999993910040895
2500002B13Rik,0.6433,0.00131827382453553,0.116449121520855,0.67905942717681,TRUE,FALSE,ASPEN_only,0.834461279052271,0.999993910040895
2510009E07Rik,0.423,0.0468789507363858,0.332857606575221,0.342669291677118,TRUE,FALSE,ASPEN_only,0.441924276756889,0.999993910040895
2610008E11Rik,0.7845,6.46343739968552e-21,1.49250570726748e-06,0.7819638109537,TRUE,TRUE,Overlap,0.919689677045266,0.999993910040895
2610035D17Rik,0.974,1.572404620825e-57,2.38876485514858e-06,0.95286467496176,TRUE,TRUE,Overlap,0.599506630655268,0.999993910040895
2610037D02Rik,0.4366,4.75944944413654e-05,0.370394321301559,0.445413155953931,TRUE,FALSE,ASPEN_only,0.970090222058135,0.999993910040895
2610203C22Rik,0.5625,0.0683140292798146,0.756711916640482,0.601491707795856,TRUE,FALSE,ASPEN_only,0.420610970986537,0.999993910040895
2700049A03Rik,0.5549,0.0731483997069311,0.502241063486888,0.568478869664217,TRUE,FALSE,ASPEN_only,0.688151008822599,0.999993910040895
2700097O09Rik,0.6187,0.000900254440664291,0.0272650817012462,0.616863286589253,TRUE,TRUE,Overlap,0.872621446457467,0.999993910040895
2810403D21Rik,0.4391,0.0828485533228544,0.912898043711918,0.470300087079084,TRUE,FALSE,ASPEN_only,0.0601009474774391,0.999993910040895
2810449D17Rik,0.7563,5.41369665078964e-05,0.00233884707252155,0.794131408897029,TRUE,TRUE,Overlap,0.966297135646623,0.999993910040895
2900089D17Rik,0.7244,0.0159983778787919,0.124927321050389,0.803710684424834,TRUE,FALSE,ASPEN_only,0.420509454229411,0.999993910040895
3110056K07Rik,0.4695,0.077278986571066,0.880716226075852,0.470194112940192,TRUE,FALSE,ASPEN_only,0.822665897500849,0.999993910040895
3222401L13Rik,0.4014,1.30924261794395e-10,0.0421562425420196,0.400080877147664,TRUE,TRUE,Overlap,0.978944312721583,0.999993910040895
3300002I08Rik,0.3906,0.0555284970895597,0.357489881902703,0.375488240667354,TRUE,FALSE,ASPEN_only,0.714023544059321,0.999993910040895
3425401B19Rik,0.6044,0.0255118957578471,0.122909872841493,0.702631173721779,TRUE,FALSE,ASPEN_only,0.14927568093012,0.999993910040895
4631405J19Rik,0.2842,6.79239070806138e-05,0.0113275678506369,0.264401786004053,TRUE,TRUE,Overlap,0.846867829437453,0.999993910040895
4732440D04Rik,0.3162,6.92439512415214e-114,3.33901524861089e-24,0.312746806987746,TRUE,TRUE,Overlap,0.290797204778839,0.999993910040895
4732465J04Rik,0.2948,0.0754445396838302,1.32512488503506e-05,0.221982183928257,TRUE,TRUE,Overlap,0.435076704646652,0.999993910040895
4732471J01Rik,0.3467,0.00301001573824975,0.447851795899462,0.391797586220879,TRUE,FALSE,ASPEN_only,0.708782971821829,0.999993910040895
4833420G17Rik,0.8917,2.9463554282116e-15,0.0147056667461223,0.901479726171169,TRUE,TRUE,Overlap,0.360533109135341,0.999993910040895
4833439L19Rik,0.5679,0.0772913232768804,0.813426803983405,0.56334820453206,TRUE,FALSE,ASPEN_only,0.655348326169575,0.999993910040895
4921504A21Rik,0.7641,0.000546988063896448,0.0461798684404857,0.758371857084029,TRUE,TRUE,Overlap,0.735638520923012,0.999993910040895
4921524J17Rik,0.4369,0.0190642272219813,0.325717061725674,0.416140767287034,TRUE,FALSE,ASPEN_only,0.593194965357686,0.999993910040895
4930402D18Rik,0.8355,1.20227855545895e-07,7.89875918488998e-06,0.868357712323708,TRUE,TRUE,Overlap,0.626721429129211,0.999993910040895
4930412C18Rik,0.9637,9.17490691057209e-13,1.62320753951186e-05,0.970301311978487,TRUE,TRUE,Overlap,0.960607447814649,0.999993910040895
4930428N03Rik,0.026,4.03738872160874e-06,3.25662292919024e-33,0.0219842313995689,TRUE,TRUE,Overlap,0.000102132053177876,0.00867653696990253
4930447C04Rik,0.0487,1.15150831986973e-13,0.000119677860832832,0.0384947736254918,TRUE,TRUE,Overlap,0.513740572912915,0.999993910040895
4930458D05Rik,0.9527,4.59603239767922e-11,0.000384152932526831,0.95525385720594,TRUE,TRUE,Overlap,0.432898916688872,0.999993910040895
4930470G03Rik,0.6189,0.00394846724930429,0.666430772424062,0.597338877641914,TRUE,FALSE,ASPEN_only,0.426741023988146,0.999993910040895
4930481A15Rik,0.9455,2.7875761320727e-54,0.0026055938413584,0.970732644978983,TRUE,TRUE,Overlap,0.266994972694093,0.999993910040895
4930506C21Rik,0.4267,9.04608089938882e-07,0.316064153836486,0.415859660636092,TRUE,FALSE,ASPEN_only,0.787545162565403,0.999993910040895
4930512H18Rik,0.4494,0.080130072261887,0.493500409265846,0.440813623797135,TRUE,FALSE,ASPEN_only,0.980775126786908,0.999993910040895
4930522O17Rik,0.9533,1.03364066088269e-14,0.061925351479477,0.972267718127431,TRUE,TRUE,Overlap,0.928716093425128,0.999993910040895
4930523C07Rik,0.378,0.0109522347275552,0.344301422152609,0.388172080955282,TRUE,FALSE,ASPEN_only,0.373575216256988,0.999993910040895
4930544I03Rik,0.8356,0.00184449025126856,4.07258042652836e-07,0.774390326813379,TRUE,TRUE,Overlap,0.00324214917243833,0.154333539099096
4933431K23Rik,0.4431,0.000637100832299533,0.403781460983639,0.430961982646997,TRUE,FALSE,ASPEN_only,0.785812689959193,0.999993910040895
5430402O13Rik,0.3945,0.00899438008585863,0.342456580051281,0.359189099963748,TRUE,FALSE,ASPEN_only,0.950833939269256,0.999993910040895
5530601H04Rik,0.3596,0.70012247644712,0.0137214097156482,0.326611792375512,FALSE,TRUE,GLM_only,0.0304725200686033,0.838244076641251
5830417I10Rik,0.9312,4.52020277224277e-44,3.07576107993744e-11,0.940904249224676,TRUE,TRUE,Overlap,0.814567991315959,0.999993910040895
6030443J06Rik,0.7186,2.38653123844113e-15,0.000112105969166218,0.745487521213418,TRUE,TRUE,Overlap,0.881174116746688,0.999993910040895
6430548M08Rik,0.3701,0.0378049359554886,0.351118706166702,0.372186718838483,TRUE,FALSE,ASPEN_only,0.493812997076676,0.999993910040895
6820431F20Rik,0.7384,1.57102023100469e-17,0.000411337818324011,0.70766563970305,TRUE,TRUE,Overlap,0.478256591406761,0.999993910040895
9230114K14Rik,0.322,3.69169583455243e-05,0.0389591766922379,0.280559969033133,TRUE,TRUE,Overlap,0.431904386131689,0.999993910040895
9330159M07Rik,0.0774,0,1.97503086293605e-154,0.0728815555392731,TRUE,TRUE,Overlap,0.0765299640544408,0.999993910040895
9330162G02Rik,0.3018,2.58532525004979e-07,0.0115230471283229,0.281305779435795,TRUE,TRUE,Overlap,0.523371759284142,0.999993910040895
9430037G07Rik,0.1785,7.65585729121e-15,0.000338836931671466,0.162636983679265,TRUE,TRUE,Overlap,0.166746421090922,0.999993910040895
9530026P05Rik,0.6353,9.81217602860843e-32,4.51428613066164e-09,0.620379845227087,TRUE,TRUE,Overlap,0.148545762920223,0.999993910040895
A330102I10Rik,0.1901,7.4336348707788e-19,0.000506752930529603,0.236397776781827,TRUE,TRUE,Overlap,0.402040649247331,0.999993910040895
A730017L22Rik,0.8982,1.17463504236777e-17,0.00112691625881767,0.895181430613522,TRUE,TRUE,Overlap,0.297180133518593,0.999993910040895
A930002C04Rik,0.965,5.7611548331483e-16,2.00361761631854e-36,0.974147510205422,TRUE,TRUE,Overlap,8.92716723744414e-08,1.81573171205227e-05
A930005H10Rik,0.3846,0.00414475648654398,0.712814994040841,0.426350826501485,TRUE,FALSE,ASPEN_only,0.951074718442474,0.999993910040895
A930015D03Rik,0.7434,1.34858262329924e-06,0.00725321946254281,0.720669448923129,TRUE,TRUE,Overlap,0.922976151303941,0.999993910040895
A930029G22Rik,0.6687,0.0356432316159622,0.189174843397959,0.66483317955756,TRUE,FALSE,ASPEN_only,0.723630772736537,0.999993910040895
AA672651,0.322,2.85184709229409e-05,0.0604529165709367,0.311719885758586,TRUE,TRUE,Overlap,0.560786672981924,0.999993910040895
AI839979,0.9588,6.75587140149202e-15,2.55567285914138e-05,0.943465296857757,TRUE,TRUE,Overlap,0.479948601684231,0.999993910040895
AW011738,0.7618,1.06149850026661e-05,0.00110774518952656,0.776981825907608,TRUE,TRUE,Overlap,0.747486344610456,0.999993910040895
AW146154,0.6317,0.00132439898462265,0.525542159248604,0.617541794369588,TRUE,FALSE,ASPEN_only,0.741966007826631,0.999993910040895
AW554918,0.5806,0.00727338643657921,0.33084352366645,0.578558962495903,TRUE,FALSE,ASPEN_only,0.423934888260168,0.999993910040895
Aaas,0.0237,7.23654678352946e-58,5.98670491108751e-06,0.0335605860932008,TRUE,TRUE,Overlap,0.96219160001252,0.999993910040895
Aamdc,0.3948,0.015708229473851,0.768373544660117,0.449236054904358,TRUE,FALSE,ASPEN_only,0.932921491051806,0.999993910040895
Aars1,0.4132,0.0339203842101273,0.590979091137487,0.408734141011995,TRUE,FALSE,ASPEN_only,0.924083914825864,0.999993910040895
Abca5,0.4412,0.0252744503853243,0.814367796194089,0.441707755947178,TRUE,FALSE,ASPEN_only,0.432532326573734,0.999993910040895
Abca8a,0.7015,2.34268439975222e-30,0.172727912780228,0.760474597464328,TRUE,FALSE,ASPEN_only,0.581481470405063,0.999993910040895
Abcb4,0.4279,0.000287772911070312,0.406498702587253,0.425444949649909,TRUE,FALSE,ASPEN_only,0.995543324149663,0.999993910040895
Abcb7,0.4465,0.00394800240114355,0.830560118713381,0.473259371821612,TRUE,FALSE,ASPEN_only,0.00188037054503424,0.0986019304552331
Abcb8,0.5504,0.0858789110397071,0.421340357389436,0.599622619533419,TRUE,FALSE,ASPEN_only,0.634723146993884,0.999993910040895
Abcc4,0.6114,8.27366208597268e-05,0.291276811975123,0.60880779851869,TRUE,FALSE,ASPEN_only,0.907240537130136,0.999993910040895
Abcc5,0.4662,0.000131699925121092,0.346852206080095,0.459535295702251,TRUE,FALSE,ASPEN_only,0.335392057511009,0.999993910040895
Abcc8,0.3639,3.87427702189549e-05,0.0447912080204443,0.372021586052985,TRUE,TRUE,Overlap,0.693057548150513,0.999993910040895
Abcc9,0.4005,2.9916314087383e-08,0.082964950555327,0.401107554617623,TRUE,TRUE,Overlap,0.979791840760288,0.999993910040895
Abcd2,0.3542,0.147832886967816,0.0827828440623422,0.260203179182527,FALSE,TRUE,GLM_only,0.843011996794425,0.999993910040895
Abcd3,0.5803,0.0619476665412936,0.00395642253655663,0.582627495442361,TRUE,TRUE,Overlap,0.899637180786419,0.999993910040895
