"","AR","N","log2FC","llr","pval"
"Emc8",0.503875968992248,344,-0.00777735059171913,0.638204093999605,1
"Emilin2",0.438251366120218,305,-0.430928872048735,0.7581478068293,1
"Itgb1bp1",0.507751937984496,344,0.00777735059171913,0.293650725565954,1
"Mmrn1",0.498701298701299,154,0.0855757317060739,1.6916252576498,1
"Pced1b",0.556510416666667,320,0.335934952881241,0.430631024455749,1
"Rela",0.567437379576108,346,0.399171093819822,-1.88876633139859,0.0519452053156217
"Tmem192",0.51197757390418,327,0.194728392442885,-0.897318268904371,0.180362266123099
"Trhde",0.472764227642276,246,-0.25733204646961,21.1178907763954,1
"2310058D17Rik",0.497076023391813,342,-0.0311946216035937,0.297554298723412,1
"Far1os",0.560129740518962,334,0.297385910624571,-2.79778810708109,0.0180058875591276
"Gabbr1",0.562062062062062,333,0.31315788525963,0.530827793857043,1
"Mtg1",0.48233046800382,349,-0.17176634826648,0.205962285354872,1
"Ntmt2",0.25462962962963,306,-1.55393560510053,-1.99224269612671,0.0459211259314484
"Phf1",0.509389671361502,355,0.0467942114789412,-0.0884237300501809,0.674096599672082
"Vps45",0.442724458204334,323,-0.328948522565135,0.911935454576508,1
"Zfp457",0.559880239520958,334,0.344758803268248,0.159315814768263,1
"2900089D17Rik",0.719904458598726,314,1.33014860169233,0.491555158245745,1
"4833422C13Rik",0.669426048565121,302,0.964953052900799,0.148848710809887,1
"Abcd4",0.583086053412463,337,0.44930740136359,-0.239562278420976,0.488819124192666
"Cdh20",0.368381076388889,256,-0.759948912167046,7.94366949278128,1
"Gstcd",0.349397590361446,332,-0.759948912167046,-0.108311443751745,0.641625244808026
"Lamtor5",0.398121387283237,346,-0.611075341040288,-4.23427469621024,0.00361339474201191
"Pagr1a",0.512400793650794,336,0.0860398310666914,0.286088452544732,1
"Pcdhga7",0.462475633528265,342,-0.24297675349254,-0.434826861645547,0.351051190497636
"Rtraf",0.618773946360153,348,0.676801367786233,-0.174984270672667,0.554130938589516
"Arl2bp",0.523054755043227,347,0.141245925435752,0.360717764824756,1
"Ccdc91",0.475609756097561,328,-0.141245925435752,-0.321260736749878,0.422799207323492
"Gm36535",0.639690170940171,312,0.787370547603449,1.13884586236503,1
"Mrps12",0.410818713450292,342,-0.490805006896809,-0.0446550171815829,0.765056143210486
"Abcc10",0.458923512747875,353,-0.244307197764889,-0.869889936650225,0.187166720664566
"Abcd2",0.370819848975189,309,-0.764286200165718,-0.500678634727819,0.316982311115093
"Acadvl",0.466183574879227,345,-0.228477183797425,0.467781345877938,1
"Dimt1",0.513333333333333,350,0.117997209398451,0.0106505526077285,1
"Gm10649",0.326530612244898,294,-0.866375435869805,-2.75006518712328,0.0190150559408337
"Lrsam1",0.534383954154728,349,0.228477183797425,0.215859808568666,1
"Pdcd5",0.581384015594542,342,0.484079143708495,0.452684730282101,1
"Selenok",0.56268221574344,343,0.339630096620821,-0.293635055747046,0.443476695423149
"Stambp",0.501501501501502,333,0.0393129240248253,0.130027440018466,1
"Zfp180",0.449404761904762,336,-0.323697187740418,-0.614530918232276,0.267589566140112
"Bysl",0.381364073006724,347,-0.707607414567407,0.0841027062956812,1
"Gm43857",0.601744186046512,344,0.575114714764809,0.00757982847233052,1
