"","AR","N","log2FC","llr_mean","pval_mean"
"Fam53b",0.627450980392157,17,0.192645077942399,1.82397004996735,1
"Fam76a",0.472222222222222,12,-0.534336427651185,-0.846254188884565,0.1932706395819
"Fam78b",0.470588235294118,17,-0.700439718141092,-1.56035364919393,0.0773032226253579
"Fam91a1",0.533333333333333,10,-0.362570079384709,1.11405530943115,1
"Fancc",0.327777777777778,15,-1.32192809488736,-7.12779702981562,0.000159585766749488
"Fancl",0.41875,16,-0.165059246270499,2.51189991598269,1
"Far1",0.508641975308642,27,-0.147557188413857,0.737541480620649,1
"Farp1",0.513450292397661,57,-0.0773057261674486,-0.0339722119569927,0.794353549046431
"Farp2",0.395833333333333,16,-0.823122237915922,-2.25735338493529,0.0336046459366945
"Fars2",0.517631917631918,74,0.268105395381216,-0.783751435573379,0.210570028235439
"Farsb",0.511111111111111,15,-0.0703893278913972,0.11656078607934,1
"Fas",0.564102564102564,13,0.392317422778759,-0.663549338467419,0.249322022715907
"Fau",0.442982456140351,19,-0.352301743930881,-0.68206810875536,0.242821923317425
"Fbh1",0.448717948717949,13,0.0430687218918906,0.687484346899865,1
"Fblim1",0.647222222222222,42,1.08597322310985,-6.57793355748076,0.000286620366334883
"Fbln2",0.471428571428571,21,-0.09310940439148,0.294038966620597,1
"Fbn1",0.472411907089326,62,-0.358686644897479,-1.07560408673467,0.142457749361727
"Fbxl17",0.487397106366713,213,-0.0167109402079265,-0.015296354559041,0.861152147243748
"Fbxl20",0.530855199222546,49,0.270853910293095,-0.554468634073856,0.292313079547844
"Fbxl3",0.414705882352941,17,0.0534392589614603,1.11640904135665,1
"Fbxl4",0.333333333333333,12,-0.938599455335855,-2.57110371519759,0.0233509388865296
"Fbxl5",0.571428571428571,21,-0.125530882083859,1.09871826596129,1
"Fbxl7",0.562470149941954,140,0.166403163499386,-0.837263496465198,0.195653276619255
"Fbxo11",0.4994708994709,84,-0.173148902316599,0.0644738691072178,1
"Fbxo28",0.525,20,0.362570079384708,-0.243717922450415,0.485073350316221
"Fbxo3",0.528455284552846,41,0.0853914912306448,0.183394843324507,1
"Fbxo30",0.416666666666667,10,-0.469485283301219,-0.754077915784137,0.219420705901545
"Fbxo32",0.550459404541037,49,0.475919741425865,-1.39351339046016,0.0950303977579834
"Fbxo34",0.444444444444444,21,-0.0554951125917036,0.141513138975142,1
"Fbxo38",0.637254901960784,17,0.338168735894573,1.91006790845138,1
"Fbxo40",0.515151515151515,11,-3.5527136788005e-15,0.00101268289191125,1
"Fbxo42",0.446666666666667,25,-0.131244533278252,0.113014809240255,1
"Fbxo8",0.5,20,-0.37851162325373,-0.239976766154101,0.48844336532985
"Fbxo9",0.590909090909091,11,0.186413124230882,0.554813506887385,1
"Fbxw11",0.510606060606061,44,-0.145850866463455,0.506032250095799,1
"Fbxw2",0.357142857142857,14,-0.314108590428063,1.17357436432216,1
"Fbxw4",0.49537037037037,36,0.29545588352617,0.200711958563687,1
"Fbxw7",0.419634230503796,69,-0.348728154231079,0.491995124213162,1
"Fbxw8",0.588235294117647,17,0.0995356735509167,0.229676127074356,1
"Fcho2",0.531478255258743,123,0.188577708344204,-0.489836240269057,0.322279678816527
"Fchsd2",0.445414462081129,72,-0.383704292474052,-1.98888009613316,0.0461048317866591
"Fdx1",0.648809523809524,14,0.0721497857558355,0.0083647144460457,1
"Fer",0.557666666666667,50,0.113458049783283,0.757622068431488,1
"Fermt2",0.433333333333333,21,-0.178970141045318,-0.10553786432105,0.645925562402468
"Fez2",0.590909090909091,11,0.704544116473828,-1.61324249933814,0.0724560520387451
"Fgd4",0.45609857978279,38,-0.148098638989132,0.440038172075347,1
"Fgd5",0.553896103896104,66,0.0342157153379128,0.598168146187874,1
"Fgd6",0.444444444444444,18,0.268488835925901,1.91032753292628,1
"Fgf1",0.656108058608059,65,0.956931278108113,-5.50569456844237,0.000905537560686781
"Fgf14",0.337464985994398,68,-0.830074998557688,-5.13098569221748,0.0013580048817399
"Fgf2",0.430555555555556,12,0.310340120612152,0.548955538455374,1
"Fgfr1",0.452380952380952,21,0.362570079384709,0.901680351885972,1
"Fgfr1op2",0.530252100840336,34,0.20945336562895,-0.25949818914664,0.471270112674332
"Fggy",0.283333333333333,10,-0.662965012722429,1.24099163297581,1
"Fhip1a",0.444592273668361,92,-0.190683561609107,-0.903991928632593,0.178750274526448
"Fhl2",0.586627929127428,150,0.452614061167534,-15.2797704362987,3.23775716174576e-08
"Fhod3",0.621882143377422,138,0.76680082370697,-28.2961079141324,5.36236984359192e-14
"Fign",0.555050505050505,33,0.176877762084079,1.21630060834353,1
"Filip1",0.420289564399638,138,-0.292294434566605,-2.21114374007806,0.0354724523764791
"Fip1l1",0.46358024691358,54,-0.331205908475372,-0.956267470374797,0.166681945032563
"Fkbp15",0.42962962962963,27,-0.337034987277571,-0.466685677838854,0.333988410016343
"Fkbp5",0.541071428571429,28,0.39592867633114,-0.865347887326337,0.188322065093179
"Fkbp9",0.43452380952381,14,-0.277533975528909,-0.31696563259576,0.425916956209393
"Fktn",0.533333333333333,10,0.530514716698779,-0.489349354697154,0.322520285138771
"Fli1",0.455682272909164,119,-0.204358498506184,-0.840221807290959,0.19486551700396
"Flnb",0.569388814715918,107,0.266280065337448,0.565109485368225,1
"Flnc",0.577678571428571,28,0.48542682717024,-0.375650729429196,0.386064493778486
"Flrt2",0.590271171614455,67,0.546894459887636,3.64216430362694,1
"Flt1",0.437865615180009,208,-0.245640143041412,-4.1674295688091,0.00388914933645646
"Fmn1",0.0787037037037037,36,-3.79701297783614,-51.5514928526677,3.18171212060951e-24
"Fmnl2",0.555702276286515,184,0.33775557819255,-2.75077684078065,0.0189995855421943
"Fmnl3",0.564102564102564,13,0.148098638989133,0.0924402840303955,1
"Fmo1",0.541851851851852,45,0.40109830832097,-1.27760688302689,0.109930944391148
"Fmo2",0.764965986394558,35,1.52356195605701,-7.73436053171027,8.38819379836088e-05
"Fn1",0.361333333333333,25,-0.504472582860786,-0.206963751039567,0.51998276168672
"Fnbp1",0.627301587301587,60,0.468675462880917,-0.490160160400279,0.322119736913876
"Fnbp1l",0.574358974358974,13,0.710493382805016,-1.97924313133138,0.0466356228426083
"Fndc1",0.5,10,-0.137503523749936,-0.00318081332633824,0.936428292601731
"Fndc3a",0.568279569892473,62,0.408805545567329,-0.751370069012893,0.220250227842713
"Fndc3b",0.496222527472527,104,-0.0674629677787375,0.0255371361094205,1
"Fnip1",0.519871794871795,104,0.11425717925768,0.092014370218152,1
"Fnip2",0.55547087051875,86,0.134136672651537,-0.174825111526786,0.554311197111893
"Focad",0.569047619047619,28,0.443606651475615,-1.05354644724179,0.146617618312151
"Fos",0.464912280701754,19,-0.23446525363702,-0.107954072124372,0.64217555202119
"Fosb",0.641025641025641,13,0.700439718141094,-0.181407812353985,0.546946652782023
"Fosl2",0.365625,16,0.533432200081075,5.92493895520058,1
"Foxj3",0.438725490196078,34,-0.249978253008346,-0.210227134272074,0.516710460105754
"Foxk1",0.346153846153846,13,0.0331668639351981,6.59947570655097,1
"Foxk2",0.534722222222222,18,0.230297619421794,0.05471622633506,1
"Foxn2",0.236363636363636,11,-0.104336659814738,7.98319506035698,1
"Foxn3",0.542380952380952,125,0.343301745679928,-0.79046547821676,0.208626647694946
"Foxo1",0.502636054421769,70,0.0384741478146349,-0.0111574545148301,0.881252406794464
"Foxo3",0.579166666666667,32,0.354664881299361,-0.573777579082289,0.284061526012624
"Foxp1",0.51076335672609,161,0.00450139223494121,0.167988347777964,1
"Foxp2",0.504166666666667,16,0.402098443571346,-0.332228919794353,0.414990555647978
"Fra10ac1",0.583333333333333,13,-0.211504105193712,2.83993263877421,1
"Frmd4a",0.350707850707851,37,-0.693022246578609,1.04845217089115,1
