"","bb_mu","AR","N","bb_theta","thetaCorrected","log2FC","llr_mean","pval_mean","padj_mean"
"Uevld",0.4438,0.443661971830986,71,3.9382,1.97413042363344,-0.37851162325373,-0.38603564816939,0.379577042002421,0.673549830554782
"Ufd1",0.5191,0.529810298102981,123,0.0244,0.39842815556732,0.215012890970851,-0.147409271474714,0.587149112641469,0.860953082577198
"Ufl1",0.5367,0.540277777777778,180,1.45,0.859551995690524,0.129767874970329,-0.54419000353235,0.296830425819409,0.582837649833936
"Ugdh",0.4936,0.480361443504389,318,0.6421,0.444649615113825,0.0126738300351104,-0.031077747965071,0.803120965857897,1
"Uggt1",0.5178,0.518916155419223,163,0.4609,0.506018313552912,0.495527417139212,-0.408798700652298,0.365883566956657,0.659390374182168
"Uggt2",0.3941,0.391975308641975,162,0.2576,0.411381348354933,-0.540568381362703,-2.72455106334196,0.0195783865200088,0.0932329767981711
"Ugp2",0.5345,0.530979748221127,464,0.4344,0.377056843377703,0.105554170758127,-0.480680035332796,0.326844446698347,0.614964931776998
"Ugt1a7c",0.0856,0.0860927152317881,151,0.9524,0.696361644940451,-3.54432051622381,-55.4275894361072,6.36550421803332e-26,7.80268407311495e-24
"Uimc1",0.5022,0.500992063492063,168,0.0996,0.360314742563789,0.0749620576812227,0.00152172159035047,1,1
"Ulk2",0.521,0.518126177024482,354,0.2813,0.343324106042457,0.145716830597619,-0.185359596681224,0.542612506924582,0.819898538228772
"Umad1",0.5179,0.515787037037037,360,1.0913,0.645322044784706,0.234091450022835,-0.428207451007921,0.354743904368895,0.64860217794655
"Unc13b",0.5182,0.506910569105691,123,1.2482,0.807749560430474,0.359081093304829,-0.213377309995458,0.513585718707294,0.798398634110755
"Unc5c",0.6089,0.61025641025641,130,3.381,1.5891717588205,0.541709302767272,-1.82926428465993,0.0557828771031588,0.197061551562383
"Unkl",0.5133,0.524666666666667,125,0.189,0.447641793975851,-0.137503523749935,0.0785283417164067,1,1
"Upf2",0.589,0.591247672253259,179,1.5479,0.904933631359585,0.400537929583729,-1.74674821427254,0.0616103312451334,0.211058568636052
"Uqcc5",0.4429,0.444915254237288,118,1.803,1.072322853811,-0.0888092669578553,-0.753325654094922,0.219650778950459,0.484042645911197
"Uqcrc2",0.5343,0.534848484848485,110,0.3792,0.553916281348464,0.0857298740258834,0.0905362170295732,1,1
"Urgcp",0.5735,0.572916666666667,256,0.502,0.464230499470769,0.6959938131099,-5.17015507787426,0.00130156139924952,0.0108057687390932
"Uri1",0.5249,0.52037037037037,270,1.1741,0.707491710619877,0.0836579290469102,-0.183455847792061,0.544692489928682,0.821769461401424
"Usf3",0.554,0.553571428571429,112,0.9716,0.769090410850085,0.606657571820475,-1.07317064185385,0.142910090309903,0.368395184402744
"Uso1",0.4735,0.476988382484361,373,0.3147,0.357503211416799,-0.162620200819079,-0.346576547239806,0.405093962624638,0.698207726250969
"Usp10",0.5162,0.514102564102564,130,0.4971,0.55767329706161,0.192645077942396,-0.0516680197953008,0.74786240016399,0.992752925371064
"Usp15",0.526,0.523882113821138,328,0.2577,0.343367705784981,0.100111484790204,-0.118664793117375,0.626141516140406,0.896011515135125
"Usp16",0.549,0.546116504854369,206,0.721,0.571971130997872,0.332575339086871,-0.924854854604632,0.173817160671264,0.419197739149413
"Usp24",0.5418,0.537592592592593,450,0.1705,0.285833798977545,0.162402042727302,-0.377273944789692,0.385040150902478,0.679413354956361
"Usp25",0.4414,0.432880161127895,331,0.3124,0.363942848606573,-0.208752744794028,-0.712975071315697,0.232426516124069,0.503841773852086
"Usp3",0.5041,0.501126126126126,222,0.4156,0.440266933867556,-0.0882271830117354,0.0288615245165431,1,1
"Usp31",0.5437,0.54337899543379,146,1.395,0.86443759430754,0.421463768438277,-0.821417260822528,0.199937003719958,0.456777648569941
"Usp32",0.4681,0.461781609195402,290,0.2565,0.358766413071377,-0.0517150365441559,0.0605006408550537,1,1
"Usp33",0.5218,0.52665544332211,297,0.6639,0.510849973509029,0.046392905484451,-0.171012728162879,0.558662416901066,0.829710335490467
"Usp34",0.4894,0.491726762820513,832,0.1844,0.264241214486543,-0.0541412515574202,-0.149638964976248,0.58433544827937,0.857553760891556
"Usp36",0.5243,0.521604938271605,162,0.2861,0.4472164560091,0.0581029545635676,-0.140846925872623,0.595593149557296,0.867821331551919
"Usp37",0.4717,0.463930348258706,268,1.4488,0.812899852864788,0.0319428925027543,0.136134273693301,1,1
"Usp4",0.5218,0.513829787234043,235,0.1516,0.341158245321431,-0.0931094043914813,0.459932750826823,1,1
"Usp45",0.5437,0.541182170542636,172,0.4617,0.491000589608809,0.248820546614093,-0.492494295755307,0.320970298820324,0.609210073747785
"Usp46",0.5819,0.578947368421053,133,1.6002,0.982122163263424,0.478047296804645,-1.21592682966663,0.118892233788589,0.325894626584399
"Usp47",0.5043,0.506820365033621,347,0.7705,0.532141677836743,0.0527414620719737,-0.017138309900588,0.853119651640635,1
"Usp54",0.5128,0.510416666666667,256,1.7571,0.940520790542955,0.0118741002882912,0.0457814652617685,1,1
"Usp6nl",0.4419,0.444444444444444,135,0.3903,0.510523871701007,-0.456857674973471,-1.55326180097852,0.0779792367630683,0.247316598497078
"Usp7",0.4619,0.461343472750317,263,0.7036,0.542463526778853,-0.171271427149828,-0.496521992535151,0.318999534293655,0.608471838966741
"Usp8",0.5665,0.561576354679803,203,0.9304,0.653021576454462,0.130584109810144,-0.137016300141823,0.600639408224654,0.873385478361046
"Utp6",0.4652,0.473451327433628,113,1.4963,0.966745510036594,0.0554951125917036,0.317682191010462,1,1
"Utrn",0.5631,0.564496399934544,582,0.2213,0.289487728473092,0.226936346481396,-2.15105164208057,0.0380652688895043,0.154673663022845
"Uvrag",0.4989,0.494401378122308,387,0.4282,0.395085439309769,0.0202723950262609,-0.032894095207098,0.797570890210571,1
"Vamp4",0.5389,0.536062378167641,171,0.6041,0.550316497293336,0.353636954614701,-0.773919242457936,0.213454822908984,0.474923262796211
"Vapa",0.5541,0.545717234262126,323,0.5269,0.440878811860728,0.332270039108821,-2.06230661192012,0.0422636806647968,0.164771241510728
"Vav2",0.4541,0.454545454545455,110,2.9652,1.52776171439731,-0.13245029602365,-0.254890730973941,0.475233474834687,0.759583698004472
"Vav3",0.5287,0.530073945877911,908,0.2964,0.300590591935883,0.16104685009586,-1.92652619891703,0.0496555453057657,0.183661856675813
"Vcam1",0.5252,0.518660968660969,117,2.0387,1.11894257673886,0.388270589716059,-0.488020041967218,0.323178404984165,0.61138996615037
"Vcan",0.5356,0.537234002084617,569,0.6728,0.451396188065285,0.286078157784705,-3.06750120385306,0.0132531366959721,0.0686861665291248
"Vcl",0.4429,0.465062715062715,413,0.36,0.345436624949279,-0.337996463515016,-2.59845571324661,0.0226270580486433,0.103260585153996
"Vcp",0.5174,0.519650655021834,229,0.2655,0.388775169154733,-0.079434467494405,0.161907323461008,1,1
"Vegfc",0.5878,0.584967320261438,255,0.5766,0.469212526998161,0.79836613883035,-7.20188356383696,0.000147506930018201,0.00164731932813875
"Vezt",0.4469,0.451807228915663,166,1.3578,0.843089383090324,-0.277533975528909,-0.556889006364372,0.291262164470306,0.577189246363023
"Vgll3",0.5253,0.523420479302832,153,0.6683,0.582119050334227,0.405638801276594,-0.693274794441891,0.238988656738624,0.511043069567089
"Vgll4",0.5087,0.505122950819672,244,0.7795,0.56895204349707,-0.22404027421793,0.124424560390679,1,1
"Vim",0.4554,0.447022209421403,496,0.131,0.257179582263599,-0.154397608585433,-1.38336318766477,0.0962428072758628,0.285512081224539
"Virma",0.4628,0.466235632183908,232,0.2575,0.381373435194849,-0.235103473086002,-0.661479458997405,0.25006170708176,0.525949957422268
"Vit",0.7495,0.73,50,3e-04,0.529263504609027,1.51937415909358,-6.28435035142061,0.00039226120204994,0.00386896946295411
"Vkorc1l1",0.4494,0.443518518518519,270,0.5649,0.477241625016687,-0.196800707433707,-0.538065921635564,0.29956450349141,0.58427735835902
"Vmp1",0.5069,0.502777777777778,330,0.1918,0.313088637033231,0.0259952085329442,-0.0360365940544796,0.78834179658085,1
"Vps13a",0.5319,0.532001718213058,388,1.0169,0.613515526144864,0.169925001442313,-0.323948280662421,0.42086571907825,0.710788175728838
"Vps13b",0.4904,0.48860075634792,617,0.1674,0.27044666644582,-0.0984037040609946,-0.495044844929737,0.319720454496316,0.608758267901547
"Vps13c",0.5512,0.552121212121212,275,0.3726,0.40561146375096,0.349449157651267,-1.57558358617189,0.0758726743340832,0.243214072726478
"Vps13d",0.5212,0.518610421836228,403,0.366,0.37311441497921,0.0503735225151196,0.158841587805142,1,1
"Vps26a",0.5062,0.506211180124224,161,0.7724,0.628007214560704,0,0.00924926158944572,1,1
"Vps35",0.4968,0.485799701046338,223,0.3031,0.401435622900209,0.0374747054186635,0.0739028339629897,1,1
"Vps35l",0.4255,0.422360248447205,161,1.412,0.869952092076044,-0.207804885113402,-0.86706061376654,0.187885433303735,0.440690630147379
"Vps36",0.412,0.412408759124088,137,7.4783,3.20089788226437,-0.79836613883035,-3.02217924318001,0.0139508011162607,0.0714462625214416
"Vps4b",0.4878,0.4921875,192,0.4923,0.491611208537376,-0.209923069374232,-0.186957547456885,0.540877901920918,0.818824555655734
"Vps50",0.4306,0.432135728542914,167,0.7068,0.590101982958257,-0.457472765599241,-1.86433034982757,0.0534862642564963,0.192483832490634
"Vps53",0.4476,0.455555555555556,135,0.3252,0.492394816048952,-0.263034405833793,-0.297667446758254,0.440363531793052,0.728674812496505
"Vps54",0.4914,0.487464985994398,476,0.3907,0.364249499564361,-0.115038508266216,-0.496578005754202,0.318972239162924,0.608471838966741
"Vps8",0.6041,0.605072463768116,138,0.0638,0.393128993264142,1.09515723304034,-5.08062795789969,0.00143422884417816,0.0116283378420253
"Vrk2",0.526,0.507726269315673,151,0,0.340582112471923,-0.0369942074822021,0.454394211715041,1,1
"Vta1",0.4743,0.469798657718121,149,0.9028,0.693091734044144,-0.354664881299363,-0.720994742472712,0.229817669701371,0.501221805680966
"Vti1a",0.5154,0.514356814701378,653,0.7646,0.49256934995282,0.0174030462614452,0.140389161568862,1,1
"Vti1b",0.4835,0.481818181818182,110,0.5013,0.600283369956059,-0.415037499278843,-0.342061716963919,0.408170440451852,0.700940485701186
"Vwa5a",0.3432,0.343403826787513,331,0.8408,0.567631126947549,-1.08979667035065,-19.7386356374531,3.319000577298e-10,1.27670888873397e-08
"Vwa8",0.6743,0.672480620155039,172,1.8097,0.997432198956605,1.04122266272651,-10.6333740699245,3.99603532632807e-06,6.74842648768185e-05
"Wac",0.5012,0.500715998629668,695,0.2861,0.310205716112257,0.0866223547477509,0.0485918977329902,1,1
"Wapl",0.546,0.550913242009132,365,0.4284,0.399348382922845,0.29104878200339,-1.25973787503287,0.112447962705636,0.316880880803238
"Wars2",0.5572,0.558333333333333,120,3.5592,1.73473342624928,0.402098443571345,-0.814655903411008,0.201798261759852,0.459319909409997
"Wasf2",0.4757,0.470489977728285,449,0.3373,0.348535955045372,-0.213244039122262,-1.13799372198764,0.131391416886525,0.346441039802856
"Washc4",0.4998,0.50386012715713,367,2e-04,0.235769560539756,0.0732489820306386,0.0412609407848095,1,1
"Washc5",0.3809,0.386524822695035,94,0,0.438853776737343,-0.625604485218502,-1.79935121674011,0.0578246879363485,0.202162811233439
"Wasl",0.444,0.450877192982456,380,0.5096,0.428578208250619,-0.296049463061757,-2.11345541057767,0.0397877949855411,0.158705244120312
