"","AR","N","log2FC","llr_mean","pval_mean"
"Fry",0.553534378534378,37,0.206450877467426,-0.260250968464803,0.470627648505788
"Fryl",0.304761904761905,14,-0.389946518316013,0.48054280579192,1
"Fsd1l",0.666666666666667,14,0.906890595608519,-1.07535473658405,0.142504025688284
"Fstl4",0.292857142857143,10,-1.32192809488736,-0.797435955304177,0.206631452397158
"Fto",0.596637291280148,28,0.421826664941483,-0.451989350302533,0.341717110768727
"Fubp1",0.528195488721805,19,-0.0687127500840145,0.0396690399228419,1
"Fus",0.584249084249084,13,0.81713594285019,-1.52591873002704,0.0806458548192429
"Fut8",0.675641025641026,13,0.415037499278844,0.328970924951136,1
"Fxr1",0.5,16,0.0506260730699679,-0.00775277521461248,0.900902548505783
"Fyco1",0.485,10,0.275634442613428,-0.0876737235880434,0.675402441462534
"Fyn",0.56140350877193,38,0.313660478903762,-0.47740777657372,0.328496561222506
"Gab1",0.499792960662526,23,0.0324214776923778,0.103515469736323,1
"Gab2",0.539942588275922,45,0.0347654181606765,-0.0407242073348755,0.77534407610748
"Galnt1",0.464285714285714,14,0.273018494406416,-0.0520731573999953,0.746909514464189
"Galnt18",0.553830227743271,23,0.238159737194765,-0.205014619641872,0.521954665024681
"Garre1",0.528787878787879,22,0.0317088597273385,0.0877234529264825,1
"Gbe1",0.628205128205128,13,0.765534746362977,-1.73046504613012,0.0628349609446696
"Gbf1",0.56832298136646,23,0.197939377611909,0.727950371024754,1
"Gda",0.34671201814059,21,-0.827163403137784,-2.65836868601803,0.0211215225549909
"Gdi2",0.516666666666667,10,2.22044604925031e-16,0.000309966466559786,1
"Gfod1",0.841666666666667,10,2.05062607306997,-3.92855196794338,0.00506214109764998
"Ghr",0.506360954072625,46,0.0666710396452879,-0.0309732739607966,0.803445380005348
"Gigyf2",0.515555555555556,15,0.0458036896131253,0.0134393330663443,1
"Gli3",0.519607843137255,17,-0.0931094043914811,0.154282810166478,1
"Glis3",0.448039215686275,17,-0.39231742277876,-0.362354656924062,0.394603499979126
"Gls",0.574134199134199,22,0.268488835925902,0.0815564313138353,1
"Glul",0.45047619047619,15,-0.0430687218918854,-0.014859993911994,0.863127112652883
"Gm12002",0.575,10,0.234465253637023,0.00199811584400322,1
"Gm13481",1,10,Inf,-39.4864219874144,6.29695806820311e-19
"Gm20619",0.325396825396825,15,-0.736965594166206,-1.67493058481923,0.0672106816578122
"Gm20732",0.499299719887955,17,0.293731203056711,-0.143624281870231,0.59198913437625
"Gm26862",0.311080586080586,14,-0.921997487998726,-1.84891355688931,0.0544833769531102
"Gm35330",0.62737111373475,11,1.30485458152842,-3.13954256292343,0.0122171155718757
"Gm37376",0.496709401709402,30,-0.0790715709911988,-0.0555817298591137,0.73882342165909
"Gm56730",1,29,Inf,-101.140781286173,6.63678322826443e-46
"Gmds",0.618181818181818,22,0.823122237915921,-0.710401971079499,0.233271123472612
"Gnao1",0.8,10,1.53605290024021,-1.38572910451972,0.0959587078950367
"Gnaq",0.489678068844736,36,-0.217591435072627,-0.0895682310231933,0.672116404008802
