"term","estimate","se","z","p","gene"
"sexM",-1.42222637034584,0.700305325715177,-2.03086613527237,0.0509202103036379,"1700025G04Rik"
"sexM",-1.00957866629769,0.647840636894735,-1.55837502126581,0.126830850102823,"2210408F21Rik"
"sexM",-0.652325186036723,1.14975850571202,-0.567358434659069,0.575739831431294,"2610037D02Rik"
"sexM",-1.21005184998284,0.552310011664308,-2.19089247782512,0.0345005438773543,"2610307P16Rik"
"sexM",-0.653926458413772,0.772917148299877,-0.846049877211497,0.404223071402139,"4632427E13Rik"
"sexM",-0.493657820143699,0.948489777532926,-0.520467201478681,0.606435635990986,"4732440D04Rik"
"sexM",-0.0307716586668898,0.69153884938605,-0.0444973679992222,0.964776124323743,"5031425E22Rik"
"sexM",0.0817803275566422,0.396392746182474,0.206311362516699,0.837420324987519,"9530026P05Rik"
"sexM",-0.246860077641147,0.855090137581109,-0.288694801625789,0.774620696866123,"AW554918"
"sexM",0.0666913742657917,0.786145967451021,0.0848333223434703,0.932922437515301,"Aak1"
"sexM",-1.07044140840728,0.812575816847406,-1.31734342348549,0.196282822356263,"Abca1"
"sexM",-1.16141318990714,0.898108225799955,-1.29317732155571,0.205819654002598,"Abca6"
"sexM",-0.415515443961664,0.407058687882891,-1.02077527474664,0.312178837397129,"Abca8a"
"sexM",0.0105821093305389,0.901068495421527,0.0117439566296106,0.99071624180669,"Abca8b"
"sexM",-0.710846757654597,1.41881403622417,-0.501014748589845,0.619497261807555,"Abca9"
"sexM",-1.09861228866514,1.30566188476121,-0.841421735203723,0.405991029745871,"Abcc5"
"sexM",1.24300214823153,0.51789253448841,2.40011598054683,0.0201548056956143,"Abi1"
"sexM",0.369783474527568,0.278367204785562,1.32840172322895,0.188914547670623,"Ablim1"
"sexM",8.93919713923585e-11,0.53329659794296,1.67621491937437e-10,0.999999999867112,"Ablim3"
"sexM",-17.9851343181826,3009.3376557804,-0.00597644278422406,0.995287928242795,"Acadl"
"sexM",-0.955511445027436,0.752118342156055,-1.27042699462471,0.2143878709154,"Acap2"
"sexM",0.553385238184582,1.28973212441474,0.42906990351636,0.67245874716084,"Acer3"
"sexM",0.380772495517738,0.712033405494072,0.534767740642062,0.596752138064123,"Ackr3"
"sexM",-0.468266009347195,0.914753052029393,-0.511904287510536,0.613598321343244,"Aco2"
"sexM",0.28768207245158,1.31262840007344,0.219164900314121,0.828374800823229,"Acox1"
"sexM",-0.300754154015535,1.10231547789225,-0.272838547627589,0.787774598104456,"Actn2"
"sexM",0.0224728562025122,0.697026078562632,0.0322410550963237,0.974526049608414,"Actr2"
"sexM",-0.0953101796694605,0.630001805914242,-0.151285565810639,0.880730671017777,"Actr3"
"sexM",-1.73460104776706,1.00308189457771,-1.72927161495354,0.0947726552803371,"Acvr2a"
"sexM",-0.903739171152514,0.772451407768875,-1.16996248833677,0.248175369430027,"Acyp2"
"sexM",-0.970357953144427,0.808120016174743,-1.20075970613578,0.238657633913425,"Adam10"
"sexM",-9.95353062423227e-16,1.09108945117995,-9.12256150352123e-16,0.999999999999999,"Adam19"
"sexM",-0.610670958772775,0.875698891495219,-0.697352668484117,0.492016942437157,"Adamts12"
"sexM",-2.33075596959482,1.16490373047141,-2.00081423780111,0.0555594492448615,"Adamts5"
"sexM",0.309803989539041,0.476860918385775,0.649673683865226,0.519811182949327,"Adamts9"
"sexM",-1.32788359895483,0.789866284076995,-1.68114986767227,0.100527230634909,"Adamtsl3"
"sexM",-0.0771896386955946,0.490606061936179,-0.157335273011029,0.875884787139586,"Adarb1"
"sexM",-0.427444011748288,0.886247064232106,-0.482307957904097,0.633474290832254,"Adcy9"
"sexM",0.61269320380943,0.470864663329968,1.30120871563486,0.204600446030788,"Adgrd1"
"sexM",-0.879429138569996,0.613960636992643,-1.43238684303556,0.161438359044159,"Adgrf5"
"sexM",-0.342944751126773,0.602949248892971,-0.568778801460369,0.572942779891606,"Adgrl2"
"sexM",-0.00318471606172222,0.462609690761376,-0.00688423983613642,0.994536984430023,"Adgrl4"
"sexM",-0.180784277475068,0.721359221446393,-0.25061615918984,0.80325164976185,"Adk"
"sexM",17.8405053321178,4203.90506479856,0.00424379358171178,0.996678385166089,"Adprhl1"
"sexM",0.693147176589365,1.42596145501525,0.486091103059971,0.632461560911617,"Adra1a"
"sexM",0.559615786901782,1.26558053857431,0.442181093849779,0.662488232765752,"Aebp2"
"sexM",-0.104140259252335,0.444707573890576,-0.234176940908049,0.81598542237287,"Aff1"
"sexM",-0.130770231183528,0.759097012173299,-0.172270775785472,0.864558610828275,"Afg1l"
"sexM",-0.349375640857247,0.690936424568659,-0.505655264991068,0.616459761054206,"Afg2a"
"sexM",0.536801108373408,0.557520166512777,0.96283711445101,0.341140309817839,"Agap1"
"sexM",0.916290730352863,0.941453204417605,0.973272729917247,0.338751463673006,"Agmo"
"sexM",0.231442354129083,0.53868361053661,0.429644321085863,0.67042610171668,"Ago3"
"sexM",-0.277631736257311,0.89376847949814,-0.31063048499227,0.758558144267925,"Agtpbp1"
"sexM",-0.172752105777805,0.499914776938831,-0.345563111447979,0.731576833211532,"Ahnak"
"sexM",-1.47212579489697,0.528074921394683,-2.78772146764512,0.00703764628000015,"Airn"
"sexM",0.165792254839983,0.417151308978554,0.397439133646605,0.692769738995376,"Akap13"
"sexM",-0.18232155679313,1.7360519493463,-0.105020795525031,0.917108033693757,"Akap6"
"sexM",1.01654733561381,0.503041272120957,2.02080304728829,0.0491433019279751,"Akt3"
"sexM",-1.157452787726,1.52331628480625,-0.759824338038388,0.455425376698949,"Aldh1a1"
