gene,chromosome,n_groups,groups
Gm56730,15,16,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Coronary_EC:F1_Aged;Coronary_EC:F1_Young;Endocardial_EC:F1_Aged;Endocardial_EC:F1_Young;Fibroblast:F1_Aged;Fibroblast:F1_Young;Lymphatic_EC:F1_Aged;Lymphatic_EC:F1_Young;Mesothelial:F1_Aged;Mesothelial:F1_Young;Myeloid:F1_Aged;Myeloid:F1_Young;Pericytes:F1_Aged;Pericytes:F1_Young
Or5m3b,2,8,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Endocardial_EC:F1_Aged;Endocardial_EC:F1_Young;Fibroblast:F1_Aged;Fibroblast:F1_Young;Pericytes:F1_Aged;Pericytes:F1_Young
Airn,17,6,Cardiomyocyte:F1_Young;Coronary_EC:F1_Young;Fibroblast:F1_Young;Mesothelial:F1_Young;Pericytes:F1_Aged;Pericytes:F1_Young
Atrx,X,6,Cardiomyocyte:F1_Young;Coronary_EC:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young;Lymphatic_EC:F1_Young;Mesothelial:F1_Young
Grb10,11,6,Cardiomyocyte:F1_Young;Coronary_EC:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young;Mesothelial:F1_Young;Pericytes:F1_Young
Gsdma3,11,6,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged;Fibroblast:F1_Young;Mesothelial:F1_Aged;Mesothelial:F1_Young
Kcnc2,10,6,Coronary_EC:F1_Aged;Coronary_EC:F1_Young;Endocardial_EC:F1_Aged;Endocardial_EC:F1_Young;Fibroblast:F1_Young;Myeloid:F1_Aged
Bend6,1,5,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Young;Myeloid:F1_Aged;Myeloid:F1_Young
Chrna9,5,5,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged;Mesothelial:F1_Aged;Mesothelial:F1_Young
Gm20186,6,5,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged;Mesothelial:F1_Aged;Mesothelial:F1_Young
Kcnq1ot1,7,5,Fibroblast:F1_Young;Lymphatic_EC:F1_Young;Mesothelial:F1_Young;Myeloid:F1_Young;Pericytes:F1_Young
Rusc2,4,5,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged;Fibroblast:F1_Young;Pericytes:F1_Aged
Sgce,6,5,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Aged;Fibroblast:F1_Aged;Fibroblast:F1_Young;Pericytes:F1_Young
Atp11c,X,4,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young;Lymphatic_EC:F1_Young
Cntnap5b,1,4,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged;Fibroblast:F1_Young
Diaph2,X,4,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young;Lymphatic_EC:F1_Young
Fmn1,2,4,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged;Fibroblast:F1_Young
Mecp2,X,4,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young;Mesothelial:F1_Young
Nbr1,11,4,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged;Fibroblast:F1_Young
Rps6ka3,X,4,Cardiomyocyte:F1_Young;Fibroblast:F1_Young;Lymphatic_EC:F1_Young;Mesothelial:F1_Young
Tbl1x,X,4,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young;Mesothelial:F1_Aged
2610035D17Rik,11,3,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Myeloid:F1_Young
Abcb1b,5,3,Mesothelial:F1_Aged;Mesothelial:F1_Young;Myeloid:F1_Aged
Acot9,X,3,Endocardial_EC:F1_Aged;Fibroblast:F1_Aged;Fibroblast:F1_Young
Acsl4,X,3,Cardiomyocyte:F1_Young;Fibroblast:F1_Young;Mesothelial:F1_Young
Atp7a,X,3,Cardiomyocyte:F1_Young;Fibroblast:F1_Young;Myeloid:F1_Young
Ccdc171,4,3,Mesothelial:F1_Aged;Mesothelial:F1_Young;Myeloid:F1_Aged
Cdh19,1,3,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Col4a5,X,3,Cardiomyocyte:F1_Young;Fibroblast:F1_Young;Mesothelial:F1_Aged
Cp,3,3,Endocardial_EC:F1_Aged;Pericytes:F1_Aged;Pericytes:F1_Young
Dmd,X,3,Cardiomyocyte:F1_Young;Fibroblast:F1_Young;Mesothelial:F1_Young
Gm13483,2,3,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged
Gm47200,10,3,Cardiomyocyte:F1_Aged;Mesothelial:F1_Aged;Mesothelial:F1_Young
Grm1,10,3,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged
Huwe1,X,3,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young
Iigp1,18,3,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Coronary_EC:F1_Aged
Lyrm4,13,3,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Aged
Med14,X,3,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young
Mpp7,18,3,Fibroblast:F1_Aged;Myeloid:F1_Aged;Myeloid:F1_Young
Msn,X,3,Cardiomyocyte:F1_Young;Fibroblast:F1_Young;Pericytes:F1_Aged
Nrg4,9,3,Cardiomyocyte:F1_Young;Fibroblast:F1_Aged;Fibroblast:F1_Young
Nrxn1,17,3,Endocardial_EC:F1_Aged;Pericytes:F1_Aged;Pericytes:F1_Young
Ophn1,X,3,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young
Parg,14,3,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Prkg1,19,3,Lymphatic_EC:F1_Aged;Pericytes:F1_Aged;Pericytes:F1_Young
Shroom2,X,3,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young;Mesothelial:F1_Young
Slc8a1,17,3,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young;Smooth_Muscle:F1_Aged
Tcp1,17,3,Cardiomyocyte:F1_Young;Fibroblast:F1_Young;Pericytes:F1_Aged
Xiap,X,3,Cardiomyocyte:F1_Young;Endocardial_EC:F1_Young;Fibroblast:F1_Young
Zswim5,4,3,Mesothelial:F1_Aged;Mesothelial:F1_Young;Pericytes:F1_Young
1110002L01Rik,12,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
1700017G19Rik,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
1700087I21Rik,14,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
1700123O12Rik,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
1810037I17Rik,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
2010001K21Rik,13,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
4833420G17Rik,13,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
4930412C18Rik,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
4930447C04Rik,12,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
4930481A15Rik,19,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
4930522O17Rik,4,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
5830417I10Rik,3,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
9330159M07Rik,9,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
9430037G07Rik,9,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
A730017L22Rik,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
A930002C04Rik,13,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
AI839979,5,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Aaas,15,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Abi1,2,2,Mesothelial:F1_Aged;Mesothelial:F1_Young
Acsm5,7,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Actg1,11,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Aff2,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Ammecr1,X,2,Cardiomyocyte:F1_Young;Fibroblast:F1_Young
Ankrd55,13,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Arhgap6,X,2,Cardiomyocyte:F1_Young;Lymphatic_EC:F1_Young
Asb18,1,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Aspa,11,2,Fibroblast:F1_Aged;Fibroblast:F1_Young
Atp2a2,5,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Avil,10,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
BB218582,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Best3,10,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
Bicd1,6,2,Mesothelial:F1_Aged;Mesothelial:F1_Young
Blcap,2,2,Cardiomyocyte:F1_Aged;Cardiomyocyte:F1_Young
