"","AR","N","log2FC","llr_disp","pval_disp","padj_disp"
"Prpf38b",0.46264367816092,58,-0.31315788525963,4.16542576544805,1,1
"Prpf39",0.426116838487972,97,-0.46948528330122,4.51793263513019,1,1
"Prr14l",0.411016949152542,59,-0.347923303420307,-5.2799826323667,0,0
"Prrc2c",0.49290780141844,94,0.144389909335175,5.67170833362349,1,1
"Psap",0.421348314606742,89,-0.462343214057201,3.65683316769079,1,1
"Psma3",0.417910447761194,67,-0.647698256069118,1.24262646709438,1,1
"Psme4",0.518194444444444,120,0.0885366746016572,10.571735133725,1,1
"Pspc1",0.522522522522523,74,0.295455883526171,2.88247622403267,1,1
"Pstpip2",0.534057971014493,115,0.125530882083859,9.52168156274038,1,1
"Ptbp2",0.530780780780781,111,0.141355849245541,6.79245423292969,1,1
"Ptbp3",0.460806697108067,219,-0.177240384944073,109.579566558033,1,1
"Pten",0.463458110516934,187,-0.154328146391294,60.8477102421938,1,1
"Ptk2b",0.61046511627907,86,0.527931555684777,3.64546952840116,1,1
"Ptp4a2",0.47029702970297,101,-0.144389909335175,3.05196112787564,1,1
"Ptpn12",0.510967741935484,155,0.0362201879127531,38.9404535014571,1,1
"Ptpn9",0.522727272727273,44,0.099535673550915,5.49215897586716,1,1
"Ptpra",0.507075471698113,106,-0.0443941193584534,4.32855448745997,1,1
"Ptprb",0.598263888888889,48,0.668794091524627,-11.4385716157392,0,0
"Ptprc",0.429760208926876,234,-0.387023123109247,-17.357989434378,0,0
"Ptpre",0.468926553672316,59,-0.0801703486839833,3.74719162084529,1,1
"Ptprg",0.459532024992551,76,0.0397461787927567,-23.4473721948109,0,0
"Ptprj",0.563725490196078,68,0.232660756790275,4.7448742807472,1,1
"Ptprk",0.413203463203463,42,-0.283792966000592,-10.7560658367124,0,0
"Ptprm",0.34039109039109,156,-0.520332442118443,-12.6729342655918,0,0
"Ptpro",0.433734939759036,83,-0.459431618637297,2.92531610528492,1,1
"Pum1",0.462301587301587,84,-0.137503523749935,4.0508893398269,1,1
"Pvt1",0.392481203007519,133,-0.494764691749578,30.2334596591062,1,1
"Pxk",0.471830985915493,71,-0.623436648535792,1.27413768317716,1,1
"Pxn",0.373793103448276,145,-0.700439718141092,-12.669944601713,0,0
"Qki",0.441804407713499,242,-0.340587550118963,-6.89556971926316,0,0
"Qrich1",0.455056179775281,89,-0.104969559601542,2.87086128875018,1,1
"R3hcc1l",0.456439393939394,88,-0.206450877467426,1.65100520646057,1,1
"Rab10",0.495283018867925,106,0.0418201756946268,4.76675652654112,1,1
"Rab11a",0.452020202020202,66,-0.249978253008348,2.19351982297772,1,1
"Rab1a",0.578787878787879,110,0.542149417182183,3.25736324233192,1,1
"Rab2a",0.532679738562091,102,0.0888092669578562,3.8443823556094,1,1
"Rab31",0.495986394557823,175,0.112209503586025,-5.1339738606986,0,0
"Rab3gap1",0.30050505050505,66,-1.23132554610646,3.73863036438574,1,1
"Rab7",0.404255319148936,94,-0.385290155884792,1.66048777969307,1,1
"Rab7b",0.482993197278912,49,0,8.78673039839938,1,1
"Rab8b",0.462264150943396,159,-0.230780206829167,22.9536435627446,1,1
"Rabep1",0.454545454545455,110,-0.277533975528909,9.44099202054025,1,1
"Rabgap1",0.536144578313253,83,0.027480736422107,2.83338771571042,1,1
"Rac1",0.526422764227642,82,-0.0285691521967708,2.43858860771537,1,1
"Rad51b",0.748768472906404,29,1.36257007938471,-3.26915944735061,0,0
"Rala",0.524305555555556,72,-0.0317088597273383,2.65488071022472,1,1
"Ralgapa1",0.547798742138365,106,0.293196376344046,-14.5834856626469,0,0
"Ralgapa2",0.45,63,-0.394278939112046,2.74406642390653,1,1
"Ralgapb",0.509803921568627,51,-0.0443941193584534,6.01682931707427,1,1
"Ranbp9",0.556159420289855,92,0.339486466271667,2.47027384247897,1,1
"Rap1a",0.607769423558897,133,0.591719866896465,16.102624627901,1,1
"Rap1gds1",0.547447397563677,215,0.0563074409019542,-13.4954136574986,0,0
"Rapgef1",0.570422535211268,71,0.321928094887363,3.14446389598749,1,1
"Rapgef2",0.517361111111111,144,0.13897641314881,16.2216034951539,1,1
"Rapgef5",0.493573556532842,53,-0.321928094887362,-10.0389543509287,0,0
"Rapgef6",0.489035087719298,76,-0.131244533278252,2.79143754397076,1,1
"Raph1",0.533653846153846,104,0.225881407416328,2.34872405520287,1,1
"Rasa1",0.431372549019608,153,-0.337695410745679,32.2840382648484,1,1
"Rasa3",0.44,75,-0.217591435072627,3.44745927419589,1,1
"Rasal2",0.40051948051948,165,-0.323741665259293,-17.6515958891277,0,0
"Rasgrp4",0.677927927927928,74,1.05062607306997,0.96636769169892,1,1
"Rassf1",0.493670886075949,79,-0.0310268956206246,0.858771221522233,1,1
"Rassf2",0.586345381526104,166,0.443606651475615,47.7816003021295,1,1
"Rassf3",0.56025641025641,65,0.144389909335175,2.25945345010898,1,1
"Rassf4",0.518518518518518,81,0.0588936890535687,1.64605547739372,1,1
"Rb1",0.469296933433059,191,-0.120294233717712,25.7490768934203,1,1
"Rb1cc1",0.314465408805031,53,-1.09515723304034,-5.29967806610641,0,0
"Rbbp6",0.449275362318841,69,-0.0995356735509141,2.84472086239278,1,1
"Rbbp8",0.685897435897436,52,1.06413033741972,2.63836015226397,1,1
"Rbm25",0.476418439716312,188,-0.161062432732516,-13.2711562768089,0,0
"Rbm26",0.430817610062893,106,-0.255257055242075,6.19728497648717,1,1
"Rbm39",0.507374631268437,226,0.0766212816029126,-19.7764540838921,0,0
"Rbm47",0.415819047619048,250,-0.443188539592993,-13.4230290613588,0,0
"Rbm5",0.511111111111111,90,0.185555653156076,3.26894635218588,1,1
"Rbm6",0.525925925925926,144,0.206450877467426,22.0995390127986,1,1
"Rbms1",0.542692246681608,282,0.230297619421794,-1.16232453678379,0,0
"Rbms3",0.447420634920635,30,-0.547487795302493,-6.00532326747121,0,0
"Rbpj",0.533601050490363,393,0.143135391829265,-0.633870658386172,0,0
"Rbpms",0.4625,72,-0.0766212816029124,-10.0026031683996,0,0
"Rcor1",0.509389671361502,71,-0.0671141958585371,0.964481111069574,1,1
"Rcsd1",0.512358276643991,147,-0.0395283641866371,-6.31210193498939,0,0
"Rdx",0.452380952380952,49,-0.23703919730085,2.38371491599728,1,1
"Reep3",0.551282051282051,65,0.495957494662411,-7.00296365673532,0,0
"Relch",0.444020356234097,131,-0.273018494406416,8.537673568413,1,1
"Rell1",0.59349593495935,82,0.321928094887362,2.4586348772774,1,1
"Rere",0.472820512820513,130,-0.192645077942396,-13.0047502302204,0,0
"Rffl",0.530120481927711,83,0.079434467494405,-0.00725123677402451,0.33,1
"Rftn1",0.643243243243243,74,0.893084796083488,-7.24122924265015,0,0
"Rfx3",0.425897435897436,65,-0.415037499278844,2.21005122697491,1,1
"Rgl1",0.492690058479532,114,0.222392421336448,15.0624568557281,1,1
"Rhoa",0.49504132231405,121,-0.069540933253077,-15.3289330677325,0,0
"Rhoj",0.509146341463415,82,0,-11.2714325222203,0,0
"Rhoq",0.643817204301075,62,0.777607578663552,2.57840026858831,1,1
"Rin2",0.530442176870748,98,0.39231742277876,9.0990676039554,1,1
"Riok3",0.448581560283688,94,-0.238786859587116,2.45173379606062,1,1
"Rlf",0.535714285714286,70,0.394278939112046,1.64510706070385,1,1
"Rnf111",0.419902912621359,103,-0.447458976971221,5.77282043859213,1,1
"Rnf13",0.494897959183673,98,0.29176612437711,3.32590443096419,1,1
"Rnf130",0.5725,100,0.342392197447078,4.18921387702004,1,1
"Rnf150",0.624826513519981,199,0.579293750634464,-15.5976838854226,0,0
"Rnf169",0.460760667903525,280,-0.347504341593378,0.0230302075930808,1,1
"Rnf180",0.782051282051282,65,1.81942775435818,-2.00003315465248,0,0
"Rnf213",0.401333333333333,50,-0.415037499278843,4.87198273166094,1,1
"Rnf216",0.505555555555556,120,0.0389941316158637,4.24163024982064,1,1
"Rngtt",0.522549019607843,85,-0.0264722113611908,3.26786882674774,1,1
"Rnls",0.235294117647059,34,-1.9668331360648,-0.0352627883113854,0.61,1
"Rnpep",0.419956140350877,76,-0.597901556428655,1.72204392808757,1,1
"Rock1",0.496296296296296,171,0.0579473492092797,-8.92722974954316,0,0
"Rock2",0.477104810996564,194,-0.154885601978171,-17.7952662621974,0,0
"Rora",0.485010822510823,72,0.19426882042206,-12.8606414911764,0,0
"Rprd2",0.590395480225989,59,0.241008099503795,2.99562637432027,1,1
"Rps6kb1",0.435897435897436,78,-0.462971976342546,1.86015922019844,1,1
"Rptor",0.50625,80,-0.0614005446641435,1.27668076182968,1,1
"Rrbp1",0.450854700854701,117,-0.349584437790228,5.51123172150244,1,1
"Rreb1",0.602996254681648,89,0.594743521513742,5.37181018751232,1,1
"Rsbn1l",0.505698005698006,117,0.0418201756946268,5.29777711034012,1,1
"Rsrc1",0.535763888888889,96,0.344648171387446,5.08480938012232,1,1
"Rsrc2",0.606944444444444,60,0.68965987938785,-8.0418574107763,0,0
"Rtn3",0.577217125382263,109,0.393342428179525,-8.63289038420132,0,0
"Rtn4",0.522156084656085,180,-0.0268000593437152,-14.3968039879945,0,0
"Rufy1",0.375,44,-0.736965594166207,4.52127985164637,1,1
"Rufy3",0.55719298245614,95,0.443606651475615,3.86671579539531,1,1
"Runx1",0.584212036034953,288,0.519374159093579,-0.13264297192103,0,0
"Ryr2",0.619409282700422,79,0.561878887608115,2.42836007662353,1,1
"Sacm1l",0.483606557377049,61,-0.0406419844973458,2.33630069082069,1,1
"Samd12",0.441428571428571,35,-0.568283759574526,-2.87741014873749,0,0
"Samd4",0.638095238095238,63,0.634715535918256,2.90166133702088,1,1
"Samhd1",0.594276094276094,99,0.594007640324163,-8.40663699033945,0,0
"Sash1",0.372389894925106,213,-0.728516404330388,-0.353135660165179,0,0
"Sbf2",0.556992337164751,174,0.311201688294304,-13.3754259755445,0,0
"Scaf4",0.488562091503268,102,-0.192645077942396,3.48987140824995,1,1
"Scaf8",0.480701754385965,95,-0.0901978089715785,4.70294839947971,1,1
"Scamp1",0.375251509054326,71,-0.673189683732891,2.08827585837692,1,1
"Scaper",0.506111111111111,60,-0.104336659814736,3.63825908025021,1,1
"Scarb2",0.57843137254902,51,0.454565863465481,1.03566718159823,1,1
"Scfd1",0.573529411764706,68,0.371968777386958,3.61388551093354,1,1
"Scfd2",0.462365591397849,62,-0.584962500721156,1.69263937455958,1,1
"Schip1",0.716049382716049,27,1.46948528330122,-1.55069526029667,0,0
"Sdccag8",0.440625,80,-0.397335497545385,2.10799480516864,1,1
"Sdk1",0.596474358974359,30,0.434402824145775,-6.03224475308984,0,0
"Sec14l1",0.630471380471381,99,0.558490289359965,6.19712011290841,1,1
"Sec24a",0.51953125,64,0.187627003175771,2.48903439664033,1,1
"Sec24b",0.53926282051282,104,0.376563351464208,3.40213400480366,1,1
"Sec63",0.467843137254902,85,-0.134929580086109,2.843486110545,1,1
"Sel1l",0.518640350877193,76,0.204358498506187,-7.78787185987584,0,0
"Selenop",0.40503300330033,101,-0.869939459435627,-11.2193424064374,0,0
"Sema6a",0.630434782608696,23,0.777607578663552,10.7479206425245,1,1
"Sema6d",0.31359649122807,76,-1.17508670655809,1.62345428718331,1,1
"Senp2",0.650966183574879,69,0.746243407754217,1.5573470615783,1,1
"Senp6",0.459821428571429,112,-0.33441903907056,4.75004166446723,1,1
"Senp7",0.455357142857143,56,-0.255257055242075,2.63976353755447,1,1
"Septin11",0.442789757412399,106,-0.508464363247112,11.2384646896141,1,1
"Septin7",0.447033898305085,118,-0.273018494406416,9.95859893618422,1,1
"Serinc3",0.599106127092475,293,0.422691071822279,6.26984849384644,1,1
"Serpinb6a",0.418840579710145,69,-0.64045761331286,2.84559605395687,1,1
"Serpinb8",0.388095238095238,84,-0.668794091524627,2.03274842828033,1,1
"Sesn1",0.578828828828829,74,0.46948528330122,-6.56879068366212,0,0
"Sestd1",0.550724637681159,69,0.144389909335175,2.2600388793048,1,1
"Setbp1",0.449353741496599,35,-0.347923303420307,-6.70831955964269,0,0
"Setd2",0.436893203883495,103,-0.139724763666613,1.80404750699006,1,1
"Setd5",0.470967741935484,155,-0.153474480661719,29.8618513601484,1,1
"Sf3b1",0.43360433604336,123,-0.367208974188229,9.11430781553523,1,1
"Sfmbt1",0.42838246409675,126,-0.310929095938105,14.924375245836,1,1
"Sgk3",0.532273603082852,173,0.362570079384708,49.8373732691458,1,1
"Sgms1",0.471354166666667,64,-0.263034405833794,4.3612195869473,1,1
"Sgpl1",0.5,62,-0.222392421336448,2.40593674995891,1,1
"Sh3d19",0.539316239316239,39,-0.129283016944966,-5.97411226753275,0,0
"Sh3gl1",0.412280701754386,57,-0.499571009490511,4.0593938477501,1,1
"Sh3glb1",0.551587301587302,84,0.166649869409452,2.42780866628482,1,1
"Sh3pxd2a",0.71974358974359,130,1.29639300278022,-13.9337303013623,0,0
"Sh3pxd2b",0.384333333333333,150,-0.64732838168153,-14.5748116674079,0,0
"Sh3rf1",0.58125,48,0.519374159093579,2.87821607541425,1,1
"Shoc2",0.530898876404494,89,0.0727563424353144,3.02570118498564,1,1
"Sik2",0.484984984984985,111,-0.0861566437497143,3.01975856061874,1,1
"Sik3",0.436182450508293,178,-0.293445718729888,-5.19229734701531,0,0
"Sipa1l1",0.570948509485095,205,0.337869638756384,-6.93731875172236,0,0
"Sipa1l2",0.620772946859903,69,0.628031222613042,1.01016791712464,1,1
"Skap2",0.558498349834983,202,0.426264754702098,-13.9481160025413,0,0
"Slc10a7",0.530701754385965,76,0.0588936890535687,2.88381655201258,1,1
"Slc12a6",0.492337164750958,87,0.0264722113611908,4.08669501213723,1,1
"Slc16a10",0.455645161290323,62,-0.234465253637023,1.38402725281644,1,1
"Slc16a7",0.490819209039548,118,-0.0365258760251139,4.89635254155066,1,1
"Slc23a2",0.505144032921811,81,0.0269670476002695,4.06296518998431,1,1
"Slc25a3",0.593434343434343,66,0.384663850235325,2.07713380086169,1,1
"Slc28a2",0.424418604651163,43,-0.710493382805015,4.11827977707114,1,1
"Slc30a9",0.401785714285714,56,-0.725825036561006,4.22788429639188,1,1
"Slc38a6",0.507575757575758,99,0,6.04508759254014,1,1
"Slc38a9",0.745901639344262,61,1.7454271729144,0.69054450233773,1,1
"Slc39a12",0.436021505376344,62,-0.359081093304829,3.23543444274478,1,1
"Slc41a2",0.580882352941177,68,0.405256478486258,3.38902796006165,1,1
"Slc43a2",0.589460784313726,136,0.657607802552922,10.1822844456658,1,1
"Slc4a7",0.424882629107981,71,-0.3536369546147,2.13439209191606,1,1
"Slc6a6",0.514084507042254,71,0.131244533278252,3.2560253011962,1,1
"Slc7a7",0.543589743589744,65,0.497499659470817,1.59903695358872,1,1
"Slc7a8",0.34453781512605,119,-0.625151590836855,7.48604217430227,1,1
"Slc8a1",0.548889082222416,333,0.050314464650695,7.99859078143044,0.82,1
"Slco2b1",0.592592592592593,99,0.584962500721156,2.10359630371836,1,1
"Slco3a1",0.368137254901961,34,-0.604071323668861,-4.65453739030183,0,0
"Slf2",0.567567567567568,74,0.37851162325373,2.61722431306812,1,1
"Slk",0.55,98,0.222392421336448,4.80761391081944,1,1
"Slmap",0.567340067340067,99,0.302562770020431,7.05319918430706,1,1
"Sltm",0.552631578947368,76,0.241008099503795,5.01914711145727,1,1
"Slx4ip",0.564102564102564,39,0.295455883526171,-0.0662305857963865,0.24,0.897391304347826
"Smad1",0.515536723163842,59,0.0356239097307212,2.74180655613974,1,1
"Smad2",0.462121212121212,66,-0.3536369546147,3.73675794606643,1,1
"Smad3",0.439846743295019,87,-0.199308808223406,3.38584144913008,1,1
"Smad4",0.514035087719298,76,0.15200309344505,4.21975798018448,1,1
"Smap2",0.5,77,-0.032421477692377,1.36912439384763,1,1
"Smarcad1",0.422480620155039,43,-0.369233809665719,6.33497195581113,1,1
"Smc6",0.35,50,-0.788495894806288,3.75464558998113,1,1
"Smchd1",0.488888888888889,105,0,3.36414481807945,1,1
"Smg1",0.502705627705628,154,0.0515303006400818,-18.3635385912652,0,0
"Smg6",0.384297520661157,121,-0.861293729168408,6.60368131301425,1,1
"Smurf1",0.516431924882629,71,0.101879614019214,1.48291706299091,1,1
"Smurf2",0.507746478873239,142,0.112110366321537,30.8710467006797,1,1
"Smyd3",0.389244663382594,174,-0.473454185504166,63.8513581840467,1,1
"Snd1",0.513955823293173,166,0,-21.3178469359702,0,0
"Snrk",0.35,50,-0.807354922057604,-5.9790244810294,0,0
"Sntb2",0.447530864197531,54,-0.156119201917282,2.76961317739153,1,1
"Snx10",0.48019801980198,101,-0.0443941193584534,3.84443697375058,1,1
"Snx13",0.439009661835749,138,-0.439699553513113,26.3024983647437,1,1
"Snx18",0.57051282051282,52,0.180572245641821,4.18523148989214,1,1
"Snx2",0.636445827775308,173,0.667923949736555,-16.3023174954035,0,0
"Snx24",0.463280766852195,217,-0.27670934273087,1.49649001452769,1,1
"Snx27",0.55,60,0.31315788525963,3.47076987779205,1,1
"Snx29",0.583664459161148,151,0.590744853315162,-2.48401782205056,0,0
"Snx3",0.5,77,0,1.30624474634439,1,1
"Snx30",0.502283105022831,73,-0.131244533278252,2.79145352032182,1,1
"Snx6",0.544971264367816,116,0.346450414021431,12.0965867519976,1,1
"Snx8",0.462716049382716,135,-0.0313641709093351,15.5238419645049,1,1
"Snx9",0.519607843137255,119,0.185214872466907,8.1667293666853,1,1
"Son",0.461271676300578,173,-0.135159583281636,49.3245761445667,1,1
"Sorbs1",0.415591397849462,62,-0.263034405833794,3.11326913978399,1,1
"Sos2",0.639917695473251,81,0.955605880641547,1.24294955702611,1,1
