gene,condition
Abhd17b,F1_Aged
Acer2,F1_Aged
Adam10,F1_Aged
Apbb2,F1_Aged
Arnt,F1_Aged
Atp8a1,F1_Aged
Cald1,F1_Aged
Cd93,F1_Aged
Cdh11,F1_Aged
Cmss1,F1_Aged
Corin,F1_Aged
Cpe,F1_Aged
Cspp1,F1_Aged
Fmnl2,F1_Aged
Fmo1,F1_Aged
Galnt18,F1_Aged
Hmcn1,F1_Aged
Hnrnph1,F1_Aged
Igfbp6,F1_Aged
Itga9,F1_Aged
Itpr1,F1_Aged
Ldb2,F1_Aged
Lifr,F1_Aged
Lrch1,F1_Aged
Ltbp1,F1_Aged
Malat1,F1_Aged
Mfsd6,F1_Aged
Mier1,F1_Aged
Nrdc,F1_Aged
Nt5dc1,F1_Aged
Ntn1,F1_Aged
Nufip2,F1_Aged
P3h2,F1_Aged
P4ha1,F1_Aged
Pcdh7,F1_Aged
Pde10a,F1_Aged
Phactr2,F1_Aged
Ppp1r13b,F1_Aged
Prex2,F1_Aged
Rai14,F1_Aged
Ralgapa2,F1_Aged
Rufy3,F1_Aged
Serinc3,F1_Aged
Sorbs3,F1_Aged
Sptan1,F1_Aged
Srgap2,F1_Aged
Stox2,F1_Aged
Sulf1,F1_Aged
Susd6,F1_Aged
Tek,F1_Aged
Tlr4,F1_Aged
Tm4sf1,F1_Aged
Utrn,F1_Aged
Wdfy2,F1_Aged
Ablim1,F1_Young
Actn1,F1_Young
Adgrg6,F1_Young
Ahsg,F1_Young
Ankrd33b,F1_Young
Crim1,F1_Young
Dock9,F1_Young
Fabp4,F1_Young
Hdac9,F1_Young
Insr,F1_Young
Itga6,F1_Young
Jmjd1c,F1_Young
Kcnt2,F1_Young
Klf7,F1_Young
Lrrk1,F1_Young
Mast2,F1_Young
Mctp1,F1_Young
Nedd9,F1_Young
Nf1,F1_Young
Pbx1,F1_Young
Pde7b,F1_Young
Pik3c2a,F1_Young
Pkd2,F1_Young
Pla2g4a,F1_Young
Plod2,F1_Young
Rasgef1b,F1_Young
Rbms1,F1_Young
Rdx,F1_Young
Slc23a2,F1_Young
Slit2,F1_Young
Smad6,F1_Young
Smg6,F1_Young
St6gal1,F1_Young
Tcim,F1_Young
Tmem108,F1_Young
Tmtc1,F1_Young
Tnrc6c,F1_Young
Unc13b,F1_Young
Zfpm2,F1_Young
