gene,condition
Abca1,F1_Aged
Abhd17b,F1_Aged
Ablim3,F1_Aged
Abtb2,F1_Aged
Acer3,F1_Aged
Actr2,F1_Aged
Adarb1,F1_Aged
Adss2,F1_Aged
Ankrd33b,F1_Aged
Ankrd44,F1_Aged
Anks1,F1_Aged
Ap3b1,F1_Aged
Aplp2,F1_Aged
Arhgap10,F1_Aged
Arhgap18,F1_Aged
Arhgap42,F1_Aged
Arid4b,F1_Aged
Atp2a2,F1_Aged
B3galt1,F1_Aged
Babam2,F1_Aged
Bach2,F1_Aged
Baz2b,F1_Aged
Bltp3b,F1_Aged
Bnc2,F1_Aged
Btbd7,F1_Aged
Cachd1,F1_Aged
Cacnb2,F1_Aged
Camkmt,F1_Aged
Casp12,F1_Aged
Cav1,F1_Aged
Cavin2,F1_Aged
Cbfa2t3,F1_Aged
Cbfb,F1_Aged
Ccar1,F1_Aged
Ccdc50,F1_Aged
Cd2ap,F1_Aged
Cdh5,F1_Aged
Cdk8,F1_Aged
Cebpd,F1_Aged
Celf1,F1_Aged
Cert1,F1_Aged
Chd1,F1_Aged
Chd2,F1_Aged
Chst11,F1_Aged
Clec2d,F1_Aged
Clic5,F1_Aged
Cnot1,F1_Aged
Cnot2,F1_Aged
Cog5,F1_Aged
Cp,F1_Aged
Creb1,F1_Aged
Creb5,F1_Aged
Cspp1,F1_Aged
Ctla2a,F1_Aged
Cwc27,F1_Aged
Ddx17,F1_Aged
Dennd1b,F1_Aged
Dennd2b,F1_Aged
Dennd4c,F1_Aged
Dgkh,F1_Aged
Dlg1,F1_Aged
Dnm2,F1_Aged
Dpysl2,F1_Aged
Dyrk1a,F1_Aged
Ehd4,F1_Aged
Eng,F1_Aged
Epb41l4a,F1_Aged
Erbin,F1_Aged
Faf1,F1_Aged
Fam168a,F1_Aged
Fam20a,F1_Aged
Fbxw11,F1_Aged
Fn1,F1_Aged
Fndc3a,F1_Aged
Fryl,F1_Aged
Fstl1,F1_Aged
Gask1b,F1_Aged
Gcnt2,F1_Aged
Gli3,F1_Aged
Glud1,F1_Aged
Golim4,F1_Aged
Gpm6a,F1_Aged
Greb1l,F1_Aged
Gucy1a1,F1_Aged
Herc2,F1_Aged
Hnrnpc,F1_Aged
Hspa12b,F1_Aged
Ica1,F1_Aged
Igf2r,F1_Aged
Ipo11,F1_Aged
Itga6,F1_Aged
Jam2,F1_Aged
Kalrn,F1_Aged
Khdc4,F1_Aged
Kif13b,F1_Aged
Klhl5,F1_Aged
Kmt2c,F1_Aged
Lifr,F1_Aged
Lmcd1,F1_Aged
Lnx1,F1_Aged
Ltbp4,F1_Aged
Map4,F1_Aged
Mark3,F1_Aged
Mbnl1,F1_Aged
Megf9,F1_Aged
Mmrn2,F1_Aged
Mpdz,F1_Aged
Mrps28,F1_Aged
Mtdh,F1_Aged
Myof,F1_Aged
Nck1,F1_Aged
Ncoa3,F1_Aged
Ndfip1,F1_Aged
Nfkbiz,F1_Aged
Nostrin,F1_Aged
Nrdc,F1_Aged
Nrip1,F1_Aged
Nsd3,F1_Aged
Nt5e,F1_Aged
Oxr1,F1_Aged
P3h2,F1_Aged
Palld,F1_Aged
Pbrm1,F1_Aged
Pbx3,F1_Aged
Pcbp2,F1_Aged
Pcsk5,F1_Aged
Pdcd6ip,F1_Aged
Pde8a,F1_Aged
Pdss2,F1_Aged
Peli2,F1_Aged
Pfkfb3,F1_Aged
Phf20l1,F1_Aged
Phf21a,F1_Aged
Phlpp1,F1_Aged
Pitpna,F1_Aged
Pla2g4a,F1_Aged
Plce1,F1_Aged
Plod2,F1_Aged
Plpp3,F1_Aged
Plscr4,F1_Aged
Plxna2,F1_Aged
Prkag2,F1_Aged
Prpf39,F1_Aged
Pspc1,F1_Aged
Pten,F1_Aged
Pum1,F1_Aged
Pxn,F1_Aged
Qrich1,F1_Aged
Rabep1,F1_Aged
Ramp2,F1_Aged
Rap1gds1,F1_Aged
Rapgef2,F1_Aged
Rasgrf2,F1_Aged
Rb1,F1_Aged
Rbfox2,F1_Aged
Rbms2,F1_Aged
Rc3h2,F1_Aged
Rcsd1,F1_Aged
Rdx,F1_Aged
Rev3l,F1_Aged
Rfx3,F1_Aged
Rgl1,F1_Aged
Rin3,F1_Aged
Rnf19a,F1_Aged
Ror1,F1_Aged
Rph3al,F1_Aged
Rps2,F1_Aged
Rsbn1l,F1_Aged
Rsrc1,F1_Aged
Rsrc2,F1_Aged
Runx1t1,F1_Aged
Sclt1,F1_Aged
Sdc2,F1_Aged
Sec14l1,F1_Aged
Selenop,F1_Aged
Sema6d,F1_Aged
Septin11,F1_Aged
Septin7,F1_Aged
Serpinb6a,F1_Aged
Sfpq,F1_Aged
Sgk3,F1_Aged
Sh3d19,F1_Aged
Shprh,F1_Aged
Slc10a7,F1_Aged
Slit3,F1_Aged
Sltm,F1_Aged
Smad1,F1_Aged
Smad3,F1_Aged
Smc4,F1_Aged
Snrk,F1_Aged
Snx24,F1_Aged
Snx3,F1_Aged
Socs5,F1_Aged
Sorbs3,F1_Aged
Sos1,F1_Aged
Sos2,F1_Aged
Sox5,F1_Aged
Specc1l,F1_Aged
Spred1,F1_Aged
Srsf2,F1_Aged
St6gal1,F1_Aged
Stk39,F1_Aged
Taok1,F1_Aged
Tbc1d4,F1_Aged
Tbx20,F1_Aged
Tcf25,F1_Aged
Tead1,F1_Aged
Tgfb1,F1_Aged
Tgfbr3,F1_Aged
Tgm2,F1_Aged
Tinagl1,F1_Aged
Tjp1,F1_Aged
Tnfaip8,F1_Aged
Tnrc6c,F1_Aged
Tpm3,F1_Aged
Tpr,F1_Aged
Ttc3,F1_Aged
Tuft1,F1_Aged
Ube3a,F1_Aged
Ubr1,F1_Aged
Umad1,F1_Aged
Usp15,F1_Aged
Vps13a,F1_Aged
Vwf,F1_Aged
Wapl,F1_Aged
Wdfy3,F1_Aged
Wipf1,F1_Aged
Wwp1,F1_Aged
Xdh,F1_Aged
Ybx1,F1_Aged
Ywhaq,F1_Aged
Zc2hc1a,F1_Aged
Zfp608,F1_Aged
Zfp644,F1_Aged
Zfyve9,F1_Aged
Zmym2,F1_Aged
Znrf1,F1_Aged
5031425E22Rik,F1_Young
Acvr1,F1_Young
Adam10,F1_Young
Adamtsl3,F1_Young
Adgrl4,F1_Young
Adh6b,F1_Young
Ago3,F1_Young
Akap10,F1_Young
Anapc1,F1_Young
Anxa2,F1_Young
Apc,F1_Young
Arf4,F1_Young
Arhgap21,F1_Young
Arpc2,F1_Young
Ascc3,F1_Young
Atad2,F1_Young
Atf2,F1_Young
Atf3,F1_Young
Atf6,F1_Young
Atp10d,F1_Young
Atp6v0b,F1_Young
Atp6v1h,F1_Young
B4galt1,F1_Young
Bbs9,F1_Young
Bcas3,F1_Young
Brd10,F1_Young
Brwd1,F1_Young
Cast,F1_Young
Ccdc88a,F1_Young
Ccnt2,F1_Young
Cd9,F1_Young
Cd93,F1_Young
Cdc42bpa,F1_Young
Cdh4,F1_Young
Celf2,F1_Young
Chd9,F1_Young
Chn1,F1_Young
Cnn3,F1_Young
Crybg3,F1_Young
Cstf3,F1_Young
Ctnnd1,F1_Young
Cttnbp2nl,F1_Young
Cux1,F1_Young
Daam1,F1_Young
Dennd2a,F1_Young
Dennd4a,F1_Young
Dhx15,F1_Young
Dlc1,F1_Young
Dleu2,F1_Young
Dock6,F1_Young
Dock7,F1_Young
Elf1,F1_Young
Elf2,F1_Young
Elk3,F1_Young
Eml4,F1_Young
Emp1,F1_Young
Epb41,F1_Young
Eps15,F1_Young
Erc1,F1_Young
Fam135a,F1_Young
Fam193a,F1_Young
Fam222b,F1_Young
Far1,F1_Young
Fchsd2,F1_Young
Fer,F1_Young
Fgd5,F1_Young
Fgfr1op2,F1_Young
Fli1,F1_Young
Fnbp1,F1_Young
Fnip1,F1_Young
Foxn3,F1_Young
Gatad2b,F1_Young
Gbf1,F1_Young
Gda,F1_Young
Gdi2,F1_Young
Gigyf2,F1_Young
Gm12940,F1_Young
Gm37376,F1_Young
