ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0043269,regulation of monoatomic ion transport,97/2190,187/6105,0.5187165775401069,1.4460112812248185,4.632789880293337,4.042242173741474e-6,0.012629273372737367,0.011972603343052748,Abcc8/Abcc9/Actn2/Afg3l2/Agtr1a/Akap6/Akap7/Akt2/Akt3/Ank3/Asph/Atp1a1/Atp1b1/Atp2b2/Atpsckmt/Bcl2/Best3/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2a/Camk2d/Casq2/Cav1/Cav3/Chd7/Chp1/Commd1/Dmpk/Dysf/Egf/Epb41/Fxyd1/Fyn/Gck/Gja1/Gnao1/Gnaq/Gpd1l/Gsto1/Hfe/Homer1/Ikbkb/Jph2/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Kif5b/Mllt6/Mtor/Myo5a/Nipsnap2/Nr3c2/Oxsr1/P2rx4/P2rx5/Phb2/Pirt/Pkd2/Plcb1/Plcb4/Plcg2/Pln/Ppp3cb/Prkce/Prkd1/Prnp/Ptpn3/Pxk/Rgs7/Rnf207/Ryr2/Saraf/Serpine1/Sestd1/Slc30a6/Slc36a2/Slc8a1/Snta1/Sri/Stc2/Stk39/Strit1/Tesc/Tgfb2/Tmem168/Tmem38b/Tmx1/Trpc1/Trpc3/Wnk1/Wnk2/Ywhaq/Zfas1,97
GO:0030001,metal ion transport,142/2190,295/6105,0.48135593220338985,1.3418620849779428,4.501293335505524,6.355950363732948e-6,0.012629273372737367,0.011972603343052748,Abcb8/Abcc5/Abcc8/Abcc9/Actn2/Adra1a/Afg3l2/Agtr1a/Akap6/Akap7/Akt2/Akt3/Ank3/Arhgap1/Asph/Atp1a1/Atp1b1/Atp2a2/Atp2b2/Atp2c1/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2a/Camk2d/Casq2/Cav1/Cav3/Ccn2/Chd7/Chp1/Cltc/Commd1/Cp/Dmpk/Dnm1l/Dnm2/Dysf/Egf/Epb41/Epm2a/Ero1a/Flvcr1/Fxyd1/Fyn/Gas6/Gck/Ghitm/Gja1/Gnao1/Gnaq/Gpd1l/Gsto1/Hfe/Homer1/Hspa9/Ibtk/Ikbkb/Inhca/Itpr2/Jph2/Kcnd2/Kcnd3/Kcng2/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Kcnq5/Kcnv2/Kif5b/Mcur1/Mfsd4b1/Mllt6/Myo5a/Ndfip1/Nipal3/Nipsnap2/Nr3c2/Nsf/Opa1/Oxsr1/P2rx4/P2rx5/Pkd2/Plcb1/Plcb4/Plce1/Plcg2/Pln/Ppp3cb/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Ryr2/Saraf/Serpine1/Sestd1/Slc10a6/Slc11a2/Slc20a2/Slc22a5/Slc24a2/Slc25a23/Slc30a5/Slc30a6/Slc38a2/Slc38a3/Slc38a4/Slc41a3/Slc4a4/Slc4a7/Slc8a1/Snta1/Snx3/Sri/Srl/Stc2/Stk39/Strit1/Tcn2/Tesc/Tfrc/Tgfb2/Tmco3/Tmem165/Tmem168/Tmem38b/Tmx1/Trpc1/Trpc3/Tusc3/Wnk1/Wnk2/Zdhhc13/Zfas1,142
GO:0010959,regulation of metal ion transport,88/2190,170/6105,0.5176470588235295,1.4430298146655924,4.381375644677803,1.2557678945426287e-5,0.01663473870970802,0.01576980103357217,Abcc8/Abcc9/Actn2/Afg3l2/Agtr1a/Akap6/Akap7/Akt2/Akt3/Ank3/Asph/Atp1a1/Atp1b1/Atp2b2/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2a/Camk2d/Casq2/Cav1/Cav3/Chd7/Chp1/Commd1/Dmpk/Dysf/Egf/Epb41/Fxyd1/Fyn/Gck/Gja1/Gnao1/Gnaq/Gpd1l/Gsto1/Hfe/Homer1/Ikbkb/Jph2/Kcnip2/Kcnip4/Kcnn2/Kcnq1/Kif5b/Mllt6/Myo5a/Nipsnap2/Nr3c2/Oxsr1/P2rx4/P2rx5/Pkd2/Plcb1/Plcb4/Plcg2/Pln/Ppp3cb/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Ryr2/Saraf/Serpine1/Sestd1/Slc30a6/Slc8a1/Snta1/Sri/Stc2/Stk39/Strit1/Tesc/Tgfb2/Tmem168/Tmem38b/Tmx1/Trpc1/Trpc3/Wnk1/Wnk2/Zfas1,88
GO:0006811,monoatomic ion transport,177/2190,387/6105,0.4573643410852713,1.2749814165870232,4.180230105158971,2.366622696208924e-5,0.02351239648683566,0.022289849025609838,Abcb8/Abcc5/Abcc8/Abcc9/Actn2/Adra1a/Afg3l2/Agtr1a/Akap6/Akap7/Akt2/Akt3/Ank3/Ano4/Ano5/Arhgap1/Asph/Atp10d/Atp13a3/Atp1a1/Atp1b1/Atp2a2/Atp2b2/Atp2c1/Atp5mc1/Atp6v0b/Atp6v1g1/Atpsckmt/Bcl2/Best3/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2a/Camk2d/Casq2/Cav1/Cav3/Ccn2/Chd7/Chp1/Clcn3/Clcn7/Clic4/Clns1a/Cltc/Commd1/Cp/Dmpk/Dnm1l/Dnm2/Dysf/Egf/Epb41/Epm2a/Ero1a/Flvcr1/Fxyd1/Fyn/Gas6/Gck/Ghitm/Gja1/Gjc1/Gnao1/Gnaq/Gpd1l/Gsto1/Hfe/Homer1/Hspa9/Ibtk/Ikbkb/Inhca/Itpr2/Jph2/Kcnd2/Kcnd3/Kcng2/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Kcnq5/Kcnv2/Kif5b/Mcur1/Mfsd4b1/Mllt6/Mtor/Myo5a/Ndfip1/Ndufs4/Ndufv2/Nipal3/Nipsnap2/Nnt/Nr3c2/Nsf/Opa1/Oxsr1/P2rx4/P2rx5/Phb2/Pirt/Pkd2/Pkd2l2/Plcb1/Plcb4/Plce1/Plcg2/Pln/Ppp3cb/Prkce/Prkd1/Prnp/Ptpn3/Pxk/Rgs7/Rnf207/Ryr2/Saraf/Serpine1/Sestd1/Slc10a6/Slc11a2/Slc16a1/Slc20a2/Slc22a5/Slc24a2/Slc25a12/Slc25a13/Slc25a23/Slc25a4/Slc26a4/Slc26a7/Slc30a5/Slc30a6/Slc36a2/Slc38a2/Slc38a3/Slc38a4/Slc41a3/Slc47a1/Slc4a3/Slc4a4/Slc4a7/Slc8a1/Snta1/Snx3/Sri/Srl/Stc2/Stk39/Strit1/Tcn2/Tesc/Tfrc/Tgfb2/Tmco3/Tmem165/Tmem168/Tmem38b/Tmx1/Tomm40/Trpc1/Trpc3/Tusc3/Ucp3/Vdac2/Wnk1/Wnk2/Ywhaq/Zdhhc13/Zfas1,177
GO:0006812,monoatomic cation transport,161/2190,349/6105,0.46131805157593125,1.2860030615849591,4.1151572917475345,3.172870645265364e-5,0.024732260911747923,0.023446285541055236,Abcb8/Abcc5/Abcc8/Abcc9/Actn2/Adra1a/Afg3l2/Agtr1a/Akap6/Akap7/Akt2/Akt3/Ank3/Arhgap1/Asph/Atp10d/Atp13a3/Atp1a1/Atp1b1/Atp2a2/Atp2b2/Atp2c1/Atp5mc1/Atp6v0b/Atp6v1g1/Atpsckmt/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2a/Camk2d/Casq2/Cav1/Cav3/Ccn2/Chd7/Chp1/Clcn3/Cltc/Commd1/Cp/Dmpk/Dnm1l/Dnm2/Dysf/Egf/Epb41/Epm2a/Ero1a/Flvcr1/Fxyd1/Fyn/Gas6/Gck/Ghitm/Gja1/Gnao1/Gnaq/Gpd1l/Gsto1/Hfe/Homer1/Hspa9/Ibtk/Ikbkb/Inhca/Itpr2/Jph2/Kcnd2/Kcnd3/Kcng2/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Kcnq5/Kcnv2/Kif5b/Mcur1/Mfsd4b1/Mllt6/Myo5a/Ndfip1/Ndufs4/Ndufv2/Nipal3/Nipsnap2/Nnt/Nr3c2/Nsf/Opa1/Oxsr1/P2rx4/P2rx5/Phb2/Pirt/Pkd2/Plcb1/Plcb4/Plce1/Plcg2/Pln/Ppp3cb/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Ryr2/Saraf/Serpine1/Sestd1/Slc10a6/Slc11a2/Slc16a1/Slc20a2/Slc22a5/Slc24a2/Slc25a12/Slc25a13/Slc25a23/Slc25a4/Slc30a5/Slc30a6/Slc36a2/Slc38a2/Slc38a3/Slc38a4/Slc41a3/Slc47a1/Slc4a4/Slc4a7/Slc8a1/Snta1/Snx3/Sri/Srl/Stc2/Stk39/Strit1/Tcn2/Tesc/Tfrc/Tgfb2/Tmco3/Tmem165/Tmem168/Tmem38b/Tmx1/Trpc1/Trpc3/Tusc3/Ucp3/Wnk1/Wnk2/Zdhhc13/Zfas1,161
GO:0097553,calcium ion transmembrane import into cytosol,41/2190,69/6105,0.5942028985507246,1.6564423267818145,4.101190499929786,5.259150524901131e-5,0.024732260911747923,0.023446285541055236,Adra1a/Agtr1a/Akap6/Asph/Bcl2/Cacna1c/Cacna2d1/Calm2/Camk2d/Casq2/Cav1/Ccn2/Chd7/Ero1a/Fyn/Ghitm/Gsto1/Ibtk/Itpr2/Jph2/Myo5a/P2rx4/P2rx5/Pkd2/Plcb1/Plcb4/Plce1/Plcg2/Pln/Ppp3cb/Prkce/Prkd1/Prnp/Ryr2/Slc24a2/Slc8a1/Sri/Tgfb2/Tmem38b/Trpc1/Trpc3,41
GO:0006082,organic acid metabolic process,157/2190,342/6105,0.4590643274853801,1.2797204197708885,3.981771660273287,5.470857041324105e-5,0.024732260911747923,0.023446285541055236,Abcc9/Abcd2/Abcd3/Abhd2/Acaa2/Acacb/Acad11/Acad12/Acadl/Acadsb/Acadvl/Aco2/Acot11/Acsl1/Acsl6/Acsm5/Acss1/Adhfe1/Adss1/Aig1/Akr1b1/Akt2/Aldh4a1/Aldh6a1/Ank/Ankrd23/Apc/Appl2/As3mt/Asrgl1/Auh/Bcat2/Bckdha/Bckdhb/Bcl2l13/Cav1/Ces1d/Comt/Cpt1a/Cs/Cyb5a/Cyp2b10/Cyp2d22/Dbt/Ddit4/Ddo/Dgat2/Dlst/Echs1/Eci2/Ehhadh/Eif2ak3/Elovl5/Eno1/Ephx2/Ero1a/Errfi1/Esrrb/Etfdh/Fabp3/Fah/Fgfr1/Fkrp/Flcn/Gart/Gck/Glul/Gnpda1/Got1/Gpam/Gpi1/Gpt2/Gsto1/Hadh/Hagh/Hdac4/Hibadh/Hibch/Hk1/Hmgcl/Idh1/Idh2/Idh3b/Insr/Irs1/Ivd/Kyat3/Lipe/Lonp2/Lpin1/Lpl/Mapk14/Mapk9/Mblac2/Mccc1/Mccc2/Mdh2/Mecr/Mgll/Mgst3/Mmut/Mpc1/Mpc2/Mpi/Mrps36/Mtarc2/Mtch2/Mtor/Mtr/Myo5a/Nudt7/Oat/Oaz1/Ogdh/Ogdhl/P4ha1/Pah/Pam/Pcbd2/Pcx/Pdk4/Pex13/Pfkfb2/Pfkl/Pfkm/Pgam1/Pgd/Phyh/Pm20d1/Por/Ppara/Ppard/Ppargc1a/Ppp2ca/Prkaa2/Prkab2/Prkag1/Psph/Pter/Qki/Scp2/Sdhaf3/Sdsl/Slc16a1/Slc25a12/Slc27a1/Slc4a4/Sord/Srr/Stat5b/Sucla2/Syk/Tecrl/Tlr4/Ucp3/Ugp2/Zbtb20,157
GO:0008016,regulation of heart contraction,59/2190,109/6105,0.5412844036697247,1.5089229609149175,4.009571097985933,6.559091712538192e-5,0.024732260911747923,0.023446285541055236,Abcc9/Adra1a/Akap6/Atp1a1/Atp1b1/Atp2a2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Casq2/Cav1/Cav3/Ccn2/Chrm2/Dmpk/Dsc2/Dsg2/Dsp/Fxyd1/Gch1/Gja1/Gjc1/Gnao1/Gpd1l/Hbegf/Hdac4/Hopx/Kcnd2/Kcnd3/Kcnip2/Kcnn2/Kcnq1/Myh6/Myh7b/Myl2/Myl3/P2rx4/Pik3r1/Pln/Rgs2/Rnf207/Rnls/Ryr2/S100a1/Sema3a/Slc4a3/Slc8a1/Snta1/Sri/Strit1/Tbx18/Tgfb2/Thra/Thrb/Tmem38b/Tmem65/Tnnt2/Tpm1,59
GO:1904062,regulation of monoatomic cation transmembrane transport,70/2190,134/6105,0.5223880597014925,1.4562461664281332,3.9938479669432763,6.576337856999079e-5,0.024732260911747923,0.023446285541055236,Abcc9/Actn2/Afg3l2/Agtr1a/Akap6/Akap7/Ank3/Asph/Atp1b1/Atpsckmt/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav1/Cav3/Chd7/Chp1/Commd1/Dysf/Fxyd1/Fyn/Gpd1l/Gsto1/Homer1/Ikbkb/Jph2/Kcnip2/Kcnip4/Kcnn2/Kcnq1/Myo5a/Nipsnap2/Nr3c2/Oxsr1/P2rx4/P2rx5/Phb2/Pirt/Pkd2/Plcb1/Plcg2/Pln/Ppp3cb/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Ryr2/Sestd1/Slc36a2/Slc8a1/Snta1/Sri/Stk39/Strit1/Tesc/Tgfb2/Tmem168/Tmem38b/Trpc1/Trpc3/Wnk1/Wnk2/Zfas1,70
GO:0034765,regulation of monoatomic ion transmembrane transport,73/2190,141/6105,0.5177304964539007,1.4432624113475176,3.982585244269269,6.77656941383857e-5,0.024732260911747923,0.023446285541055236,Abcc9/Actn2/Afg3l2/Agtr1a/Akap6/Akap7/Ank3/Asph/Atp1b1/Atpsckmt/Bcl2/Cacna1c/Cacna2d1/Cacnb2/Calm2/Camk2d/Casq2/Cav1/Cav3/Chd7/Chp1/Commd1/Dysf/Fxyd1/Fyn/Gpd1l/Gsto1/Homer1/Ikbkb/Jph2/Kcnip2/Kcnip4/Kcnj3/Kcnn2/Kcnq1/Mtor/Myo5a/Nipsnap2/Nr3c2/Oxsr1/P2rx4/P2rx5/Phb2/Pirt/Pkd2/Plcb1/Plcg2/Pln/Ppp3cb/Prkce/Prkd1/Prnp/Ptpn3/Rgs7/Rnf207/Ryr2/Sestd1/Slc36a2/Slc8a1/Snta1/Sri/Stk39/Strit1/Tesc/Tgfb2/Tmem168/Tmem38b/Trpc1/Trpc3/Wnk1/Wnk2/Ywhaq/Zfas1,73
