"term","estimate","se","z","p","gene"
"sexM",-0.0862346778376254,0.398107908819425,-0.216611315493207,0.829084134439173,"1700025G04Rik"
"sexM",0.0870113767700873,0.285177415778394,0.305113139946895,0.760736383667582,"2210408F21Rik"
"sexM",-0.154150679728935,0.675138666714428,-0.228324472184524,0.820722762674267,"2310014F06Rik"
"sexM",0.0134230203315881,0.408681052016716,0.0328447337241342,0.973893231313497,"2610037D02Rik"
"sexM",-0.112544678994795,0.442099808990874,-0.254568485907484,0.799956836346656,"2610307P16Rik"
"sexM",0.141078598260755,0.635949175087995,0.221839423317491,0.825380025078292,"2700097O09Rik"
"sexM",0.590868331439525,0.594500776952424,0.993889923018234,0.324968810706416,"3222401L13Rik"
"sexM",0.0508083283015663,0.316199751884401,0.16068427631196,0.872694380812103,"4632427E13Rik"
"sexM",-0.0560755767011169,0.375644367388445,-0.149278364243727,0.881584576966101,"4732440D04Rik"
"sexM",0.313215374353385,0.483507771665009,0.647798014238314,0.519469480741094,"4833422C13Rik"
"sexM",-0.172051888888639,0.568665853546173,-0.302553578372487,0.763392477655025,"4933431K23Rik"
"sexM",-0.181515430188431,0.303134254671701,-0.5987955085611,0.550410458376633,"5031425E22Rik"
"sexM",-0.593429152301105,0.556422477932484,-1.06650823041177,0.291028232504183,"5330438D12Rik"
"sexM",0.810930216216329,0.617343731180641,1.31357973728098,0.194250546452622,"5430431A17Rik"
"sexM",-0.436717642200141,0.537410406379498,-0.812633393428834,0.42035906814675,"6720427I07Rik"
"sexM",0.147635997360757,0.650135345044505,0.22708501927495,0.821265465868175,"6820431F20Rik"
"sexM",-1.14788333406083,1.30798603355455,-0.877596017551781,0.383042182065701,"9330159M07Rik"
"sexM",0.021159538668481,0.163177104948021,0.129672227456304,0.896951672119086,"9530026P05Rik"
"sexM",0.430782916092455,0.53893694007169,0.79931970526116,0.427366446792163,"AU040320"
"sexM",-0.170817732312469,0.427965904880165,-0.399138647178682,0.69091041168059,"AW554918"
"sexM",-0.502091943451678,0.304555752422344,-1.64860436704344,0.101911433758536,"Aak1"
"sexM",0.0953101798043352,0.647382240461913,0.147223964216767,0.883612893042872,"Abca1"
"sexM",0.833919734440677,0.978368629738215,0.852357392799697,0.399356094836492,"Abca6"
"sexM",0.187683499935218,0.311175586669685,0.603143395482517,0.547850573005552,"Abca8a"
"sexM",0.13976194225404,0.630281283802481,0.221745347427831,0.825561885045138,"Abca8b"
"sexM",-1.68354588458781,0.765029644727384,-2.20062829746649,0.0339117616372409,"Abca9"
"sexM",0.664397755188473,0.452262551992338,1.46905321314272,0.145840125839285,"Abcc5"
"sexM",0.141313532935985,0.21673095268734,0.652022847607955,0.515371173025012,"Abcc9"
"sexM",-0.168921997147571,0.450681399868629,-0.374814663300529,0.708885015364586,"Abcd3"
"sexM",0.33647224566358,0.573352550964578,0.58685052520917,0.560112582093387,"Abhd17b"
"sexM",-0.478490242751334,0.406199321485666,-1.17796908424481,0.242135442663344,"Abhd18"
"sexM",-0.0597192259485762,0.331633063951989,-0.180076212054724,0.857406941831861,"Abi1"
"sexM",-1.33297472358698,0.472123004824679,-2.82336321247887,0.0061835615510831,"Abi2"
"sexM",0.45641249227978,0.135544346745041,3.3672558335339,0.00095895873417666,"Ablim1"
"sexM",0.206807131994519,0.442653997308183,0.467198157595167,0.64167752224523,"Abra"
"sexM",0.0589425325806367,0.356449848865236,0.165359959523847,0.869072679318261,"Abtb2"
"sexM",0.167054084473946,0.505200272803486,0.330669030614176,0.742086091240416,"Acaca"
"sexM",-0.301959760359588,0.281004194911346,-1.07457385273146,0.284635443033501,"Acacb"
"sexM",0.356674943877676,0.840498592700898,0.424361143463096,0.673370242543168,"Acad10"
"sexM",1.15267949912991,0.978897759655886,1.17752797752353,0.247946341037668,"Acad11"
"sexM",-0.193290588164529,0.37636925889972,-0.513566354302144,0.608786414837948,"Acadl"
"sexM",-0.899070134001788,0.472007618551594,-1.90477886090204,0.0606431663171004,"Acadm"
"sexM",-4.38626047077605e-13,0.823665987114003,-5.32529027469597e-13,0.999999999999577,"Acadsb"
"sexM",0.104043859738809,0.427762811129012,0.24322792218473,0.808583216579033,"Acap2"
"sexM",0.644357016390474,0.487172583502232,1.32264630279122,0.189721641095031,"Acat1"
"sexM",-0.720735137078774,0.55073700556854,-1.30867388570474,0.198114286564857,"Acbd3"
"sexM",-0.327546669069119,0.394060865231014,-0.831208318230479,0.408566518425477,"Acer2"
"sexM",0.628608659422312,0.602206982674876,1.04384153207617,0.302391769560912,"Acer3"
"sexM",-0.371563556429938,0.477080428641903,-0.778827916893723,0.43909200510468,"Acin1"
"sexM",0.172169184968343,0.627499529983487,0.274373408650799,0.784756086438512,"Ackr3"
"sexM",0.245070073213334,0.297194533334039,0.824611645658643,0.411497689869494,"Aco2"
"sexM",0.459532326087656,0.547770596369092,0.838913824753784,0.405432733784577,"Acot13"
"sexM",-0.125163142954006,0.748221867067451,-0.167280787241042,0.868271634139055,"Acot7"
"sexM",0.191191951239812,0.429946536308296,0.444687734622699,0.657546390311206,"Acox1"
"sexM",-0.409425508527535,0.416124061244132,-0.983902510475916,0.327891805659277,"Acsl1"
"sexM",-0.102034678688244,0.384998261778519,-0.265026336007051,0.791534703758973,"Acss1"
"sexM",-0.138150328782235,0.368005789276807,-0.37540259639318,0.708133042426983,"Actc1"
"sexM",-2.5849901071737,1.06371696642555,-2.43014842177441,0.0186506310981618,"Actc1dt"
"sexM",-0.00147504738661067,0.175118964916859,-0.00842311617882725,0.99329231740161,"Actn2"
