gene,condition
Agfg1,F1_Aged
Agmo,F1_Aged
Airn,F1_Aged
Ankhd1,F1_Aged
Anks1,F1_Aged
Ap3b1,F1_Aged
Apoe,F1_Aged
Arhgap15,F1_Aged
Ascc3,F1_Aged
Babam2,F1_Aged
C1qa,F1_Aged
Ccdc88a,F1_Aged
Cdc42,F1_Aged
Cdh13,F1_Aged
Cdk13,F1_Aged
Cdkal1,F1_Aged
Celf1,F1_Aged
Ctsc,F1_Aged
Cyth3,F1_Aged
Dcn,F1_Aged
Dlc1,F1_Aged
Dnajc1,F1_Aged
Elk3,F1_Aged
Erbin,F1_Aged
Fbxw7,F1_Aged
Fndc3a,F1_Aged
Fto,F1_Aged
Fyb1,F1_Aged
Gas7,F1_Aged
Herc1,F1_Aged
Igf1r,F1_Aged
Lgmn,F1_Aged
Lrp6,F1_Aged
Maf,F1_Aged
Mllt10,F1_Aged
Nktr,F1_Aged
Peli1,F1_Aged
Plxna4,F1_Aged
Ppp4r1,F1_Aged
Pten,F1_Aged
Rb1,F1_Aged
Rhoa,F1_Aged
Rtn3,F1_Aged
Selenop,F1_Aged
Snd1,F1_Aged
Snx2,F1_Aged
Snx9,F1_Aged
Srgap2,F1_Aged
Strn3,F1_Aged
Stxbp3,F1_Aged
Susd6,F1_Aged
Tbc1d4,F1_Aged
Tbc1d5,F1_Aged
Tut7,F1_Aged
Utrn,F1_Aged
Wac,F1_Aged
Wdr33,F1_Aged
Wwox,F1_Aged
Wwp1,F1_Aged
Zfp407,F1_Aged
Adam19,F1_Young
Aoah,F1_Young
C5ar1,F1_Young
Ccny,F1_Young
Cux1,F1_Young
Dclre1c,F1_Young
Ecpas,F1_Young
Eea1,F1_Young
Fam193a,F1_Young
Fndc3b,F1_Young
Hnrnph1,F1_Young
Itsn2,F1_Young
Larp4b,F1_Young
Lrch3,F1_Young
Mcc,F1_Young
Pbx1,F1_Young
Pfkfb3,F1_Young
Prkch,F1_Young
Ptprk,F1_Young
Rab8b,F1_Young
Rapgef5,F1_Young
Rbm25,F1_Young
Rere,F1_Young
Senp6,F1_Young
Shoc2,F1_Young
Spop,F1_Young
Ugt1a7c,F1_Young
Wasf2,F1_Young
Zfand6,F1_Young
Zfhx3,F1_Young
Znrf1,F1_Young
