gene,bb_mu_Aged,padj_Aged,bb_mu_Young,padj_Young,dir_Aged,dir_Young,consistency
4732440D04Rik,0.2763,5.53566195119128e-8,0.3567,2.9050369258907e-4,below,below,consistent_below
9330159M07Rik,0.1125,2.13904271518778e-13,0.1117,8.778556835341429e-12,below,below,consistent_below
Abca8a,0.6765,1.01205320554885e-6,0.7245,7.44737183439765e-6,above,above,consistent_above
Abi1,0.6692,2.89967514130744e-6,0.6447,0.0056462149690378,above,above,consistent_above
Abra,0.3768,0.0483275254179976,0.3549,0.0202762940900047,below,below,consistent_below
Acyp2,0.433,0.0731225019665525,0.4239,0.00473788913896334,below,below,consistent_below
Adra1a,0.3354,0.00202475407213783,0.3973,0.0272533148918257,below,below,consistent_below
Agap1,0.3999,0.0417299494478013,0.3811,0.0572060454366157,below,below,consistent_below
Airn,0.343,3.7068827806670394e-11,0.8668,8.06489164784238e-65,below,above,discordant
Ano6,0.6638,6.0626657247558e-4,0.6147,0.0938450829779662,above,above,consistent_above
Aox1,0.7818,1.55313585313441e-6,0.7131,0.00244159299847221,above,above,consistent_above
Arhgap20,0.7923,1.0741081341265e-4,0.8169,0.00500563874604512,above,above,consistent_above
Arhgap35,0.6436,0.0475577184640972,0.6505,0.0655714990874906,above,above,consistent_above
Art1,0.3548,0.0136716992111524,0.2987,1.08645672302962e-5,below,below,consistent_below
Atp1b1,0.3129,8.87214575053581e-5,0.2793,0.0199059691345528,below,below,consistent_below
Cacna1c,0.577,6.747486844382771e-9,0.5694,1.52710468458237e-6,above,above,consistent_above
Cacna2d1,0.6658,5.7681137913429196e-11,0.6819,2.0628409481001898e-11,above,above,consistent_above
Ccbe1,0.3643,0.0467439022471077,0.2611,0.00660763768858654,below,below,consistent_below
Celf2,0.6102,4.38924635932969e-6,0.5778,0.00811144543716384,above,above,consistent_above
Cisd2,0.8158,1.1973378140377e-4,0.8178,6.3080293144043e-4,above,above,consistent_above
Clic4,0.3017,3.1901365941952704e-15,0.2256,2.21966523933903e-21,below,below,consistent_below
Cobll1,0.577,0.0241780216896315,0.6055,1.5882175147169e-4,above,above,consistent_above
Cp,0.7421,8.595133061180729e-11,0.7174,5.3800209059735e-4,above,above,consistent_above
Cradd,0.2462,6.7252201491167e-9,0.3227,0.00919875104532688,below,below,consistent_below
D830005E20Rik,0.3948,5.7946153527861e-5,0.4363,0.0193626609734086,below,below,consistent_below
D830032E09Rik,0.9524,3.88390676980593e-21,0.9528,9.26711300288019e-18,above,above,consistent_above
Dip2c,0.5947,3.0058127444649e-4,0.6575,2.49357437265169e-6,above,above,consistent_above
Dsg2,0.7273,0.0331350148588461,0.7968,4.6800032300053e-4,above,above,consistent_above
Efna5,0.273,1.29648512478389e-10,0.3042,2.68720019698688e-9,below,below,consistent_below
Ehbp1,0.5461,0.0497915197451189,0.5601,0.0880272261112284,above,above,consistent_above
Errfi1,0.6327,1.28632621532349e-7,0.6454,7.43647728307418e-5,above,above,consistent_above
Ext1,0.5674,0.0112882404924762,0.5553,0.0535092366141221,above,above,consistent_above
Fblim1,0.641,0.0672082502011943,0.6894,0.00397042257222853,above,above,consistent_above
Fhl2,0.5432,0.0142205635359547,0.5831,1.88828085279225e-6,above,above,consistent_above
Fhod3,0.6202,3.65167332137074e-10,0.6043,5.10512413512338e-5,above,above,consistent_above
Fmn1,0.0257,3.2875214278477596e-26,0.0371,6.78591767410902e-16,below,below,consistent_below
Galnt18,0.3164,3.08151014670496e-5,0.2505,3.24710840277171e-7,below,below,consistent_below
Gfod1,0.6806,0.0236579296978251,0.7328,4.73523111237213e-5,above,above,consistent_above
Gm12295,0.761,7.91156440997905e-7,0.8189,1.30602125390532e-8,above,above,consistent_above
Gm13481,0.974,1.1429884578835699e-35,0.9925,1.8392241244242898e-25,above,above,consistent_above
Gm24474,0.9386,1.29648512478389e-10,0.9831,2.750869651263e-20,above,above,consistent_above
Gm26862,0.338,0.0188314086703101,0.2979,2.59278272795849e-5,below,below,consistent_below
Gm30382,0.8276,8.33730759773175e-6,0.7139,0.0109914841908992,above,above,consistent_above
Gm35330,0.7518,5.43664799461601e-12,0.7167,2.49357437265169e-6,above,above,consistent_above
Gm35546,0.8782,5.09591629487808e-6,0.7264,0.00974076272560931,above,above,consistent_above
