gl_thresh,asp_only_count
0.05,1532
0.1,1390
0.15000000000000002,1276
0.2,1193
0.25,1116
0.3,1021
0.35000000000000003,931
0.4,824
0.45,736
0.5,647
0.7,328
1,0
