"","AR","N","log2FC","llr","pval"
"Brd7",0.393939393939394,11,-0.241008099503795,-15.1739614614891,3.61093425580251e-08
"Brd8",0.692708333333333,16,0.800691191776594,-7.51750111529944,0.000105535552370827
"Brms1l",0.526666666666667,10,0.251538766995965,-13.2173917031364,2.72587356170494e-07
"Brwd1",0.634126984126984,69,0.519671040469437,-4.26180696140436,0.00350567644179041
"Btaf1",0.401051051051051,37,-0.741466986401147,-1.80513369869291,0.0574238859479918
"Btbd1",0.454861111111111,24,-0.182203331220749,-5.38675365923297,0.00102963217094056
"Btbd3",0.393939393939394,11,-0.884522782580064,-15.9197779897254,1.67447625078089e-08
"Btbd7",0.352884615384615,52,-0.351472370501378,-6.19782674897857,0.000430334363430365
"Btbd9",0.411011904761905,56,-0.434719865140544,-0.272459401621887,0.460401333397941
"Btg2",0.470810344339756,51,-0.238786859587117,-0.244162762794389,0.484675201402201
"Btnl9",0.533333333333333,10,1.05062607306997,-14.3897692049144,8.11034537836483e-08
"Btrc",0.467278911564626,35,-0.375039431346925,1.14063380721698,1
"Bves",0.401515151515152,11,-0.0430687218918862,-2.51299262600506,0.024969715546744
"Bzw2",0.57843137254902,34,0.654503433974233,-6.90851104263969,0.000201502350171366
"C1galt1",0.643939393939394,11,0.387023123109247,-14.6919812935132,5.93669070701094e-08
"Caap1",0.541666666666667,14,-0.0759488532332981,-3.83277341024081,0.00562851996992938
"Cab39",0.663194444444444,24,0.865698908288409,-17.6634804693888,2.78746499582367e-09
"Cabcoco1",0.392307692307692,13,-0.203533394085132,-17.2858039434094,4.1085538295753e-09
"Cachd1",0.488095238095238,14,-0.20945336562895,-19.2646789346148,5.39362194087373e-10
"Cacna1c",0.613709875649444,185,0.458763097157066,0.0522134123979185,1
"Cacna2d1",0.724447131211098,149,1.48323261375733,-0.322798361388635,0.421691379266198
"Cacnb2",0.51779715643849,171,0.101640261875838,-3.75192642158669,0.0061567142498759
"Cacul1",0.514814814814815,18,-0.155278225477911,-10.3776652217039,5.21861160665629e-06
"Calcrl",0.431884057971014,23,-0.280107919192735,-10.1085298903257,6.91336498694866e-06
"Cald1",0.349653618509551,59,-0.823843044846173,-9.6400583360889,1.12875718272048e-05
"Calm1",0.41025641025641,13,-0.0544477840223765,-4.26326633225215,0.00350005871554657
"Camk1d",0.680392156862745,17,1.06140054466414,-7.98429230014919,6.44023865002138e-05
"Camk2d",0.49733155134082,161,-0.0259952085329447,-4.4788202638855,0.00276311522364021
"Camkmt",0.341388888888889,40,-0.872244452801627,-2.96569962178488,0.0148734273368745
"Camsap2",0.530952380952381,21,-0.0480942882010451,-11.3681797667357,1.85818443790833e-06
"Camta1",0.698888888888889,45,0.78498710902915,-2.41510966957327,0.0279650726496607
"Canx",0.370588235294118,17,-0.125530882083859,-7.77999247362172,7.99283971015319e-05
"Cap2",0.456942939689419,71,-0.0713846332367655,-0.193199660576184,0.534198169817039
"Capn2",0.655208333333333,16,0.289506617194985,-8.89954929213557,2.45499524238962e-05
"Capn7",0.579166666666667,20,0.0285691521967708,-10.7665412300637,3.47777072822704e-06
"Caprin1",0.5375,16,0.425305834732671,-9.03821081321099,2.12213134522315e-05
"Capza1",0.379166666666667,28,-0.280107919192735,-1.80630885247925,0.0573427936385259
"Car8",0.570075757575758,44,0.520832163301441,-2.78002735006299,0.018374840122286
"Carm1",0.272727272727273,11,-0.961525852185364,-14.0157324025256,1.19358860329629e-07
"Carmil1",0.469444444444444,10,-0.15200309344505,-13.6823486221995,1.68479048004976e-07
"Carmn",0.611111111111111,13,-0.519374159093579,-6.83395304041439,0.000218151063774033
"Carnmt1",0.4375,12,0.178337241258512,-12.0733435813154,8.92696012618185e-07
"Casp4",0.618055555555556,12,-0.273018494406416,-15.2923474083023,3.19605050170715e-08
"Casq2",0.500356952988532,38,-0.237039197300849,-0.2483714144998,0.480934801730353
"Cast",0.641622574955908,63,0.733719934662552,-0.284091990848012,0.450981457389706
"Casz1",0.272727272727273,11,-0.400537929583729,-18.7745876899831,8.91370971251645e-10
"Cat",0.491666666666667,20,-0.37851162325373,-11.5144747178253,1.59580234905977e-06
"Cav1",0.448024975024975,75,-0.318075769391756,-2.5239672924338,0.0246553112327664
"Cavin2",0.489141414141414,44,-0.32930762525296,-2.06402302962523,0.0421780242132746
"Cbfa2t2",0.357971014492754,23,-0.760812336120574,-0.808432552876184,0.203529458449867
"Cbfa2t3",0.733333333333333,10,0.565597175854225,-13.2369824765352,2.67113970732763e-07
"Cbfb",0.259259259259259,18,-0.559427408614019,-14.5051109509836,7.19973862370256e-08
"Cbl",0.634920634920635,21,0.381090167355506,-0.195307920437362,0.531975867204478
"Cblb",0.489084795801214,67,0.100227447738654,1.28273713342129,1
"Ccar1",0.405608974358974,52,-0.427421223734676,-1.53276505425085,0.0799690753686112
"Ccbe1",0.377963525835866,47,-0.596644305768792,-0.387584771150024,0.37862254882223
"Ccdc141",0.544373102845089,124,0.227503835154047,-2.77376154858237,0.0185068581096814
"Ccdc186",0.487179487179487,13,0.0931094043914813,-19.2335326152128,5.56855206295511e-10
"Ccdc191",0.616666666666667,10,0.231325546106456,-11.2782839228207,2.04045744730207e-06
"Ccdc47",0.516666666666667,10,0.241008099503795,-16.5129710009394,9.09373566988317e-09
"Ccdc50",0.3005148005148,37,-0.853610513018477,1.21786460251446,1
"Ccdc6",0.672222222222222,15,0.534336427651188,-11.529328722155,1.57133355587113e-06
"Ccdc80",0.55952380952381,12,0.142019004872428,-14.2895444203137,8.99483365827658e-08
"Ccdc85a",0.625348852827844,119,0.57901323438997,-0.598788704179583,0.273806414460887
"Ccdc88a",0.376923076923077,13,0,-18.7399956554834,9.23555761859613e-10
"Ccm2",0.583333333333333,11,0.362570079384708,-15.0799972376074,3.97831693051966e-08
"Ccn1",0.565079365079365,28,0.349942471056959,16.8892217840492,1
"Ccnd3",0.451020408163265,49,-0.335603031784439,0.948591766347931,1
"Ccng1",0.46969696969697,11,-0.245112497836531,-16.4138409938562,1.0070057672103e-08
"Ccnl1",0.488095238095238,22,-0.0681715026415792,-0.823089436695934,0.199479805777346
"Ccnl2",0.562575757575758,55,0.0914230277635948,-3.55723092931883,0.00764645540620732
"Ccnt1",0.448717948717949,26,-0.101283335837182,-6.32980927647947,0.000373638438456479
"Ccnt2",0.456159420289855,46,-0.257496222292364,0.378721191883351,1
"Ccny",0.444040854978355,96,-0.240358967865897,-2.94671959689259,0.0151973922612583
"Ccnyl1",0.444444444444444,12,-0.82312223791592,-14.8778822661327,4.90046971802201e-08
"Ccser2",0.387734487734488,33,-0.441705449740924,-2.82431280783118,0.0174690585172882
"Cct4",0.386363636363636,11,-0.605721060887954,-13.2284359121767,2.6948808211614e-07
"Cd200",0.529166666666667,20,0.347923303420307,-14.0423010687081,1.16126123306052e-07
"Cd2ap",0.6,54,0.680243004154265,-1.40439253450059,0.0937493504275776
"Cd300lg",0.78,10,1.58496250072116,-10.4642626729605,4.76742236175837e-06
"Cd36",0.530869032057516,220,0.169925001442312,-2.00403175579754,0.045283133026773
"Cd38",0.344444444444444,15,-0.443606651475615,-21.3735876916102,6.22917663587994e-11
"Cd47",0.507575757575758,22,-0.556393348524385,-12.0844942965325,8.82418018616635e-07
"Cd59a",0.477777777777778,15,-0.31315788525963,-6.88081179656656,0.000207532654742761
"Cd81",0.567592592592593,18,0.660513533728333,-7.41411257510299,0.000117759804349595
"Cd9",0.557246376811594,23,-0.0951572330403403,-10.4866692654528,4.65719557364513e-06
"Cdc23",0.569444444444444,12,-0.163498732282879,-3.3950308351982,0.00916667417131243
"Cdc27",0.416666666666667,25,-0.146841388329271,-2.90983539043235,0.0158479110043339
"Cdc37l1",0.50138660828316,87,-0.0879070891494276,-2.81152787490154,0.017725717337602
"Cdc40",0.566666666666667,10,-0.146841388329271,-14.9015934050887,4.78205276937634e-08
"Cdc42",0.387280701754386,38,-0.400537929583729,-0.252763881553747,0.477081288587557
"Cdc42bpa",0.533739837398374,82,0.116917751779151,-2.49588493934495,0.0254681467712396
"Cdc42bpb",0.442528735632184,29,-0.0769619818148841,-0.487489111460064,0.323441754775174
"Cdc42ep3",0.356060606060606,11,-0.758991900496205,-13.6214359794946,1.79435423600197e-07
"Cdc73",0.521875,48,0.12691211248222,-4.10033559364732,0.00418748959411704
"Cdcp3",0.0789473684210526,19,-4.16992500144231,-5.93899832665076,0.000568010052055959
"Cdh13",0.559215810514056,204,0.2590274229651,-2.65365512562477,0.021236118278903
"Cdh2",0.45833424335101,162,-0.247139083672134,-0.285151699462176,0.45013837892403
"Cdh23",0.418333333333333,10,-0.499571009490511,-13.1696660633819,2.86396414473304e-07
"Cdh4",0.725490196078431,17,0.832890014164742,-5.13717917262024,0.00134891777578841
"Cdh5",0.528571428571429,21,0.137503523749935,-1.50461982287491,0.082791118586692
"Cdin1",0.625,10,-0.263034405833794,-11.0312183707544,2.63924126232104e-06
"Cdk11b",0.393939393939394,11,-0.31034012061215,-19.5588072514579,3.99027606394531e-10
"Cdk12",0.588383838383838,33,0.415037499278844,-1.68351931033771,0.0665132145929382
"Cdk13",0.479047619047619,65,-0.0114047632722494,-3.06129350917755,0.013346533709732
"Cdk14",0.5482910906298,62,0.204981737787629,0.834003916724186,1
"Cdk17",0.572916666666667,16,0.362570079384708,-24.4573925711408,2.67327988237071e-12
"Cdk19",0.370407196969697,48,-0.714597781137752,1.24434404583206,1
"Cdk6",0.27991718426501,23,-1.03847414781464,-8.07861203679346,5.82958053959246e-05
"Cdk7",0.477777777777778,15,0.719892080807265,-18.0624311719964,1.85070486658165e-09
"Cdk8",0.495644599303136,41,-0.2844533894687,2.9051165953838,1
"Cdkal1",0.490173660223165,101,-0.0806878455655609,-4.79079670879659,0.0019653776055895
"Cds2",0.666666666666667,16,0.514573172829758,-5.54464819762124,0.000868274221387796
"Cdv3",0.505555555555556,21,0.169925001442313,-12.7011453897147,4.65365177561715e-07
"Cdyl",0.446969696969697,22,-0.301655699861101,-0.799074970182716,0.20616558830831
"Ceacam1",0.575757575757576,11,0.584962500721157,-17.4562813291732,3.44848643538994e-09
"Cebpb",0.464285714285714,14,-0.111031312388744,-40.3688628224202,2.57754085532464e-19
"Cebpd",0.295454545454545,11,-0.369233809665719,-13.0798020207129,3.14329832451912e-07
"Cebpz",0.516666666666667,10,-0.540568381362703,-16.494314817451,9.26994285338225e-09
"Cecr2",0.460087719298246,38,-0.119581615752673,-2.67991591762875,0.0206057605566786
"Celf1",0.49811320754717,53,0.125530882083859,-0.218143100309476,0.508920416387299
"Celf2",0.579830018975133,190,0.488286481309482,0.97499746657445,1
"Cemip2",0.446470402025958,27,-0.409390936137701,-0.79659578449408,0.206870739679657
"Cenpp",0.204545454545455,11,-1,-11.2435925783476,2.11550203978474e-06
"Cep112",0.461111111111111,15,0.241008099503795,6.43873469864757,1
"Cep120",0.666666666666667,14,0.197939377611909,-15.0476895091229,4.11310136572263e-08
"Cep170",0.504761904761905,14,-0.0740005814437765,1.83213784817553,1
"Cep350",0.441358024691358,27,-0.450661409009565,-0.200457307260727,0.526617289531678
"Cep43",0.428571428571429,14,-0.616671360448494,-9.0477024068891,2.10107879809777e-05
"Cep44",0.533333333333333,10,-0.241008099503795,-12.1804009751637,7.98775781691816e-07
"Cep68",0.385416666666667,16,-0.5376567859428,-8.84838523322718,2.5906607006104e-05
"Cep83",0.287878787878788,11,-0.472068444315223,-18.5489257327999,1.12347442860148e-09
"Cep85",0.622759103641457,34,0.293196376344046,-0.266976505369975,0.464949656565109
"Cep85l",0.469546719031255,97,-0.211874549422449,-3.37328166974922,0.00939284350594872
"Cep95",0.583333333333333,11,0.203533394085132,-16.8191080066952,6.63757666748763e-09
"Cers4",0.605263157894737,19,0.347923303420307,-12.7169431324987,4.57805543806957e-07
"Cert1",0.497074829931973,35,0.283792966000591,-5.58462260603051,0.000831644542196299
"Ces1d",0.450900900900901,37,-0.349334252228014,-7.59921445981087,9.67839084955767e-05
"Cetn3",0.233333333333333,10,-1.09310940439148,-15.6746134182155,2.15544516536867e-08
"Cfdp1",0.42233560090703,21,-0.208586621811417,-1.10023850451992,0.137968037745453
"Cfl2",0.634895833333333,32,0.777607578663552,-0.654521447567063,0.252568017528196
"Cflar",0.469675925925926,36,-0.150242635580613,-11.6976707657579,1.31897564328724e-06
"Cgnl1",0.58258547008547,26,0.226275855823676,-0.0325716984907132,0.798543881857769
"Chaserr",0.457363315696649,54,0.0127110517495541,-3.21351436351752,0.0112396451235654
"Chchd3",0.514400635904626,160,0.10284840759175,-1.78079176373868,0.0591313041757869
"Chd1",0.568627450980392,17,0.0280143761695966,-29.7806316059152,1.18545733290399e-14
"Chd2",0.44946252249623,89,-0.305707742429032,-4.42438526196705,0.00293286385530151
"Chd4",0.522549019607843,17,0.200298650485831,-8.68315823062889,3.08240549212562e-05
"Chd6",0.484772486772487,75,-0.0609680172914271,-1.02819624858363,0.151568631382808
"Chd7",0.511263736263736,52,-0.0272214687350243,-2.34507653745386,0.0303359447619505
"Chd8",0.358974358974359,13,-0.285402218862248,-19.8477418696804,2.9681107567489e-10
"Chd9",0.530396686646687,88,0.109229069754758,0.640432314116069,1
"Chfr",0.426984126984127,21,-0.108934371553164,-17.4549772648346,3.45310889236987e-09
"Chic2",0.416666666666667,23,-0.0874628412503395,5.34019303975201,1
"Chmp4c",0.243589743589744,13,-1.32192809488736,-14.3081083208804,8.8240094543409e-08
"Chordc1",0.600833333333333,20,0.440572591385981,-11.6203647278162,1.42937802307854e-06
"Chp1",0.653846153846154,13,0.704544116473829,-14.106369178344,1.08686913922125e-07
"Chpt1",0.443253968253968,42,0.0157673158583165,1.6133112229072,1
"Chrm2",0.450951826726984,133,-0.205161029334222,0.140887995242934,1
"Chrm3",0.221153846153846,13,-0.604071323668861,-16.8688323417622,6.3067686465845e-09
"Chst11",0.393137254901961,34,-0.445799753049531,-2.32732271267103,0.0309696281776536
"Chsy3",0.729166666666667,12,1,-11.2547770042634,2.09101017614773e-06
"Chuk",0.664583333333333,16,0.491853096329675,-7.50049982455861,0.00010745424063903
"Ciapin1",0.55,10,0.115477217419936,-16.724786186122,7.31358558647786e-09
"Cilk1",0.461904761904762,21,-0.217591435072627,-11.4480975217106,1.70989997610196e-06
"Cipc",0.478857142857143,25,-0.316473664795254,-9.6564679676759,1.10952107082972e-05
