"","AR","N","log2FC","llr_mean","pval_mean"
"1110002E22Rik",0.618181818181818,11,0.137503523749935,1.92141263181047,1
"1110059E24Rik",0.477272727272727,11,-0.263034405833794,0.107104232093491,1
"1600010M07Rik",0.586458333333333,16,-0.0331668639351994,2.10026753523506,1
"1600020E01Rik",0.0833333333333333,12,-1.85414913353654,-4.30743163172156,0.00333430827016027
"1700025G04Rik",0.487065637065637,74,-0.0925121387895376,0.536497184485512,1
"2210408F21Rik",0.519776781723684,113,8.46545056276682e-16,-0.00387742302982019,0.929827713525695
"2310014F06Rik",0.4625,16,-0.814444346843923,-1.97763227185376,0.0467249733521825
"2310039L15Rik",0.630952380952381,14,0.308122295362333,0.610950747247941,1
"2610035D17Rik",0.973684210526316,19,3.75488750216347,-37.909569530515,3.10873258166605e-18
"2610037D02Rik",0.576,25,0.0901978089715785,0.827185734587843,1
"2610307P16Rik",0.541560807134578,61,0.172467196004764,-0.0682607401470108,0.71176391701654
"2700097O09Rik",0.709821428571429,16,1.23132554610646,-3.01301854333684,0.0140963465417613
"2900026A02Rik",0.472222222222222,12,-0.0443941193584534,0.109261241309497,1
"3222401L13Rik",0.311111111111111,15,-0.434402824145775,2.91467327709065,1
"4632427E13Rik",0.468783068783069,63,0.15077995217561,0.594396587428861,1
"4732440D04Rik",0.380116514690983,94,-0.663436558744241,-4.53535664275319,0.00259735734744581
"4732471J01Rik",0.339473684210526,19,-1.08406426478847,-3.6047046295573,0.00725223604505769
"4930506C21Rik",0.444444444444444,12,-0.392317422778759,-0.45204233231528,0.341688818439476
"4930512H18Rik",0.333333333333333,11,-0.214124805352846,1.89684349234361,1
"4930523C07Rik",0.45625,16,-0.375509135092205,-0.635149423675003,0.259710623832015
"4933431K23Rik",0.34,20,-0.174029399775049,0.177893473427098,1
"5031425E22Rik",0.527092660425994,63,0.178597303456763,-0.316233983906386,0.426451489676986
"5330438D12Rik",0.561728395061728,27,0.407175381505872,-0.815859774262506,0.201465375723139
"5430431A17Rik",0.576881720430108,31,0.614108846380673,-1.05276556835215,0.146767373741743
"6720427I07Rik",0.458333333333333,12,-0.0406419844973462,0.225330496003942,1
"6820431F20Rik",0.705882352941176,17,1.03952836418664,-4.14242954365456,0.00399770068444218
"9330159M07Rik",0.0935028248587571,59,-3.49032562658308,-106.500979804434,3.0404991586261e-48
"9530026P05Rik",0.563906774648962,128,0.459934037253167,-2.15447924132795,0.0379121661578295
"9630014M24Rik",0.454545454545455,22,-8.88178419700125e-16,-0.0127804776410585,0.872977227326381
"A330102I10Rik",0.25,14,-2.03562390973072,-6.71634600298359,0.000247277018045972
"AU040320",0.590909090909091,22,0.69389687227432,-2.27037076093256,0.0330972516244575
"AW554918",0.361764705882353,34,-0.461580085215874,-0.216637777148222,0.510386045221014
"Aak1",0.44962326702833,79,-0.210217707390345,-0.430050322958351,0.353710528071861
"Aamdc",0.313333333333333,10,-1,-2.42126359883983,0.0277661754810795
"Abca1",0.586231884057971,23,0.134929580086108,0.16731303565264,1
"Abca5",0.4,10,-0.874469117916141,-0.782735066517883,0.210866081606385
"Abca8a",0.643746617965368,32,0.94110631094643,-4.8119191575642,0.00192067899238971
"Abca8b",0.541666666666667,12,0.584962500721157,0.0645938242004149,1
"Abcb4",0.515151515151515,11,0.131244533278254,0.117889103717758,1
"Abcc1",0.361111111111111,15,-0.736965594166207,-1.76258310885446,0.0604437643020266
"Abcc4",0.75,16,1.67807190511264,-8.76349515112246,2.83257936782147e-05
"Abcc5",0.448496240601504,57,-0.46948528330122,-1.14107328923185,0.130870631830578
"Abcc9",0.45,10,-0.199308808223407,0.456383051791796,1
"Abcd3",0.6520964360587,53,0.869213392464646,-2.33990734707737,0.030519040387969
"Abcg2",0.506410256410256,13,0.129283016944964,-0.0208297167472438,0.83827033213063
"Abhd12",0.590909090909091,11,0.36923380966572,0.262764346941395,1
"Abhd17b",0.475,10,0.142019004872429,0.0138522298732866,1
"Abhd18",0.526848985208118,57,0.129635280416598,0.749308387725506,1
"Abhd2",0.166666666666667,12,-1.67807190511264,-2.67136817185506,0.0208087848623449
"Abhd6",0.266666666666667,10,-1.37851162325373,-4.36716412236439,0.00312274340273142
"Abi1",0.618181818181818,55,0.702798991015015,-0.320876030646872,0.423077061655333
"Abl2",0.294117647058823,17,-0.306661338234051,8.46252764190623,1
"Ablim1",0.463105400302835,226,-0.267104070142841,-3.89629458027889,0.00524609629630381
"Ablim2",0.712121212121212,11,0.724365557386572,0.92454497748264,1
"Ablim3",0.41703431372549,68,-0.473931188332412,-2.840169635569,0.0171560500398802
"Abra",0.327450980392157,51,-1.05585323473352,-5.84630025025157,0.000627491378583652
"Abtb2",0.587442396313364,62,0.538866086131703,-0.961813627785318,0.165457344785476
"Acaca",0.555555555555556,15,-0.415037499278844,-0.0457650718897753,0.762240833330649
"Acacb",0.483324789245842,114,-0.0751874963942202,-0.202504711412445,0.524513456122062
"Acad10",0.383333333333333,15,-0.285402218862248,0.417700268732482,1
"Acadl",0.42796234772979,43,-0.775784843056735,-3.17113106979306,0.0117894433229822
"Acadm",0.526262626262626,33,-0.0558532347335177,0.0171532903779621,1
"Acadsb",0.5,17,-0.370368449945116,-0.302794955605798,0.436453134935005
"Acap2",0.424242424242424,11,0.0458036896131246,1.88244149954862,1
"Acat1",0.547549019607843,34,0.125530882083857,-0.0289989845283998,0.809688679220501
"Acbd6",0.314583333333333,16,-0.499571009490511,-0.0973482206463814,0.6590362199781
"Acer2",0.529761904761905,25,0.113656781795568,0.500072458653122,1
"Acer3",0.323529411764706,17,-0.321928094887362,2.65980247484114,1
"Acin1",0.383333333333333,10,-0.0759488532332981,2.21586267082007,1
"Ackr3",0.673809523809524,37,0.839535327806754,-2.35179263380333,0.0300997654566266
"Aco2",0.534176297765278,79,-0.0582146139452963,0.394055903625002,1
"Acot11",0.588888888888889,18,0.17833724125851,-0.179071210557325,0.549539701472895
"Acot13",0.575925925925926,27,-0.142019004872428,0.587736086133603,1
"Acox1",0.599221611721612,52,0.371968777386958,-1.22554168981893,0.117443784812185
"Acsl1",0.453869047619048,48,-0.165059246270496,-0.131752109139782,0.607722866387002
"Acsm5",0.108796296296296,18,-2.58496250072116,-19.1586854850667,6.01250428408756e-10
"Acss1",0.616095666861823,79,0.492280498211303,-2.43133083844538,0.0274439656415432
"Actc1",0.440062753783684,86,-0.314433558340437,-0.716910419785478,0.231141886240523
"Actc1dt",0.476543209876543,18,-0.241008099503795,-0.273592190092032,0.459470442490918
"Actn1",0.573737373737374,15,0.20163386116965,-0.118032690369951,0.627062460026678
"Actn2",0.482009762787416,160,-0.102615066482887,-0.364464612529503,0.393230488641624
"Actn4",0.401515151515151,22,-0.169925001442313,3.11176345888094,1
"Actr10",0.508333333333333,10,-0.392317422778758,0.434864312117483,1
"Actr2",0.495833333333333,20,0.173331602885562,0.0248289456712314,1
"Actr3",0.54647266313933,27,0.192645077942395,-0.164947196343718,0.565721280101364
"Actr3b",0.423076923076923,13,-0.454565863465482,-0.486812602564875,0.323777724359438
"Acvr1",0.364583333333333,16,-0.415037499278844,1.30081693178381,1
"Acvr2a",0.557098765432099,27,0.229481846122768,-0.378628024280502,0.384188601690214
"Acyp2",0.387141522408358,167,-0.517763800833256,-13.241144098476,2.65965533494464e-07
"Adam10",0.429365079365079,42,-0.55164242752113,-1.49110292753745,0.0841844675296951
"Adam17",0.625,16,0.232660756790275,0.312177829736122,1
"Adam19",0.264393939393939,44,-1.53172047944418,-14.7806007665708,5.41786380106056e-08
"Adam22",0.776785714285714,28,1.63558857379113,-9.62480310571301,1.14694033015577e-05
"Adamts1",0.567195767195767,18,0.128324096975539,-0.111267355675992,0.637115345411075
"Adamts3",0.743589743589744,13,1.8073549220576,-5.59552346656451,0.000821929564243931
"Adamts6",0.406666666666667,25,0.132450296023649,4.12323755255369,1
"Adamts9",0.516625286478228,102,0.0791438847197369,-0.106314287219419,0.644714909381617
"Adamtsl3",0.401041666666667,32,-0.777607578663552,-3.0102346976291,0.0141408851904964
"Adamtsl5",0.529710144927536,46,-0.203091865377512,0.995926340805397,1
"Adar",0.383333333333333,10,8.88178419700125e-16,1.77244144857829,1
"Adarb1",0.434583333333333,40,-0.375509135092206,-0.754243016816133,0.219370249619799
"Adck1",0.534722222222222,12,0.929610672108603,-0.533478546707272,0.301633779204433
