celltype,n_aged_only,n_young_only
Cardiomyocyte,533,344
Coronary_EC,185,180
Endocardial_EC,203,289
Fibroblast,831,293
M2,130,37
MacFib,392,114
Mesothelial,100,75
Myeloid,60,31
Pericytes,350,244
Unknown_1,124,29
