"","AR","bb_mu","bb_theta","thetaCorrected","theta_common","phi_raw","phi_shrunk","tot_gene_mean","N"
"Sipa1l3",0.466666666666667,0.467692307780375,1.50140173987762,1.50350013454814,1.41697456958401,1.50140173987762,1.50350013454814,1.08333333333333,600
"Rnf121",0.511666666666667,0.513975155275399,1.48871078360865,1.49132179593871,1.42265660163465,1.48871078360865,1.49132179593871,1.07333333333333,600
"Mrpl24",0.539166666666667,0.532407407407408,1.4870693321848,1.48960057051505,1.41852758762983,1.4870693321848,1.48960057051505,1.08,600
"Gm15347",0.481666666666667,0.476780185769597,1.49416127683509,1.49655818467687,1.42041786530986,1.49416127683509,1.49655818467687,1.07666666666667,600
"Uqcr11",0.476666666666667,0.475155279505164,1.48945647703026,1.492047395825,1.42265660163465,1.48945647703026,1.492047395825,1.07333333333333,600
"Setbp1",0.44711994949495,0.443837753554352,2.26772774894994,2.28135580303077,2.48845157426136,2.26772774894994,2.28135580303077,2.13666666666667,600
"Rab30",0.461230158730159,0.444915254237289,2.53454934322837,2.53882106353615,2.41631211374806,2.53454934322837,2.53882106353615,1.96666666666667,600
"Nsd3",0.54,0.537084398912059,1.80467425536819,1.80644364621416,1.67812508567403,1.80467425536819,1.80644364621416,1.30333333333333,600
"Bri3",0.32,0.323572474378383,1.43798150220764,1.4426162385395,1.44452513456207,1.43798150220764,1.4426162385395,1.13833333333333,600
"Rgs13",0.543333333333333,0.557980899686423,1.68176937506459,1.6835912248381,1.5695977823932,1.68176937506459,1.6835912248381,1.22166666666667,600
"Myom1",0.596040877611128,0.593495934959348,1.87177994148745,1.87671275330262,1.84366753008235,1.87177994148745,1.87671275330262,6.765,600
"Rnf103",0.505833333333333,0.501529051987322,1.50999320231894,1.51179591552981,1.41483772024289,1.50999320231894,1.51179591552981,1.09,600
"Gm48606",0.403333333333333,0.392211404728791,1.61047523271431,1.61282138576707,1.52308833149297,1.61047523271431,1.61282138576707,1.19833333333333,600
"Zc3h13",0.536666666666666,0.54497354438666,1.73993904027653,1.74200342750594,1.62986522149658,1.73993904027653,1.74200342750594,1.26,600
"Gipc2",0.803333333333333,0.795121951147707,1.27818054264504,1.29684029415138,1.76814096349615,1.27818054264504,1.29684029415138,1.36666666666667,600
"Fmnl2",0.578333333333333,0.573593073593069,2.10695049691763,2.11144235374952,2.03998720859405,2.10695049691763,2.11144235374952,1.54,600
"Yy1",0.5,0.496978851970764,1.53203778347023,1.53322650425679,1.41417254930371,1.53203778347023,1.53322650425679,1.10333333333333,600
"Gm47271",0.648333333333333,0.652631578947293,1.43532937597967,1.43916678921881,1.41559691429041,1.43532937597967,1.43916678921881,1.10833333333333,600
"Mef2a",0.654412698412698,0.666666666665506,2.06335377402011,2.07488959911265,2.23541552407929,2.06335377402011,2.07488959911265,1.7,600
"Mtres1",0.556666666666667,0.562138727650462,1.58575439365027,1.58698526066112,1.46377209733246,1.58575439365027,1.58698526066112,1.15333333333333,600
"Vps35l",0.623333333333332,0.623357664227096,1.46214171700971,1.46625492873036,1.44883709734202,1.46214171700971,1.46625492873036,1.14166666666667,600
"Lncppara",0.575,0.573407202216072,1.64651349845724,1.64817965540054,1.53278098500841,1.64651349845724,1.64817965540054,1.20333333333333,600
"1810062O18Rik",0.575,0.572485207100597,1.5430194312935,1.54439904953571,1.43038197826194,1.5430194312935,1.54439904953571,1.12666666666667,600
"Pex26",0.561666666666667,0.561224489795913,1.5683721285173,1.56968795793852,1.45100520720091,1.5683721285173,1.56968795793852,1.14333333333333,600
"Gpsm1",0.423888888888889,0.428977272727269,1.59746759075513,1.59900476566637,1.48448074302658,1.59746759075513,1.59900476566637,1.17333333333333,600
"Dennd4a",0.346666666666666,0.346205059942239,1.59440123627068,1.60007032346834,1.61931075235308,1.59440123627068,1.60007032346834,1.25166666666667,600
"Mthfsl",0.376666666666667,0.380434782608874,1.40439037783449,1.40927349690697,1.42265660163465,1.40439037783449,1.40927349690697,1.07333333333333,600
"Gm15910",0.595833333333333,0.595238095238013,1.47324616233448,1.476302244633,1.42360086504129,1.47324616233448,1.476302244633,1.12,600
"Tnfsf13b",0.22,0.217008797658331,1.1893224294191,1.20059356976973,1.4423944394986,1.1893224294191,1.20059356976973,1.13666666666667,600
"Ctdsp2",0.503333333333333,0.500772797527045,1.49874548555541,1.50098919511498,1.41942987987018,1.49874548555541,1.50098919511498,1.07833333333333,600
"Pml",0.513333333333333,0.507440476185467,1.55659491233102,1.55740507022844,1.42360086504129,1.55659491233102,1.55740507022844,1.12,600
"Rab11fip2",0.423333333333333,0.423387096774191,1.68608519829966,1.68878044746389,1.60255185286093,1.68608519829966,1.68878044746389,1.24,600
"Pcmtd2",0.5,0.507002801119752,1.64863360606975,1.64949847571887,1.50800256284555,1.64863360606975,1.64949847571887,1.19,600
"4930412C18Rik",0.951944444444444,0.951388888888886,0.405080863794448,0.440003480041856,1.5262774272782,0.405080863794448,0.440003480041856,1.2,600
"Utp20",0.535,0.54447852756208,1.50182283293206,1.50387304555371,1.41574805842918,1.50182283293206,1.50387304555371,1.08666666666667,600
"Parp8",0.46,0.445107399105545,1.92518193922148,1.92785375514196,1.81629654351392,1.92518193922148,1.92785375514196,1.39666666666667,600
"Zpbp",0.441666666666667,0.462882096069864,1.58085680218028,1.58190131237562,1.45317266167895,1.58085680218028,1.58190131237562,1.145,600
"Wasl",0.375833333333334,0.356777493606183,1.69928542210095,1.7038946318074,1.67812508567403,1.69928542210095,1.7038946318074,1.30333333333333,600
"Ints7",0.651666666666667,0.645061728394997,1.40894974310371,1.41358600030141,1.41852758762983,1.40894974310371,1.41358600030141,1.08,600
"Mbd1",0.35,0.365803108809512,2.11380074022823,2.12100763480374,2.13653669596568,2.11380074022823,2.12100763480374,1.60833333333333,600
"Mrpl42",0.605,0.606628242074924,1.55565636220594,1.55781862431022,1.46778009479035,1.55565636220594,1.55781862431022,1.15666666666667,600
"Ptp4a2",0.518333333333333,0.533582089552134,1.84424616421197,1.84643409140626,1.72756632126129,1.84424616421197,1.84643409140626,1.34,600
"Plekha7",0.445,0.460823373173973,1.73747601795681,1.73942017392178,1.62365195392841,1.73747601795681,1.73942017392178,1.255,600
"Zmym5",0.486666666666667,0.482398956977668,1.77612445689346,1.77783607666732,1.65058571130735,1.77612445689346,1.77783607666732,1.27833333333333,600
"Tmem87a",0.478333333333333,0.48618784531924,1.67613415861459,1.6772013283741,1.5394129382199,1.67613415861459,1.6772013283741,1.20666666666667,600
"Sulf1",0.411666666666667,0.426666666666664,1.54022994410409,1.54163033865788,1.4285709581661,1.54022994410409,1.54163033865788,1.125,600
"Adra1a",0.355389665889666,0.378363228699553,2.61800475358308,2.62587496167397,2.61101055391125,2.61800475358308,2.62587496167397,2.97333333333333,600
"Sptlc1",0.516666666666667,0.516025641015851,1.44339200509856,1.44855763012593,1.46705672763974,1.44339200509856,1.44855763012593,1.04,600
"Nsd2",0.633333333333333,0.64060150375938,1.45189142670799,1.45528255714307,1.41559691429041,1.45189142670799,1.45528255714307,1.10833333333333,600
"Ddit3",0.515,0.521794871793974,1.8054260597324,1.80705904769927,1.6742577895394,1.8054260597324,1.80705904769927,1.3,600
"Pam",0.299382337619393,0.311370882040383,2.24511575803888,2.25441924573294,2.32416731530534,2.24511575803888,2.25441924573294,4.705,600
